Course Title,Course code/ Route code,Highly skilled work marker,Industry sector - main,Location of employment (region),Work - Standard occupational classification 2020
DDent Paediatric Dentistry,DDDEDISPAE01/DDDEDISPAE01,High-skilled,,Middle East,Dental practitioners
DDent Paediatric Dentistry,DDDEDISPAE01/DDDEDISPAE01,High-skilled,,Not known,Dental practitioners
DDent Paediatric Dentistry,DDDEDISPAE01/DDDEDISPAE01,High-skilled,Academic Research and HE,Middle East,Dental practitioners
DDent Paediatric Dentistry,DDDEDISPAE01/DDDEDISPAE01,High-skilled,Academic Research and HE,Middle East,Generalist medical practitioners
DDent Paediatric Dentistry,DDDEDISPAE01/DDDEDISPAE01,High-skilled,Health and Social Care,London,Dental practitioners
DDent Paediatric Dentistry,DDDEDISPAE01/DDDEDISPAE01,High-skilled,Health and Social Care,Not known,Dental practitioners
EdD in Education,DDEEDUSCUL14/DDEEDUSCUL14,High-skilled,Academic Research and HE,Not known,Higher education teaching professionals
EdD in Education,DDEEDUSING01/DDEEDUSING01,High-skilled,,London,Higher education teaching professionals
EdD in Education,DDEEDUSING01/DDEEDUSING01,High-skilled,,London,Human resource managers and directors
EdD in Education,DDEEDUSING01/DDEEDUSING01,High-skilled,,Not known,Other psychologists
EdD in Education,DDEEDUSING01/DDEEDUSING01,High-skilled,,Not known,Primary education teaching professionals
EdD in Education,DDEEDUSING01/DDEEDUSING01,High-skilled,,South West,Higher education teaching professionals
EdD in Education,DDEEDUSING01/DDEEDUSING01,High-skilled,,Yorkshire and The Humber,Higher education teaching professionals
EdD in Education,DDEEDUSING01/DDEEDUSING01,High-skilled,Academic Research and HE,Asia,Higher education teaching professionals
EdD in Education,DDEEDUSING01/DDEEDUSING01,High-skilled,Academic Research and HE,East of England,Education managers
EdD in Education,DDEEDUSING01/DDEEDUSING01,High-skilled,Academic Research and HE,London,Higher education teaching professionals
EdD in Education,DDEEDUSING01/DDEEDUSING01,High-skilled,Academic Research and HE,North West,Higher education teaching professionals
EdD in Education,DDEEDUSING01/DDEEDUSING01,High-skilled,Academic Research and HE,South East,Higher education teaching professionals
EdD in Education,DDEEDUSING01/DDEEDUSING01,High-skilled,Academic Research and HE,South East,Social and humanities scientists
EdD in Education,DDEEDUSING01/DDEEDUSING01,High-skilled,"Construction, Built Environment, Property",London,Charitable organisation managers and directors
EdD in Education,DDEEDUSING01/DDEEDUSING01,High-skilled,"Construction, Built Environment, Property",Not known,"Property, housing and estate managers"
