ukprn,university,kiscourseid,title,crseurl,foundation_year_available,placement_year,year_abroad,median_salary
10007803,University of St Andrews,UAHFACFTACF,Arabic and Comparative Literature and French,http://www.st-andrews.ac.uk/subjects/arabic/arabic-ma/,No,No,Yes,29000
10007803,University of St Andrews,UAHFACGTACG,Arabic and Comparative Literature and German,http://www.st-andrews.ac.uk/subjects/arabic/arabic-ma/,No,No,Yes,29000
10007803,University of St Andrews,UAHFACITACI,Arabic and Comparative Literature and Italian,http://www.st-andrews.ac.uk/subjects/arabic/arabic-ma/,No,No,Yes,29000
10007803,University of St Andrews,UAHFACRTACR,Arabic and Comparative Literature and Russian,http://www.st-andrews.ac.uk/subjects/arabic/arabic-ma/,No,No,Yes,29000
10007803,University of St Andrews,UAHFACSTACS,Arabic and Comparative Literature and Spanish,http://www.st-andrews.ac.uk/subjects/arabic/arabic-ma/,No,No,Yes,29000
10007803,University of St Andrews,UAHFAFATAFA,Modern Languages (Arabic and French) and Ancient History,http://www.st-andrews.ac.uk/subjects/arabic/arabic-ma/,No,No,Yes,29000
10007803,University of St Andrews,UAHFAFCTAFC,Modern Languages (Arabic and French) and Classical Studies,http://www.st-andrews.ac.uk/subjects/arabic/arabic-ma/,No,No,Yes,29000
10007803,University of St Andrews,UAHFAFETAFE,Modern Languages (Arabic and French) and English,http://www.st-andrews.ac.uk/subjects/arabic/arabic-ma/,No,No,Yes,28000
10007803,University of St Andrews,UAHFAFITAFI,Arabic and French and Italian,http://www.st-andrews.ac.uk/subjects/arabic/arabic-ma/,No,No,Yes,29000
10007803,University of St Andrews,UAHFAFLTAFL,Modern Languages (Arabic and French) and Latin,http://www.st-andrews.ac.uk/subjects/arabic/arabic-ma/,No,No,Yes,29000
10007803,University of St Andrews,UAHFAFMTAFM,Modern Languages (Arabic and French) and Management,http://www.st-andrews.ac.uk/subjects/arabic/arabic-ma/,No,No,Yes,29000
10007803,University of St Andrews,UAHFAFNTAFN,Modern Languages (Arabic and French) and International Relations,http://www.st-andrews.ac.uk/subjects/arabic/arabic-ma/,No,No,Yes,29500
10007803,University of St Andrews,UAHFAFPTAFP,Arabic and French and Persian,http://www.st-andrews.ac.uk/subjects/arabic/arabic-ma/,No,No,Yes,29000
10007803,University of St Andrews,UAHFAFRTAFR,Arabic and French and Russian,http://www.st-andrews.ac.uk/subjects/arabic/arabic-ma/,No,No,Yes,29000
10007803,University of St Andrews,UAHFAFSTAFS,Arabic and French and Spanish,http://www.st-andrews.ac.uk/subjects/arabic/arabic-ma/,No,No,Yes,29000
10007803,University of St Andrews,UAHFAGATAGA,Modern Languages (Arabic and German) and Ancient History,http://www.st-andrews.ac.uk/subjects/arabic/arabic-ma/,No,No,Yes,29000
10007803,University of St Andrews,UAHFAGETAGE,Modern Languages (Arabic and German) and English,http://www.st-andrews.ac.uk/subjects/arabic/arabic-ma/,No,No,Yes,28000
10007803,University of St Andrews,UAHFAGITAGI,Arabic and German and Italian,http://www.st-andrews.ac.uk/subjects/arabic/arabic-ma/,No,No,Yes,29000
10007803,University of St Andrews,UAHFAGMTAGM,Modern Languages (Arabic and German) and Management,http://www.st-andrews.ac.uk/subjects/arabic/arabic-ma/,No,No,Yes,32500
10007803,University of St Andrews,UAHFAGNTAGN,Modern Languages (Arabic and German) and International Relations,http://www.st-andrews.ac.uk/subjects/arabic/arabic-ma/,No,No,Yes,29500
10007803,University of St Andrews,UAHFAGPTAGP,Arabic and German and Persian,http://www.st-andrews.ac.uk/subjects/arabic/arabic-ma/,No,No,Yes,29000
10007803,University of St Andrews,UAHFAGRTAGR,Arabic and German and Russian,http://www.st-andrews.ac.uk/subjects/arabic/arabic-ma/,No,No,Yes,29000
10007803,University of St Andrews,UAHFAGSTAGS,Arabic and German and Spanish,http://www.st-andrews.ac.uk/subjects/arabic/arabic-ma/,No,No,Yes,29000
10007803,University of St Andrews,UAHFAHAJSAN,Ancient History & Archaeology and Social Anthropology,http://www.st-andrews.ac.uk/subjects/ancient-history/ancient-history-ma/,No,No,Yes,24000
10007803,University of St Andrews,UAHFAHASAHA,Ancient History & Archaeology,http://www.st-andrews.ac.uk/subjects/ancient-history/ancient-history-ma/,No,No,Yes,28000
10007803,University of St Andrews,UAHFAHIJBLS,Art History and Biblical Studies,http://www.st-andrews.ac.uk/subjects/art-history/art-history-ma/,No,No,Yes,27000
10007803,University of St Andrews,UAHFAHIJCHN,Art History and Chinese Studies,https://www.st-andrews.ac.uk/subjects/chinese-studies/chinese-studies-ma/,No,No,Yes,29000
10007803,University of St Andrews,UAHFAHIJCLI,Art History and Comparative Literature,http://www.st-andrews.ac.uk/subjects/art-history/art-history-ma/,No,No,Yes,29000
10007803,University of St Andrews,UAHFAHIJCSS,Art History and Classical Studies,http://www.st-andrews.ac.uk/subjects/art-history/art-history-ma/,No,No,Yes,28000
10007803,University of St Andrews,UAHFAHIJENG,Art History and English,http://www.st-andrews.ac.uk/subjects/art-history/art-history-ma/,No,No,Yes,28000
10007803,University of St Andrews,UAHFAHIJFLS,Art History and Film Studies,http://www.st-andrews.ac.uk/subjects/art-history/art-history-ma/,No,No,Yes,27000
10007803,University of St Andrews,UAHFAHIJFRN,Art History and French,http://www.st-andrews.ac.uk/subjects/art-history/art-history-ma/,No,No,Yes,29000
10007803,University of St Andrews,UAHFAHIJGGY,Art History and Geography,http://www.st-andrews.ac.uk/subjects/art-history/art-history-ma/,No,No,Yes,27000
