ukprn,university,kiscourseid,title,crseurl,foundation_year_available,placement_year,year_abroad,median_salary
10007850,University of Bath,UUUAR-K100~UEAR-ANB14,Architecture,http://www.bath.ac.uk/study/kis/2024-2025/programme/UEAR-ANB14,No,Yes,No,25000
10007850,University of Bath,UUUAR-S100~UEAR-AFB11,Civil Engineering,http://www.bath.ac.uk/study/kis/2024-2025/programme/UEAR-AFB11,No,No,No,31000
10007850,University of Bath,UUUAR-S101~UEAR-AKB11,Civil Engineering,http://www.bath.ac.uk/study/kis/2024-2025/programme/UEAR-AKB11,No,Yes,No,31000
10007850,University of Bath,UUUAR-S102~UEAR-AFM11,Civil Engineering,http://www.bath.ac.uk/study/kis/2024-2025/programme/UEAR-AFM11,No,No,No,31000
10007850,University of Bath,UUUAR-S103~UEAR-AKM11,Civil Engineering,http://www.bath.ac.uk/study/kis/2024-2025/programme/UEAR-AKM11,No,Yes,No,31000
10007850,University of Bath,UUUAR-S110~UEAR-AFB12,Structural and Architectural Engineering,http://www.bath.ac.uk/study/kis/2024-2025/programme/UEAR-AFB12,No,No,No,31000
10007850,University of Bath,UUUAR-S111~UEAR-AKB12,Structural and Architectural Engineering,http://www.bath.ac.uk/study/kis/2024-2025/programme/UEAR-AKB12,No,Yes,No,31000
10007850,University of Bath,UUUAR-S112~UEAR-AFM12,Structural and Architectural Engineering,http://www.bath.ac.uk/study/kis/2024-2025/programme/UEAR-AFM12,No,No,No,31000
10007850,University of Bath,UUUAR-S113~UEAR-AKM12,Structural and Architectural Engineering,http://www.bath.ac.uk/study/kis/2024-2025/programme/UEAR-AKM12,No,Yes,No,31000
10007850,University of Bath,UUUCE-P100~UECE-AFB12,Chemical Engineering,http://www.bath.ac.uk/study/kis/2024-2025/programme/UECE-AFB12,No,No,No,33500
10007850,University of Bath,UUUCE-P101~UECE-AKB12,Chemical Engineering,http://www.bath.ac.uk/study/kis/2024-2025/programme/UECE-AKB12,No,Yes,No,33500
10007850,University of Bath,UUUCE-P102~UECE-AFM12,Chemical Engineering,http://www.bath.ac.uk/study/kis/2024-2025/programme/UECE-AFM12,No,No,No,33500
10007850,University of Bath,UUUCE-P103~UECE-AKM12,Chemical Engineering,http://www.bath.ac.uk/study/kis/2024-2025/programme/UECE-AKM12,No,Yes,No,33500
10007850,University of Bath,UUUCE-P110~UECE-AFM11,Chemical Engineering with Environmental Engineering,http://www.bath.ac.uk/study/kis/2024-2025/programme/UECE-AFM11,No,No,No,31000
10007850,University of Bath,UUUCE-P111~UECE-AKM11,Chemical Engineering with Environmental Engineering,http://www.bath.ac.uk/study/kis/2024-2025/programme/UECE-AKM11,No,Yes,No,31000
10007850,University of Bath,UUUCH-I110~USCH-AFB20,Chemistry,http://www.bath.ac.uk/study/kis/2024-2025/programme/USCH-AFB20,No,No,No,29500
10007850,University of Bath,UUUCH-I111~USCH-AKB20,Chemistry with professional placement or study abroad,http://www.bath.ac.uk/study/kis/2024-2025/programme/USCH-AKB20,No,Yes,Yes,29500
10007850,University of Bath,UUUCH-I112~USCH-AFM20,Chemistry,http://www.bath.ac.uk/study/kis/2024-2025/programme/USCH-AFM20,No,No,No,29500
10007850,University of Bath,UUUCH-I113~USCH-AKM20,Chemistry with professional placement or study abroad,http://www.bath.ac.uk/study/kis/2024-2025/programme/USCH-AKM20,No,Yes,Yes,29500
