kiscourseid,url,degree_type,degree_title,a_level_grade_req,a_level_subject_reqs,ib_grade_req,ib_subject_req
UUUAR-K100~UEAR-ANB14,http://www.bath.ac.uk/study/kis/2025-2026/programme/UEAR-ANB14,BSc,Architecture BSc (Hons),A*AA,A level Typical offer A*AA A*AA in three A levels including A in Mathematics or Physics.,36,"International Baccalaureate Typical offer 7, 6, 6 at HL International Baccalaureate Diploma 36 points overall and 7, 6, 6 in three Higher Level subjects including 6 in Physics or either HL Mathematics."
UUUAR-S100~UEAR-AFB11,http://www.bath.ac.uk/study/kis/2025-2026/programme/UEAR-AFB11,BEng,Civil Engineering BEng (Hons),A*AA,A level Typical offer A*AA A*AA in three A levels including Mathematics.,36,"International Baccalaureate Typical offer 7, 6, 6 at HL International Baccalaureate Diploma 36 points overall and 7, 6, 6 in three Higher Level subjects including either HL Mathematics."
UUUAR-S101~UEAR-AKB11,http://www.bath.ac.uk/study/kis/2025-2026/programme/UEAR-AKB11,BEng,Civil Engineering BEng (Hons),A*AA,A level Typical offer A*AA A*AA in three A levels including Mathematics.,36,"International Baccalaureate Typical offer 7, 6, 6 at HL International Baccalaureate Diploma 36 points overall and 7, 6, 6 in three Higher Level subjects including either HL Mathematics."
UUUAR-S102~UEAR-AFM11,http://www.bath.ac.uk/study/kis/2025-2026/programme/UEAR-AFM11,MEng,Civil Engineering MEng (Hons),A*AA,A level Typical offer A*AA A*AA in three A levels including Mathematics.,36,"International Baccalaureate Typical offer 7, 6, 6 at HL International Baccalaureate Diploma 36 points overall and 7, 6, 6 in three Higher Level subjects including either HL Mathematics."
UUUAR-S103~UEAR-AKM11,http://www.bath.ac.uk/study/kis/2025-2026/programme/UEAR-AKM11,MEng,Civil Engineering MEng (Hons),A*AA,A level Typical offer A*AA A*AA in three A levels including Mathematics.,36,"International Baccalaureate Typical offer 7, 6, 6 at HL International Baccalaureate Diploma 36 points overall and 7, 6, 6 in three Higher Level subjects including either HL Mathematics."
UUUAR-S110~UEAR-AFB12,http://www.bath.ac.uk/study/kis/2025-2026/programme/UEAR-AFB12,BEng,Structural and Architectural Engineering BEng (Hons),A*AA,A level Typical offer A*AA A*AA in three A levels including Mathematics.,36,"International Baccalaureate Typical offer 7, 6, 6 at HL International Baccalaureate Diploma 36 points overall and 7, 6, 6 in three Higher Level subjects including either HL Mathematics."
UUUAR-S111~UEAR-AKB12,http://www.bath.ac.uk/study/kis/2025-2026/programme/UEAR-AKB12,BEng,Structural and Architectural Engineering BEng (Hons),A*AA,A level Typical offer A*AA A*AA in three A levels including Mathematics.,36,"International Baccalaureate Typical offer 7, 6, 6 at HL International Baccalaureate Diploma 36 points overall and 7, 6, 6 in three Higher Level subjects including either HL Mathematics."
UUUAR-S112~UEAR-AFM12,http://www.bath.ac.uk/study/kis/2025-2026/programme/UEAR-AFM12,MEng,Structural and Architectural Engineering MEng (Hons),A*AA,A level Typical offer A*AA A*AA in three A levels including Mathematics.,36,"International Baccalaureate Typical offer 7, 6, 6 at HL International Baccalaureate Diploma 36 points overall and 7, 6, 6 in three Higher Level subjects including either HL Mathematics."
UUUAR-S113~UEAR-AKM12,http://www.bath.ac.uk/study/kis/2025-2026/programme/UEAR-AKM12,MEng,Structural and Architectural Engineering MEng (Hons),A*AA,A level Typical offer A*AA A*AA in three A levels including Mathematics.,36,"International Baccalaureate Typical offer 7, 6, 6 at HL International Baccalaureate Diploma 36 points overall and 7, 6, 6 in three Higher Level subjects including either HL Mathematics."
UUUCE-P100~UECE-AFB12,http://www.bath.ac.uk/study/kis/2025-2026/programme/UECE-AFB12,BEng,Chemical Engineering BEng (Hons),A*AA,A level Typical offer A*AA A*AA in three A levels including Chemistry and Mathematics.,36,"International Baccalaureate Typical offer 7, 6, 6 at HL International Baccalaureate Diploma 36 points overall and 7, 6, 6 in three Higher Level subjects including Chemistry and either HL Mathematics."
UUUCE-P101~UECE-AKB12,http://www.bath.ac.uk/study/kis/2025-2026/programme/UECE-AKB12,BEng,Chemical Engineering BEng (Hons),A*AA,A level Typical offer A*AA A*AA in three A levels including Chemistry and Mathematics.,36,"International Baccalaureate Typical offer 7, 6, 6 at HL International Baccalaureate Diploma 36 points overall and 7, 6, 6 in three Higher Level subjects including Chemistry and either HL Mathematics."
UUUCE-P102~UECE-AFM12,http://www.bath.ac.uk/study/kis/2025-2026/programme/UECE-AFM12,MEng,Chemical Engineering MEng (Hons),A*AA,A level Typical offer A*AA A*AA in three A levels including Chemistry and Mathematics.,36,"International Baccalaureate Typical offer 7, 6, 6 at HL International Baccalaureate Diploma 36 points overall and 7, 6, 6 in three Higher Level subjects including Chemistry and either HL Mathematics."
