ukprn,kiscourseid,title,crseurl
10006840,K0001,Biochemistry,https://www.birmingham.ac.uk/undergraduate/courses/biosciences/biochemistry.aspx
10006840,K0002,Medical Biochemistry,https://www.birmingham.ac.uk/undergraduate/courses/biosciences/medical-biochemistry.aspx
10006840,K0003,Biological Sciences,https://www.birmingham.ac.uk/undergraduate/courses/biosciences/biological-sciences.aspx
10006840,K0005,Biological Sciences with Study in Continental Europe,https://www.birmingham.ac.uk/undergraduate/courses/biosciences/biological-sciences-europe.aspx
10006840,K0006,Artificial Intelligence and Computer Science,https://www.birmingham.ac.uk/undergraduate/courses/computer-science/artificial-intelligence-computer-science.aspx
10006840,K0007,Geology,https://www.birmingham.ac.uk/undergraduate/courses/gees/geology.aspx
10006840,K0011,Geography,https://www.birmingham.ac.uk/undergraduate/courses/gees/geography-bsc.aspx
10006840,K0012,Theoretical Physics and Applied Mathematics,https://www.birmingham.ac.uk/undergraduate/courses/physics/theoretical-physics-applied-maths.aspx
10006840,K0013,Psychology,https://www.birmingham.ac.uk/undergraduate/courses/psychology/psychology.aspx
10006840,K0014,"Sport, Exercise and Health Sciences",https://www.birmingham.ac.uk/undergraduate/courses/sportex/sport-exercise-health-sciences-2.aspx
10006840,K0015,Geology and Physical Geography,https://www.birmingham.ac.uk/undergraduate/courses/gees/geology-geography.aspx
10006840,K0017,Theoretical Physics and Applied Mathematics,https://www.birmingham.ac.uk/undergraduate/courses/physics/theoretical-physics-applied-maths-msci.aspx
10006840,K0020,Environmental Science,https://www.birmingham.ac.uk/undergraduate/courses/gees/environmental-science.aspx
10006840,K0021,Mechanical Engineering,https://www.birmingham.ac.uk/undergraduate/courses/mechanical-engineering/mechanical-engineering-beng.aspx
10006840,K0022,Mechanical Engineering,https://www.birmingham.ac.uk/undergraduate/courses/mechanical-engineering/mechanical-engineering-meng.aspx
10006840,K0026,Civil Engineering,https://www.birmingham.ac.uk/undergraduate/courses/civil-engineering/civil-engineering-beng.aspx
10006840,K0027,Civil Engineering,https://www.birmingham.ac.uk/undergraduate/courses/civil-engineering/civil-engineering-meng.aspx
10006840,K0029,Electronic and Electrical Engineering,https://www.birmingham.ac.uk/undergraduate/courses/eese/electronic-electrical-engineering.aspx
10006840,K0030,Electronic and Electrical Engineering,https://www.birmingham.ac.uk/undergraduate/courses/eese/electronic-electrical-engineering-meng.aspx
10006840,K0032,Chemical Engineering,https://www.birmingham.ac.uk/undergraduate/courses/chemical-engineering/chemical-engineering-beng.aspx
10006840,K0033,Chemical Engineering,https://www.birmingham.ac.uk/undergraduate/courses/chemical-engineering/chemical-engineering-meng.aspx
10006840,K0036,Materials Science and Engineering,https://www.birmingham.ac.uk/undergraduate/courses/metallurgy-materials/materials-science-engineering-meng.aspx
10006840,K0038,Materials Science and Engineering,https://www.birmingham.ac.uk/undergraduate/courses/metallurgy-materials/materials-science-engineering.aspx
10006840,K0040,Classical Literature and Civilisation,https://www.birmingham.ac.uk/undergraduate/courses/caha/classical-lit-civ.aspx
10006840,K0042,Ancient History,https://www.birmingham.ac.uk/undergraduate/courses/caha/ancient-history.aspx
10006840,K0043,Archaeology and Ancient History,https://www.birmingham.ac.uk/undergraduate/courses/caha/arch-ancient-hist.aspx
10006840,K0044,Ancient and Medieval History,https://www.birmingham.ac.uk/undergraduate/courses/history/history-ancient-medieval.aspx
10006840,K0046,English Literature,https://www.birmingham.ac.uk/undergraduate/courses/english/english.aspx
10006840,K0051,Geography,https://www.birmingham.ac.uk/undergraduate/courses/gees/geography-ba.aspx
10006840,K0052,Philosophy,https://www.birmingham.ac.uk/undergraduate/courses/phil/philosophy.aspx
10006840,K0053,Theology and Religion,https://www.birmingham.ac.uk/undergraduate/courses/thr/theology.aspx
10006840,K0054,Music,https://www.birmingham.ac.uk/undergraduate/courses/music/music.aspx
10006840,K0078,Archaeology and History,https://www.birmingham.ac.uk/undergraduate/courses/jointhonours/archaeology-and-ancient-history-and-history
10006840,K0087,Classical Literature and Civilisation and Philosophy,https://www.birmingham.ac.uk/undergraduate/courses/jointhonours/classical-literature-and-civilisation-and-philosophy.aspx
10006840,K0117,History and Theology,https://www.birmingham.ac.uk/undergraduate/courses/jointhonours/history-and-theology.aspx
10006840,K0118,History and History of Art,https://www.birmingham.ac.uk/undergraduate/courses/jointhonours/history-and-history-of-art.aspx
10006840,K0122,History and Philosophy,https://www.birmingham.ac.uk/undergraduate/courses/jointhonours/history-and-philosophy.aspx
10006840,K0123,History and Politics,https://www.birmingham.ac.uk/undergraduate/courses/jointhonours/history-and-politics.aspx
10006840,K0129,Mathematics and Music,https://www.birmingham.ac.uk/undergraduate/courses/jointhonours/mathematics-and-music.aspx
10006840,K0130,Mathematics and Philosophy,https://www.birmingham.ac.uk/undergraduate/courses/jointhonours/mathematics-and-philosophy.aspx
10006840,K0133,"Philosophy, Religion and Ethics",https://www.birmingham.ac.uk/undergraduate/courses/thr/philosophy-religion-ethics.aspx
10006840,K0137,Medicine,https://www.birmingham.ac.uk/undergraduate/courses/med/medicine.aspx
10006840,K0140,Dentistry,https://www.birmingham.ac.uk/undergraduate/courses/med/dental-surgery.aspx
10006840,K0142,"Money, Banking and Finance",https://www.birmingham.ac.uk/undergraduate/courses/econ/money-banking-finance-bsc.aspx
10006840,K0146,Politics,https://www.birmingham.ac.uk/undergraduate/courses/govsoc/politics.aspx
10006840,K0147,Social Policy,https://www.birmingham.ac.uk/undergraduate/courses/social-policy/social-policy-ba.aspx
10006840,K0148,Economics and Politics,https://www.birmingham.ac.uk/undergraduate/courses/econ/economics-and-political-science-bsc.aspx
10006840,K0150,Geography and Urban and Regional Planning,https://www.birmingham.ac.uk/undergraduate/courses/gees/geography-planning.aspx
10006840,K0151,Sociology and Social Policy,https://www.birmingham.ac.uk/undergraduate/courses/social-policy/social-policy-sociology.aspx
10006840,K0154,Philosophy and Sociology,https://www.birmingham.ac.uk/undergraduate/courses/jointhonours/philosophy-and-sociology.aspx
10006840,K0155,Politics and Philosophy,https://www.birmingham.ac.uk/undergraduate/courses/govsoc/politics-philosophy.aspx
10006840,K0156,Law,https://www.birmingham.ac.uk/undergraduate/courses/law/law-llb.aspx
10006840,K0157,Law with French Law,https://www.birmingham.ac.uk/undergraduate/courses/law/law-french.aspx
10006840,K0158,Law with German Law,https://www.birmingham.ac.uk/undergraduate/courses/law/law-german.aspx
10006840,K0159,Accounting and Finance,https://www.birmingham.ac.uk/undergraduate/courses/business/accounting-finance.aspx
10006840,K0160,Economics,https://www.birmingham.ac.uk/undergraduate/courses/econ/economics-bsc.aspx
10006840,K0161,Economics with German,https://www.birmingham.ac.uk/undergraduate/courses/econ/economics-german.aspx
10006840,K0162,Economics with Spanish,https://www.birmingham.ac.uk/undergraduate/courses/econ/economics-spanish.aspx
10006840,K0168,Chemistry with a Modern Language,https://www.birmingham.ac.uk/undergraduate/courses/chemistry/chemistry-language-bsc.aspx
10006840,K0171,Chemistry with a Modern Language,https://www.birmingham.ac.uk/undergraduate/courses/chemistry/chemistry-language-msci.aspx
10006840,K0173,Sociology,https://www.birmingham.ac.uk/undergraduate/courses/social-policy/sociology.aspx
10006840,K0179,Physics,https://www.birmingham.ac.uk/undergraduate/courses/physics/physics-msci.aspx
10006840,K0180,Physics and Astrophysics,https://www.birmingham.ac.uk/undergraduate/courses/physics/physics-astrophysics-msci.aspx
10006840,K0181,Physics (International Study),https://www.birmingham.ac.uk/undergraduate/courses/physics/physics-international-msci.aspx
10006840,K0182,Theoretical Physics,https://www.birmingham.ac.uk/undergraduate/courses/physics/theoretical-physics-msci.aspx
10006840,K0183,Physics,https://www.birmingham.ac.uk/undergraduate/courses/physics/physics-bsc.aspx
10006840,K0184,Physics and Astrophysics,https://www.birmingham.ac.uk/undergraduate/courses/physics/physics-astrophysics-bsc.aspx
10006840,K0185,Physics (with International Study),https://www.birmingham.ac.uk/undergraduate/courses/physics/physics-international-bsc.aspx
10006840,K0186,Theoretical Physics,https://www.birmingham.ac.uk/undergraduate/courses/physics/theoretical-physics-bsc.aspx
10006840,K0187,Chemical Engineering (with International Study),https://www.birmingham.ac.uk/undergraduate/courses/chemical-engineering/chemical-engineering-international-meng.aspx
10006840,K0188,Computer Science,https://www.birmingham.ac.uk/undergraduate/courses/computer-science/computer-science.aspx
10006840,K0189,Mathematical Economics and Statistics,https://www.birmingham.ac.uk/undergraduate/courses/econ/maths-econ-stats-bsc.aspx
10006840,K0190,Chemical Engineering with Industrial Study,https://www.birmingham.ac.uk/undergraduate/courses/chemical-engineering/chemical-engineering-industry-meng.aspx
10006840,K0191,Civil Engineering (International Study),https://www.birmingham.ac.uk/undergraduate/courses/civil-engineering/civil-engineering-international-meng.aspx
10006840,K0192,Civil Engineering with industrial experience,https://www.birmingham.ac.uk/undergraduate/courses/civil-engineering/civil-engineering-industry.aspx
10006840,K0193,Physics with Particle Physics and Cosmology,https://www.birmingham.ac.uk/undergraduate/courses/physics/physics-particle-cosmology-msci.aspx
10006840,K0194,Physics with Particle Physics and Cosmology,https://www.birmingham.ac.uk/undergraduate/courses/physics/physics-particle-cosmology-bsc.aspx
10006840,K0196,Applied Golf Management Studies,https://www.birmingham.ac.uk/undergraduate/courses/sportex/app-golf-mgt-studies.aspx
10006840,K0198,Geology with an International Year,https://www.birmingham.ac.uk/undergraduate/courses/gees/geology-international.aspx
10006840,K0201,Computer Science and Software Engineering,https://www.birmingham.ac.uk/undergraduate/courses/computer-science/computer-science-software-engineering.aspx
10006840,K0203,Biochemistry with Professional Placement,https://www.birmingham.ac.uk/undergraduate/courses/biosciences/biochemistry-placement.aspx
10006840,K0204,Biological Sciences with Professional Placement,https://www.birmingham.ac.uk/undergraduate/courses/biosciences/biological-sciences-placement.aspx
10006840,K0205,Biochemistry with Study in Continental Europe,https://www.birmingham.ac.uk/undergraduate/courses/biosciences/biochemistry-europe.aspx
10006840,K0213,Modern Languages,https://www.birmingham.ac.uk/undergraduate/courses/lang/modern-languages.aspx
10006840,K0221,Social Anthropology and Classical Literature and Civilisation,https://www.birmingham.ac.uk/undergraduate/courses/jointhonours/anthropology-and-classical-literature-and-civilisation.aspx
10006840,K0222,Social Anthropology and African Studies,https://www.birmingham.ac.uk/undergraduate/courses/jointhonours/anthropology-and-african-studies.aspx
10006840,K0224,Social Anthropology and History,https://www.birmingham.ac.uk/undergraduate/courses/jointhonours/anthropology-and-history.aspx
10006840,K0226,Social Anthropology and Politics,https://www.birmingham.ac.uk/undergraduate/courses/jointhonours/anthropology-and-politics.aspx
10006840,K0228,Mathematics and Computer Science,https://www.birmingham.ac.uk/undergraduate/courses/maths/maths-computer-science.aspx
10006840,K0229,Mathematics and Computer Science,https://www.birmingham.ac.uk/undergraduate/courses/maths/maths-computer-science-msci.aspx
10006840,K0230,Mathematics with Business Management,https://www.birmingham.ac.uk/undergraduate/courses/maths/mathematics-business.aspx
10006840,K0231,Mathematics with Business Management,https://www.birmingham.ac.uk/undergraduate/courses/maths/mathematics-business-msci.aspx
10006840,K0232,Environmental Science with Professional Placement Abroad,https://www.birmingham.ac.uk/undergraduate/courses/gees/environmental-science-placement.aspx
10006840,K0233,International Relations,https://www.birmingham.ac.uk/undergraduate/courses/govsoc/international-relations.aspx
10006840,K0235,Physics and Astrophysics (International Study),https://www.birmingham.ac.uk/undergraduate/courses/physics/physics-astrophysics-international-bsc.aspx
10006840,K0249,History of Art,https://www.birmingham.ac.uk/undergraduate/courses/histart/history-art.aspx
10006840,K0257,Chemistry with Study Abroad,https://www.birmingham.ac.uk/undergraduate/courses/chemistry/chemistry-study-abroad-msci.aspx
10006840,K0258,Chemistry with Business Management,https://www.birmingham.ac.uk/undergraduate/courses/chemistry/chemistry-business-bsc.aspx
10006840,K0259,Chemistry with Business Management,https://www.birmingham.ac.uk/undergraduate/courses/chemistry/chemistry-business-msci.aspx
10006840,K0260,Social Work,https://www.birmingham.ac.uk/undergraduate/courses/social-policy/social-work.aspx
10006840,K0262,Education,https://www.birmingham.ac.uk/undergraduate/courses/edu/ba-education.aspx
10006840,K0270,Law with Business Studies,https://www.birmingham.ac.uk/undergraduate/courses/law/law-business.aspx
10006840,K0272,Business Management,https://www.birmingham.ac.uk/undergraduate/courses/business/business-management.aspx
10006840,K0273,Business Management with Communications,https://www.birmingham.ac.uk/undergraduate/courses/business/business-mgmt-comms.aspx
10006840,K0275,International Business with Communications,https://www.birmingham.ac.uk/undergraduate/courses/business/international-business-comms.aspx
10006840,K0276,Business Management (with Year in Industry),https://www.birmingham.ac.uk/undergraduate/courses/business/bus-mgnt-year-in-industry.aspx
10006840,K0277,International Business with Language,https://www.birmingham.ac.uk/undergraduate/courses/business/international-business-lang.aspx
