kiscourseid,url,degree_type,degree_title,a_level_grade_req,a_level_subject_reqs,ib_grade_req,ib_subject_req
K0001,https://www.birmingham.ac.uk/undergraduate/courses/biosciences/biochemistry.aspx,BSc,Biochemistry,AAB,AAB To include Chemistry + 1 from Maths / Further Maths / Statistics / Biology / Physics ,32,"6,6,5 + 1 from Maths: Analysis and Approaches / Maths: Applications and Interpretation/ Statistics / Biology / Physics  at Higher Level with a minimum of 32 points overall"
K0002,https://www.birmingham.ac.uk/undergraduate/courses/biosciences/medical-biochemistry.aspx,BSc,Medical Biochemistry,AAB,AAB To include Chemistry + 1 from Maths / Further Maths / Statistics / Biology / Physics ,32,"6,6,5 + 1 from Maths: Analysis and Approaches / Maths: Applications and Interpretation/ Statistics / Biology / Physics  at Higher Level with a minimum of 32 points overall"
K0003,https://www.birmingham.ac.uk/undergraduate/courses/biosciences/biological-sciences.aspx,BSc,Biological Sciences,AAB,AAB including Biology / Human Biology + 1 from Chemistry / Physics / Maths / Further Maths / Statistics / Geology / Geography / Psychology,,"6,6,5 including Biology / Human Biology + 1 from Chemistry / Physics / Maths: Analysis and Approaches / Maths: Applications and Interpretation/ Statistics / Geology / Geography / Psychology "
K0005,https://www.birmingham.ac.uk/undergraduate/courses/biosciences/biological-sciences-europe.aspx,BSc,Biological Sciences with Study in Continental Europe,AAB,AAB including Biology / Human Biology + 1 from Chemistry / Physics / Maths / Further Maths / Statistics / Geology / Geography / Psychology,,"6,6,5 including Biology / Human Biology + 1 from Chemistry / Physics / Maths: Analysis and Approaches / Maths: Applications and Interpretation/ Statistics / Geology / Geography / Psychology "
K0006,https://www.birmingham.ac.uk/undergraduate/courses/computer-science/artificial-intelligence-computer-science.aspx,BSc,Artificial Intelligence (AI) and Computer Science,A*AA,A*AA to include A-level Mathematics grade A.,32,"7,6,6 at Higher Level to include 6 in Mathematics, with a minimum of 32 points overall. We also require 5 in Standard Level English."
K0007,https://www.birmingham.ac.uk/undergraduate/courses/gees/geology.aspx,BSc,Geology,ABB,ABB Including 1 Required Science,32,"6,5,5 32 points overall Including HL in 1 Required Science"
K0011,https://www.birmingham.ac.uk/undergraduate/courses/gees/geography-bsc.aspx,BSc,Geography,AAB,AAB,32,"6,6,5 32 points overall."
K0012,https://www.birmingham.ac.uk/undergraduate/courses/physics/theoretical-physics-applied-maths.aspx,BSc,Theoretical Physics and Applied Mathematics,A*AA,A*AA to include A-level Mathematics A* and A-level Physics A.,32,"7,6,6  at HL, to include Mathematics and Physics, with a minimum of 32 points overall. 7 must be in Mathematics, 6 in Physics."
K0013,https://www.birmingham.ac.uk/undergraduate/courses/psychology/psychology.aspx,BSc,Psychology,AAB,AAB to include Chemistry / Biology / Human Biology / Physics / Psychology / Maths / Further Maths / Statistics,32,"6,6,6 - 6,6,5  at Higher Level with a minimum of 32 points overall"
K0014,https://www.birmingham.ac.uk/undergraduate/courses/sportex/sport-exercise-health-sciences-2.aspx,BSc,"Sport, Exercise and Health Sciences",AAA,AAA - ABB dependent on the number of preferred science subjects included,32,"6,6,6 - 6,5,5 in Higher level subjects plus 32 points overall, dependent on the number of preferred science subjects as defined for the A-level qualification."
