ukprn,university,kiscourseid,title,crseurl,foundation_year_available,placement_year,year_abroad,median_salary
10007786,University of Bristol,1ARCH001UU-202324,Archaeology and Anthropology,https://www.bristol.ac.uk/study/undergraduate/2025/anthropology/ba-archaeology-and-anthropology/,Yes,No,No,26500
10007786,University of Bristol,1ARCH026UU-202324,Anthropology,http://www.bristol.ac.uk/study/undergraduate/2025/anthropology/ba-anthropology/,Yes,No,No,26500
10007786,University of Bristol,1CLAS003UU-202324,Classics,http://www.bristol.ac.uk/study/undergraduate/2025/classics/ba-classics/,Yes,No,No,25000
10007786,University of Bristol,1CLAS005UU-202324,Classical Studies,http://www.bristol.ac.uk/study/undergraduate/2025/classical-studies/ba-classical-studies/,Yes,No,No,25000
10007786,University of Bristol,1DRAM011UU-202324,Theatre and Performance Studies,https://www.bristol.ac.uk/study/undergraduate/2025/theatre/ba-theatre-and-performance-studies/,Yes,No,No,24000
10007786,University of Bristol,1DRAM013UU-202324,Film and English,https://www.bristol.ac.uk/study/undergraduate/2025/film-television/ba-film-and-english/,Yes,No,No,26000
10007786,University of Bristol,1DRAM014UU-202324,Theatre and English,https://www.bristol.ac.uk/study/undergraduate/2025/theatre/ba-theatre-and-english/,Yes,No,No,26000
10007786,University of Bristol,1DRAM015UU-202324,Film and Television,https://www.bristol.ac.uk/study/undergraduate/2025/film-television/ba-film-and-television/,Yes,No,No,24000
10007786,University of Bristol,1DRAM016UU-202324,Film and French,https://www.bristol.ac.uk/study/undergraduate/2025/film-television/ba-film-and-french/,Yes,Yes,Yes,28000
10007786,University of Bristol,1DRAM017UU-202324,Theatre and Film,https://www.bristol.ac.uk/study/undergraduate/2025/theatre/ba-theatre-and-film/,Yes,No,No,24000
10007786,University of Bristol,1DRAM018UU-202324,Theatre and Spanish,https://www.bristol.ac.uk/study/undergraduate/2025/theatre/ba-theatre-and-spanish/,Yes,Yes,Yes,29000
10007786,University of Bristol,1DRAM019UU-202324,Film and Italian,https://www.bristol.ac.uk/study/undergraduate/2025/film-television/ba-film-and-italian/,Yes,Yes,Yes,27500
10007786,University of Bristol,1DRAM020UU-202324,Theatre and French,https://www.bristol.ac.uk/study/undergraduate/2025/theatre/ba-theatre-and-french/,Yes,Yes,Yes,28000
10007786,University of Bristol,1DRAM022UU-202324,Film and Spanish,https://www.bristol.ac.uk/study/undergraduate/2025/film-television/ba-film-and-spanish/,Yes,Yes,Yes,29000
10007786,University of Bristol,1DRAM023UU-202324,Film and German,https://www.bristol.ac.uk/study/undergraduate/2025/film-television/ba-film-and-german/,Yes,Yes,Yes,30000
10007786,University of Bristol,1DRAM024UU-202324,Theatre and Italian,https://www.bristol.ac.uk/study/undergraduate/2025/theatre/ba-theatre-and-italian/,Yes,Yes,Yes,27500
