ukprn,university,kiscourseid,title,crseurl,foundation_year_available,placement_year,year_abroad,median_salary
10006840,University of Birmingham,K0001,Biochemistry,https://www.birmingham.ac.uk/undergraduate/courses/biosciences/biochemistry.aspx,Yes,No,No,30000
10006840,University of Birmingham,K0002,Medical Biochemistry,https://www.birmingham.ac.uk/undergraduate/courses/biosciences/medical-biochemistry.aspx,No,No,No,30000
10006840,University of Birmingham,K0003,Biological Sciences,https://www.birmingham.ac.uk/undergraduate/courses/biosciences/biological-sciences.aspx,No,No,No,27500
10006840,University of Birmingham,K0005,Biological Sciences with Study in Continental Europe,https://www.birmingham.ac.uk/undergraduate/courses/biosciences/biological-sciences-europe.aspx,No,No,Yes,27500
10006840,University of Birmingham,K0006,Artificial Intelligence and Computer Science,https://www.birmingham.ac.uk/undergraduate/courses/computer-science/artificial-intelligence-computer-science.aspx,Yes,No,No,35000
10006840,University of Birmingham,K0007,Geology,https://www.birmingham.ac.uk/undergraduate/courses/gees/geology.aspx,No,Yes,No,28000
10006840,University of Birmingham,K0011,Geography,https://www.birmingham.ac.uk/undergraduate/courses/gees/geography-bsc.aspx,No,Yes,No,28000
10006840,University of Birmingham,K0012,Theoretical Physics and Applied Mathematics,https://www.birmingham.ac.uk/undergraduate/courses/physics/theoretical-physics-applied-maths.aspx,No,No,No,31500
10006840,University of Birmingham,K0013,Psychology,https://www.birmingham.ac.uk/undergraduate/courses/psychology/psychology.aspx,Yes,No,No,25000
10006840,University of Birmingham,K0014,"Sport, Exercise and Health Sciences",https://www.birmingham.ac.uk/undergraduate/courses/sportex/sport-exercise-health-sciences-2.aspx,No,No,Yes,24000
10006840,University of Birmingham,K0015,Geology and Physical Geography,https://www.birmingham.ac.uk/undergraduate/courses/gees/geology-geography.aspx,No,Yes,No,28000
10006840,University of Birmingham,K0017,Theoretical Physics and Applied Mathematics,https://www.birmingham.ac.uk/undergraduate/courses/physics/theoretical-physics-applied-maths-msci.aspx,No,No,No,31500
10006840,University of Birmingham,K0020,Environmental Science,https://www.birmingham.ac.uk/undergraduate/courses/gees/environmental-science.aspx,No,Yes,No,28000
10006840,University of Birmingham,K0021,Mechanical Engineering,https://www.birmingham.ac.uk/undergraduate/courses/mechanical-engineering/mechanical-engineering-beng.aspx,Yes,No,No,31500
10006840,University of Birmingham,K0022,Mechanical Engineering,https://www.birmingham.ac.uk/undergraduate/courses/mechanical-engineering/mechanical-engineering-meng.aspx,Yes,No,No,31500
