ukprn,university,kiscourseid,title,crseurl,foundation_year_available,placement_year,year_abroad,median_salary
10007814,Cardiff University,UFBAACGAANHD,Archaeology and Ancient History,https://www.cardiff.ac.uk/study/undergraduate/courses/course/archaeology-and-ancient-history-ba,No,No,No,25000
10007814,Cardiff University,UFBAACGAHSTD,Archaeology and History,https://www.cardiff.ac.uk/study/undergraduate/courses/course/archaeology-and-history-ba,No,No,No,25000
10007814,Cardiff University,UFBAACGD,Archaeology,https://www.cardiff.ac.uk/study/undergraduate/courses/course/archaeology-ba,No,No,No,25000
10007814,Cardiff University,UFBAANHAHSTD,Ancient History and History,https://www.cardiff.ac.uk/study/undergraduate/courses/course/ancient-history-and-history-ba,No,No,No,25000
10007814,Cardiff University,UFBAANHD,Ancient History,https://www.cardiff.ac.uk/study/undergraduate/courses/course/ancient-history-ba,No,No,No,25000
10007814,Cardiff University,UFBAELLB,English Language and Literature,https://www.cardiff.ac.uk/study/undergraduate/courses/course/english-language-and-literature-ba,No,No,No,22000
10007814,Cardiff University,UFBAELNA,English Language and Linguistics,https://www.cardiff.ac.uk/study/undergraduate/courses/course/english-language-and-linguistics-ba,No,No,No,23000
10007814,Cardiff University,UFBAELTAHSTC,English Literature and History,https://www.cardiff.ac.uk/study/undergraduate/courses/course/english-literature-and-history-ba,No,No,No,24000
10007814,Cardiff University,UFBAELTAMDLA,English Literature and a Modern Language,https://www.cardiff.ac.uk/study/undergraduate/courses/course/english-literature-and-a-modern-language-ba,No,No,No,24000
10007814,Cardiff University,UFBAELTAPHLB,English Literature and Philosophy,https://www.cardiff.ac.uk/study/undergraduate/courses/course/english-literature-and-philosophy-ba,No,No,No,24000
10007814,Cardiff University,UFBAELTC,English Literature,https://www.cardiff.ac.uk/study/undergraduate/courses/course/english-literature-ba,No,No,No,24000
10007814,Cardiff University,UFBAELWA,English Literature with Creative Writing,https://www.cardiff.ac.uk/study/undergraduate/courses/course/english-literature-and-creative-writing-ba,No,No,No,23000
10007814,Cardiff University,UFBAHSTAMDLA,History and a Modern Language,https://www.cardiff.ac.uk/study/undergraduate/courses/course/history-and-a-modern-language-ba,No,No,No,26000
10007814,Cardiff University,UFBAHSTE,History,https://www.cardiff.ac.uk/study/undergraduate/courses/course/history-ba,No,No,No,25000
10007814,Cardiff University,UFBAJOCA,Journalism and Communications,https://www.cardiff.ac.uk/study/undergraduate/courses/course/journalism-and-communications-ba,No,No,No,24000
10007814,Cardiff University,UFBAJOCAPOLA,"Journalism, Communications and Politics",https://www.cardiff.ac.uk/study/undergraduate/courses/course/journalism-communications-and-politics,No,No,No,27000
10007814,Cardiff University,UFBAJRMAELTA,"Journalism, Media and English Literature",https://www.cardiff.ac.uk/study/undergraduate/courses/course/journalism-media-and-english-literature-ba,No,No,No,24000
10007814,Cardiff University,UFBALIAMDLA,Linguistics and a Modern Language,https://www.cardiff.ac.uk/study/undergraduate/courses/course/linguistics-and-a-modern-language-ba,No,No,No,23000
10007814,Cardiff University,UFBAMCNA,Modern Chinese,https://www.cardiff.ac.uk/study/undergraduate/courses/course/modern-chinese-ba-4-years,No,No,No,26000
10007814,Cardiff University,UFBAMCOA,Media and Communications,https://www.cardiff.ac.uk/study/undergraduate/courses/course/media-and-communications-ba,No,No,No,24000
