kiscourseid,url,degree_type,degree_title,a_level_grade_req,a_level_subject_reqs,ib_grade_req,ib_subject_req
B991,https://www.durham.ac.uk/study/courses/b991/,BSc,Health and Human Sciences,AAB,A level offer – AAB Contextual offer – BCC,36,IB Diploma score – 36 with 665 in higher level subjects.
C103,https://www.durham.ac.uk/study/courses/c103/,BSc,Biological Sciences,AAA,A level offer – AAA,37,IB Diploma score – 37 with 666 in higher level subjects including Biology or Chemistry plus another higher level science subject.
C104,https://www.durham.ac.uk/study/courses/c104/,,,,,,
C107,https://www.durham.ac.uk/study/courses/c107/,MBiol,Biosciences,AAA,A level offer – AAA,37,IB Diploma score – 37 with 666 in higher level subjects including Biology or Chemistry plus another higher level science subject.
C603,https://www.durham.ac.uk/study/courses/c603/,BA,"Sport, Exercise and Physical Activity",AAB,A level offer – AAB Contextual offer – BBB/ABC,36,IB Diploma score – 36 with 665 in higher level subjects.
C604,https://www.durham.ac.uk/study/courses/c604/,,,,,,
C606,https://www.durham.ac.uk/study/courses/c606/,BSc,Sport and Exercise Sciences,AAB,A level offer – AAB Contextual offer – BBB/ABC,36,IB Diploma score – 36 with 665 in higher level subjects.
C702,https://www.durham.ac.uk/study/courses/c702/,BSc,Biochemistry,AAA,A level offer – AAA,37,IB Diploma score – 37 with 666 in higher level subjects including Chemistry and Mathematics.
C800,https://www.durham.ac.uk/study/courses/c800/,BSc,Psychology,AAA,A level offer – AAA Contextual offer – BBB,37,IB Diploma score – 37 with 666 in higher level subjects
C807,https://www.durham.ac.uk/study/courses/c807/,BSc,Psychological and Behavioural Science,AAA,A level offer – AAA Contextual offer – BBB,37,IB Diploma score – 37 with 666 in higher level subjects
C811,https://www.durham.ac.uk/study/courses/c819/,,,,,,
C819,https://www.durham.ac.uk/study/courses/c819/,,,,,,
CFG0,https://www.durham.ac.uk/study/courses/cfg0/,BSc,Natural Sciences,A*AA,A level offer – A*AA,38,IB Diploma score – 38 All applicants taking the International Baccalaureate will need a score of 38 points overall including either 766 or 666 at the Higher Level with at least one of these in a Science (Biology; Chemistry; Mathematics (analysis & approaches); Physics.) You will need specific Higher Level grades to study:
CL86,https://www.durham.ac.uk/study/courses/cl86/,BSc,Psychology and Anthropology,AAA,A level offer – AAA Contextual offer – BBB,37,"IB Diploma score – 37 with 666 in higher level subjects. No specific subjects are required, and a combination of arts and science subjects is acceptable."
CV85,https://www.durham.ac.uk/study/courses/cv85/,BA,Philosophy and Psychology,AAA,A level offer – AAA,37,"IB Diploma score – 37 with 666 in higher level subjects, including standard level Mathematics."
F100,https://www.durham.ac.uk/study/courses/f100/,BSc,Chemistry,A*AA,A level offer – A*AA,38,"IB Diploma score – 38 with 666 in higher level subjects, including Chemistry and Mathematics (either Analysis and approaches HL or Applications and interpretations HL)."
F102,https://www.durham.ac.uk/study/courses/f102/,MChem,Chemistry (with Overseas Project),A*AA,A level offer – A*AA,38,"IB Diploma score – 38 with 666 in higher level subjects, including Chemistry and Mathematics (either Analysis and approaches HL or Applications and interpretations HL)."
F105,https://www.durham.ac.uk/study/courses/f105/,MChem,Chemistry,A*AA,A level offer – A*AA,38,"IB Diploma score – 38 with 666 in higher level subjects, including Chemistry and Mathematics (either Analysis and approaches HL or Applications and interpretations HL)."
F111,https://www.durham.ac.uk/study/courses/f111/,MChem,Chemistry (with Industrial Project),A*AA,A level offer – A*AA,38,"IB Diploma score – 38 with 666 in higher level subjects, including Chemistry and Mathematics (either Analysis and approaches HL or Applications and interpretations HL)."
F300,https://www.durham.ac.uk/study/courses/f300/,BSc,Physics,A*A*A,A level offer – A*A*A,38,"IB Diploma score – 38 with 776 in higher level subjects, including Mathematics (maths analysis & approaches) and Physics."
F301,https://www.durham.ac.uk/study/courses/f301/,MPhys,Physics,A*A*A,A level offer – A*A*A,38,"IB Diploma score – 38 with 776 in higher level subjects, including Mathematics (maths analysis & approaches) and Physics."
F344,https://www.durham.ac.uk/study/courses/f344/,MPhys,Theoretical Physics,A*A*A,A level offer – A*A*A,38,"IB Diploma score – 38 with 776 in higher level subjects, including Mathematics (maths analysis & approaches) and Physics."
F400,https://www.durham.ac.uk/study/courses/f400/,BA,Archaeology,AAB,A level offer – AAB Contextual offer – BCC,36,IB Diploma score – 36 to include 665 in higher level subjects.
F402,https://www.durham.ac.uk/study/courses/f402/,BSc,Archaeology,AAB,A level offer – AAB Contextual offer – BCC,36,IB Diploma score – 36 to include 665 in higher level subjects.
F403,https://www.durham.ac.uk/study/courses/f403/,,,,,,
F600,https://www.durham.ac.uk/study/courses/f600/,BSc,Geology,AAB,A level offer – AAB,36,"IB Diploma score – 36 with 665 in higher level subjects, including two science subjects from list above."
F630,https://www.durham.ac.uk/study/courses/f630/,BSc,Environmental Geoscience,AAB,A level offer – AAB,36,"IB Diploma score – 36 with 665 in higher level subjects, including two science subjects from list above."
F643,https://www.durham.ac.uk/study/courses/f643/,BSc,Geoscience,AAB,A level offer – AAB,36,"IB Diploma score – 36 with 665 in higher level subjects, including two science subjects from the list above."
F644,https://www.durham.ac.uk/study/courses/f644/,MSci,Earth Sciences,AAA,A level offer – AAA,37,"IB Diploma score – 37 with 666 in higher level subjects, including two science subjects from the list above."
F645,https://www.durham.ac.uk/study/courses/f645/,BSc,Climate Science,AAB,A level offer – AAB,36,"IB Diploma score – 36 with 665 in higher level subjects, including two science subjects from list above."
F665,https://www.durham.ac.uk/study/courses/geophysics-f665/,BSc,Geophysics,AAB,A level offer – AAB,36,"IB Diploma score – 36 with 665 in higher level subjects, including two science subjects from the list above."
F800,https://www.durham.ac.uk/study/courses/f800/,BSc,Geography,AAA,A level offer – AAA or A*AB,37,"IB Diploma score – 37 with 666 in higher level subjects, including one science subject or Geography."
FF3N,https://www.durham.ac.uk/study/courses/ff3n/,MPhys,Physics and Astronomy,A*A*A,A level offer – A*A*A,38,"IB Diploma score – 38 with 776 in higher level subjects, including Mathematics (maths analysis & approaches) and Physics."
