university,kiscourseid,title,crseurl,degree_type,a_level_grade_req,a_level_subject_reqs,ib_grade_req,ib_subject_req,provaddress,ukprn,median_salary,foundation_year_available,placement_year,year_abroad
Durham University,B991,Health and Human Sciences,https://www.durham.ac.uk/study/courses/b991/,BSc,AAB,A level offer – AAB Contextual offer – BCC,36,IB Diploma score – 36 with 665 in higher level subjects.,"The Palatine Centre, University, Stockton Rd, Durham DH1 3LE, UK",10007143,28000,Yes,Yes,Yes
Durham University,C103,Biological Sciences,https://www.durham.ac.uk/study/courses/c103/,BSc,AAA,A level offer – AAA including Biology or Chemistry or Human Biology plus another science subject. Contextual offer – ABB including A and B in Biology or Chemistry or Human Biology plus another science subject.,37,IB Diploma score – 37 with 666 in higher level subjects including Biology or Chemistry plus another higher level science subject.,"The Palatine Centre, University, Stockton Rd, Durham DH1 3LE, UK",10007143,29000,No,Yes,Yes
Durham University,C107,Biosciences,https://www.durham.ac.uk/study/courses/c107/,MBiol,AAA,A level offer – AAA including Biology or Chemistry or Human Biology plus another science subject. Contextual offer – ABB including A and B in Biology or Chemistry or Human Biology plus another science subject.,37,IB Diploma score – 37 with 666 in higher level subjects including Biology or Chemistry plus another higher level science subject.,"The Palatine Centre, University, Stockton Rd, Durham DH1 3LE, UK",10007143,29000,No,No,No
Durham University,C603,"Sport, Exercise and Physical Activity",https://www.durham.ac.uk/study/courses/c603/,BA,AAB,A level offer – AAB Contextual offer – BBB/ABC,36,IB Diploma score – 36 with 665 in higher level subjects.,"The Palatine Centre, University, Stockton Rd, Durham DH1 3LE, UK",10007143,28000,Yes,Yes,Yes
Durham University,C606,Sport and Exercise Sciences,https://www.durham.ac.uk/study/courses/c606/,BSc,AAB,A level offer – AAB Contextual offer – BBB/ABC,36,IB Diploma score – 36 with 665 in higher level subjects.,"The Palatine Centre, University, Stockton Rd, Durham DH1 3LE, UK",10007143,28000,No,Yes,Yes
Durham University,C702,Biochemistry,https://www.durham.ac.uk/study/courses/c702/,BSc,AAA,A level offer – AAA including A in Chemistry and A in Mathematics. Contextual offer – ABB including A in Mathematics and B in Chemistry.,37,IB Diploma score – 37 with 666 in higher level subjects including Chemistry and Mathematics.,"The Palatine Centre, University, Stockton Rd, Durham DH1 3LE, UK",10007143,29000,No,Yes,Yes
Durham University,C800,Psychology,https://www.durham.ac.uk/study/courses/c800/,BSc,AAA,A level offer – AAA Contextual offer – BBB,37,IB Diploma score – 37 with 666 in higher level subjects,"The Palatine Centre, University, Stockton Rd, Durham DH1 3LE, UK",10007143,25500,No,Yes,Yes
Durham University,C807,Psychological and Behavioural Science,https://www.durham.ac.uk/study/courses/c807/,BSc,AAA,A level offer – AAA Contextual offer – BBB,37,IB Diploma score – 37 with 666 in higher level subjects,"The Palatine Centre, University, Stockton Rd, Durham DH1 3LE, UK",10007143,25500,No,Yes,Yes
Durham University,CFG0,Natural Sciences,https://www.durham.ac.uk/study/courses/cfg0/,BSc,A*AA,"A level offer – A*AA. All applicants taking A levels will need three A levels with at least one Science (Biology; Human Biology; Chemistry; Mathematics; Physics.) The standard offer is A*AA and you will need specific A level grades to study: To study Biology, an A at A level is required in either Biology or Chemistry; To study Chemistry, A*A at A level is required in Chemistry and Mathematics (either way round); To study Computer Science, an A at A level is required in Mathematics; To study Economics, an A at A level is required in Mathematics; To study Mathematics, A*A at A level in Mathematics and Further Mathematics (either way round) is required, or A* in Mathematics and A at AS Further Mathematics for students unable to take A Level Further Mathematics; To study Physics, A*A at A level is required in Physics and Mathematics (either way round). Contextual offer – AAB/A*AC",38,IB Diploma score – 38 All applicants taking the International Baccalaureate will need a score of 38 points overall including either 766 or 666 at the Higher Level with at least one of these in a Science (Biology; Chemistry; Mathematics (analysis & approaches); Physics.) You will need specific Higher Level grades to study:,"The Palatine Centre, University, Stockton Rd, Durham DH1 3LE, UK",10007143,32000,No,Yes,Yes
Durham University,CL86,Psychology and Anthropology,https://www.durham.ac.uk/study/courses/cl86/,BSc,AAA,A level offer – AAA Contextual offer – BBB,37,"IB Diploma score – 37 with 666 in higher level subjects. No specific subjects are required, and a combination of arts and science subjects is acceptable.","The Palatine Centre, University, Stockton Rd, Durham DH1 3LE, UK",10007143,25500,Yes,Yes,Yes
