ukprn,university,kiscourseid,title,crseurl,foundation_year_available,placement_year,year_abroad,median_salary
10007790,University of Edinburgh,UTACCFIMAH,Accounting and Finance,https://www.ed.ac.uk/ug/NN43,No,No,Yes,29000
10007790,University of Edinburgh,UTACMMEMAH,Ancient Mediterranean Civilisations,https://www.ed.ac.uk/ug/VV41,No,No,Yes,21000
10007790,University of Edinburgh,UTAICSCBSCH,Artificial Intelligence and Computer Science,https://www.ed.ac.uk/ug/GG47,No,No,Yes,36000
10007790,University of Edinburgh,UTAINTLBSCH,Artificial Intelligence,https://www.ed.ac.uk/ug/G700,No,No,Yes,30000
10007790,University of Edinburgh,UTANHGKMAH,Ancient History and Greek,https://www.ed.ac.uk/ug/VQ17,No,No,Yes,28000
10007790,University of Edinburgh,UTANHISMAH,Ancient History,https://www.ed.ac.uk/ug/V110,No,No,Yes,28000
10007790,University of Edinburgh,UTANHLTMAH,Ancient History and Latin,https://www.ed.ac.uk/ug/VQ16,No,No,Yes,28000
10007790,University of Edinburgh,UTANIMEBAH,Animation,https://www.ed.ac.uk/ug/W615,No,No,Yes,20000
10007790,University of Edinburgh,UTANMEHMAH,Ancient and Medieval History,https://www.ed.ac.uk/ug/V190,No,No,Yes,26000
10007790,University of Edinburgh,UTAPMATBSCH,Applied Mathematics,https://www.ed.ac.uk/ug/G120,No,No,Yes,34000
10007790,University of Edinburgh,UTAPPSSBSCH,Applied Sport Science,https://www.ed.ac.uk/ug/C610,No,No,Yes,26000
10007790,University of Edinburgh,UTARAAGMAH,Arabic and Ancient Greek,https://www.ed.ac.uk/ug/QQK7,No,No,Yes,28000
10007790,University of Edinburgh,UTARAFRMAH,Arabic and French,https://www.ed.ac.uk/ug/TR61,No,No,Yes,28000
10007790,University of Edinburgh,UTARAHIMAH,Arabic and History,https://www.ed.ac.uk/ug/TV61,No,No,Yes,28000
10007790,University of Edinburgh,UTARAPOMAH,Arabic and Politics,https://www.ed.ac.uk/ug/TL62,No,No,Yes,32000
10007790,University of Edinburgh,UTARAPRMAH,Arabic and Persian,https://www.ed.ac.uk/ug/T621,No,No,Yes,28000
10007790,University of Edinburgh,UTARASAMAH,Arabic and Social Anthropology,https://www.ed.ac.uk/ug/LT66,No,No,Yes,25000
10007790,University of Edinburgh,UTARASPMAH,Arabic and Spanish,https://www.ed.ac.uk/ug/TR64,No,No,Yes,28000
10007790,University of Edinburgh,UTARCHAMAH,Archaeology,https://www.ed.ac.uk/ug/V400,No,No,Yes,21000
10007790,University of Edinburgh,UTARCHMAH,Architecture,https://www.ed.ac.uk/ug/K100,No,No,Yes,24000
10007790,University of Edinburgh,UTARCSAMAH,Archaeology and Social Anthropology,https://www.ed.ac.uk/ug/VL46,No,No,Yes,25000
10007790,University of Edinburgh,UTARHIAMAH,Architectural History and Archaeology,https://www.ed.ac.uk/ug/VVH4,No,No,Yes,25500
10007790,University of Edinburgh,UTASPHBBSCH,Astrophysics,https://www.ed.ac.uk/ug/F510,No,No,Yes,31000
10007790,University of Edinburgh,UTASPHMMPHYS,Astrophysics,https://www.ed.ac.uk/ug/F361,No,No,Yes,31000
10007790,University of Edinburgh,UTBNGELCOS1F,Electronics and Computer Science,https://www.ed.ac.uk/ug/GH60,No,No,Yes,34000
10007790,University of Edinburgh,UTBSBCHBSCBF,Biological Sciences (Cell Biology),https://www.ed.ac.uk/ug/C130,No,No,Yes,26000
10007790,University of Edinburgh,UTBSBCHBSCH,Biological Sciences (Biochemistry),https://www.ed.ac.uk/ug/C700,No,No,Yes,26000
10007790,University of Edinburgh,UTBSBCHBSMGF,Biological Sciences (Molecular Genetics),https://www.ed.ac.uk/ug/C440,No,No,Yes,26000
10007790,University of Edinburgh,UTBSBTEBSCH,Biological Sciences (Biotechnology),https://www.ed.ac.uk/ug/J700,No,No,Yes,26000
10007790,University of Edinburgh,UTBSCACMUT1F,Acoustics and Music Technology,https://www.ed.ac.uk/ug/W380,No,No,Yes,22500
10007790,University of Edinburgh,UTBSCANDEV1F,Anatomy and Development,https://www.ed.ac.uk/ug/C183,No,No,Yes,25000
10007790,University of Edinburgh,UTBSCBIOIN1F,Biomedical Informatics,https://www.ed.ac.uk/studying/undergraduate/degrees/index.php?action=programme&code=UTBSCBIOIN,No,No,Yes,25000
10007790,University of Edinburgh,UTBSCBIOSC2F,Biomedical Sciences,https://www.ed.ac.uk/ug/C190,No,No,Yes,25000
10007790,University of Edinburgh,UTBSCBSDRS1F,"Biological Sciences (Development, Regeneration and Stem Cells)",https://www.ed.ac.uk/ug/C140,No,No,Yes,26000
10007790,University of Edinburgh,UTBSCECOLE1F,Ecological and Environmental Sciences,https://www.ed.ac.uk/ug/CF17,No,No,Yes,25000
10007790,University of Edinburgh,UTBSCECOLM1F,Ecological and Environmental Sciences with Management,https://www.ed.ac.uk/ug/CN12,No,No,Yes,25000
10007790,University of Edinburgh,UTBSCENVGS1F,Environmental Geoscience,https://www.ed.ac.uk/ug/F630,No,No,No,24000
10007790,University of Edinburgh,UTBSCESCIE1F,Earth Sciences,https://www.ed.ac.uk/ug/F600,No,No,Yes,24000
10007790,University of Edinburgh,UTBSCESPGE1F,Earth Science and Physical Geography,https://www.ed.ac.uk/ug/FF68,No,No,Yes,24000
10007790,University of Edinburgh,UTBSCGPHGE1F,Geophysics and Geology,https://www.ed.ac.uk/ug/F690,No,Yes,Yes,24000
10007790,University of Edinburgh,UTBSCINBIS1F,Integrative Biomedical Sciences,https://www.ed.ac.uk/studying/undergraduate/degrees/index.php?action=programme&code=UTBSCINBIS,No,No,Yes,25000
10007790,University of Edinburgh,UTBSCINFDI1F,Infectious Diseases,https://www.ed.ac.uk/ug/C590,No,No,Yes,30000
10007790,University of Edinburgh,UTBSCISBSCH,Biological Sciences,https://www.ed.ac.uk/ug/C100,No,No,Yes,26000
10007790,University of Edinburgh,UTBSCMATBU1F,Mathematics and Business,https://www.ed.ac.uk/ug/GN11,No,No,Yes,34000
10007790,University of Edinburgh,UTBSCNEURO1F,Neuroscience,https://www.ed.ac.uk/ug/B140,No,No,Yes,25000
10007790,University of Edinburgh,UTBSCPHARM1F,Pharmacology,https://www.ed.ac.uk/ug/B210,No,No,Yes,30000
10007790,University of Edinburgh,UTBSCPHYSI1F,Physiology,https://www.ed.ac.uk/ug/B120,No,No,Yes,25000
10007790,University of Edinburgh,UTBSCPSYCH1F,Psychology,https://www.ed.ac.uk/ug/C802,No,No,Yes,25000
10007790,University of Edinburgh,UTBSCREPBI1F,Reproductive Biology,https://www.ed.ac.uk/ug/C142,No,No,Yes,26000
10007790,University of Edinburgh,UTBSECOBSCH,Biological Sciences (Ecology),https://www.ed.ac.uk/ug/C180,No,No,Yes,26000
