ukprn,university,kiscourseid,title,crseurl,foundation_year_available,placement_year,year_abroad,median_salary
10007792,University of Exeter,UFA3CMMCMM01_P304,Media and Communications,https://www.exeter.ac.uk/study/undergraduate/courses2025/communications/comms/,No,Yes,Yes,25000
10007792,University of Exeter,UFA3CTHCTH02_Q800,Classics,https://www.exeter.ac.uk/study/undergraduate/courses2025/classics/classics/,No,Yes,Yes,26000
10007792,University of Exeter,UFA3CTHCTH05_V110,Ancient History,http://www.exeter.ac.uk/undergraduate/courses2025/classics/ancient/,No,Yes,Yes,26000
10007792,University of Exeter,UFA3CTHCTH11_Q801,Classical Studies,https://www.exeter.ac.uk/study/undergraduate/courses2025/classics/classical/,No,Yes,Yes,26000
10007792,University of Exeter,UFA3CTHCTH14_V615,Theology and Religion,https://www.exeter.ac.uk/study/undergraduate/courses2025/theology/theology,No,Yes,Yes,26000
10007792,University of Exeter,UFA3CTHCTH16_V617,"Religion, Culture and Society",https://www.exeter.ac.uk/study/undergraduate/courses2025/theology/religion/,No,Yes,Yes,26000
10007792,University of Exeter,UFA3CTHCTH17_QV90,Classical Studies and Religion,https://www.exeter.ac.uk/study/undergraduate/courses2025/classics/religion/,No,Yes,Yes,26000
10007792,University of Exeter,UFA3CTHEGL01_QQ3V,Classical Studies and English,https://www.exeter.ac.uk/undergraduate/courses2025/classics/classics-english/,No,Yes,Yes,25000
10007792,University of Exeter,UFA3CTHGOA01_VVC4,Ancient History and Archaeology,https://www.exeter.ac.uk/study/undergraduate/courses2025/classics/ancientarch/,No,Yes,Yes,23000
10007792,University of Exeter,UFA3CTHHPS01_QVV5,Classical Studies and Philosophy,https://www.exeter.ac.uk/study/undergraduate/courses2025/classics/classics-philosophy,No,Yes,Yes,26000
10007792,University of Exeter,UFA3DRAEGL01_W404,Drama and Film & Television Studies,https://www.exeter.ac.uk/study/undergraduate/courses2025/drama/dramafilm,No,Yes,Yes,25000
10007792,University of Exeter,UFA3EGLCMM01_Q326,English and Media and Communications,https://www.exeter.ac.uk/study/undergraduate/courses2025/english/english-comms/,No,Yes,Yes,25000
10007792,University of Exeter,UFA3EGLEGL06_Q310,English with Study in North America,https://www.exeter.ac.uk/study/undergraduate/courses2025/english/englishna,No,No,Yes,25000
10007792,University of Exeter,UFA3EGLEGL11_Q300,English,https://www.exeter.ac.uk/study/undergraduate/courses2025/english/english,No,Yes,Yes,25000
10007792,University of Exeter,UFA3EGLEGL12_W600,Film and Television Studies,https://www.exeter.ac.uk/study/undergraduate/courses2025/film/film/,No,Yes,Yes,25000
10007792,University of Exeter,UFA3EGLEGL13_Q3W6,English and Film & Television Studies,https://www.exeter.ac.uk/study/undergraduate/courses2025/english/film,No,Yes,Yes,25000
10007792,University of Exeter,UFA3EGLEGL14_Q317,English and Creative Writing,https://www.exeter.ac.uk/study/undergraduate/courses2025/english/creative/,No,Yes,Yes,25000
10007792,University of Exeter,UFA3EGLEGLCC_QVH3,Environmental Humanities,https://www.exeter.ac.uk/study/undergraduate/courses2025/envhum/envhum,No,Yes,Yes,28000
10007792,University of Exeter,UFA3EGLHPS01_QV01,English and History,https://www.exeter.ac.uk/study/undergraduate/courses2025/english/history/,No,Yes,Yes,25000
10007792,University of Exeter,UFA3EGLSPA02_WQ34,English and Drama,https://www.exeter.ac.uk/study/undergraduate/courses2025/english/engdrama,No,Yes,Yes,25000
10007792,University of Exeter,UFA3FSTCMM01_W608,Film and Television Studies and Media and Communications,https://www.exeter.ac.uk/study/undergraduate/courses2025/film/film-comms/,No,Yes,Yes,25000
10007792,University of Exeter,UFA3GOAGOA04_L705,Geography,https://www.exeter.ac.uk/study/undergraduate/courses2025/geography/exegeogba,No,Yes,Yes,27500
10007792,University of Exeter,UFA3GOAGOA07_V400,Archaeology,https://www.exeter.ac.uk/study/undergraduate/courses2025/archaeology/arch,No,Yes,Yes,23000
10007792,University of Exeter,UFA3GOAGOA08_VL46,Archaeology and Anthropology,https://www.exeter.ac.uk/study/undergraduate/courses2025/archaeology/archanth,No,Yes,Yes,26500
10007792,University of Exeter,UFA3HPSCTH04_QV83,Art History & Visual Culture and Classical Studies,https://www.exeter.ac.uk/study/undergraduate/courses2025/art/arthistclassics,No,Yes,Yes,28000
10007792,University of Exeter,UFA3HPSCTH05_V111,History and Ancient History,https://www.exeter.ac.uk/study/undergraduate/courses2025/history/history-ancient,No,Yes,Yes,28000
10007792,University of Exeter,UFA3HPSCTH06_VV5T,"Philosophy, Religion and Ethics",https://www.exeter.ac.uk/study/undergraduate/courses2025/philosophy/religion,No,Yes,Yes,25000
10007792,University of Exeter,UFA3HPSEGL02_QV33,Art History & Visual Culture and English,https://www.exeter.ac.uk/study/undergraduate/courses2025/art/arthistenglish,No,Yes,Yes,25000
10007792,University of Exeter,UFA3HPSGOACA_LL28,Politics and Geography,https://www.exeter.ac.uk/study/undergraduate/courses2025/politics/geography,No,Yes,Yes,29000
10007792,University of Exeter,UFA3HPSGOACB_V124,History and Geography,https://www.exeter.ac.uk/study/undergraduate/courses2025/history/history-geography-corn,No,Yes,Yes,28000
10007792,University of Exeter,UFA3HPSHPS01_L200,Politics,https://www.exeter.ac.uk/study/undergraduate/courses2025/politics/politics,No,Yes,Yes,29000
10007792,University of Exeter,UFA3HPSHPS03_LLH2,Politics and Sociology,https://www.exeter.ac.uk/study/undergraduate/courses2025/politics/sociology,No,No,Yes,25500
