ukprn,university,kiscourseid,title,crseurl,foundation_year_available,placement_year,year_abroad,median_salary
10007794,University of Glasgow,A100-2100,Medicine,http://www.gla.ac.uk/undergraduate/degrees/medicine/,No,No,No,37000
10007794,University of Glasgow,A200-2101,Dentistry,http://www.gla.ac.uk/undergraduate/degrees/dentistry/,No,No,No,38000
10007794,University of Glasgow,B110-2105,Anatomy,http://www.gla.ac.uk/undergraduate/degrees/anatomy/,No,No,Yes,22500
10007794,University of Glasgow,B140-2105,Neuroscience,http://www.gla.ac.uk/undergraduate/degrees/neuroscience/,No,No,Yes,24000
10007794,University of Glasgow,B140-2208,Psychology and Neuroscience,http://www.gla.ac.uk/undergraduate/degrees/psychology/,No,No,Yes,24000
10007794,University of Glasgow,B150-2105,Human Biology,http://www.gla.ac.uk/undergraduate/degrees/humanbiology/,No,No,Yes,25500
10007794,University of Glasgow,B210-2105,Pharmacology,http://www.gla.ac.uk/undergraduate/degrees/pharmacology/,No,No,Yes,28000
10007794,University of Glasgow,B700-2102,Nursing,http://www.gla.ac.uk/undergraduate/degrees/nursing/,No,No,No,30000
10007794,University of Glasgow,BC16-2105,Physiology & Sports Science,http://www.gla.ac.uk/undergraduate/degrees/physiologysportsscience/,No,No,Yes,22500
10007794,University of Glasgow,BC41-2105,Human Biology and Nutrition,https://www.gla.ac.uk/undergraduate/degrees/humanbiologynutrition/,No,No,Yes,28000
10007794,University of Glasgow,BC46-2105,"Physiology, Sports Science & Nutrition",http://www.gla.ac.uk/undergraduate/degrees/physiologysportssciencenutrition/,No,No,Yes,28000
10007794,University of Glasgow,C143-2105,Molecular & Cellular Biology with Biotechnology,http://www.gla.ac.uk/undergraduate/degrees/biotechnology/,No,No,Yes,25500
10007794,University of Glasgow,C144-2105,Molecular & Cellular Biology with Plant Science,http://www.gla.ac.uk/undergraduate/degrees/plantscience/,No,No,Yes,25500
10007794,University of Glasgow,C164-2105,Marine & Freshwater Biology,http://www.gla.ac.uk/undergraduate/degrees/marinefreshwaterbiology/,No,No,Yes,25500
10007794,University of Glasgow,C300-2105,Zoology,http://www.gla.ac.uk/undergraduate/degrees/zoology/,No,No,Yes,26000
10007794,University of Glasgow,C400-2105,Genetics,http://www.gla.ac.uk/undergraduate/degrees/genetics/,No,No,Yes,25500
10007794,University of Glasgow,C500-2105,Microbiology,http://www.gla.ac.uk/undergraduate/degrees/microbiology/,No,No,Yes,25500
10007794,University of Glasgow,C550-2105,Immunology,http://www.gla.ac.uk/undergraduate/degrees/immunology/,No,No,Yes,25500
10007794,University of Glasgow,C700-2105,Biochemistry,http://www.gla.ac.uk/undergraduate/degrees/biochemistry/,No,No,Yes,27000
10007794,University of Glasgow,C720-2105,Molecular & Cellular Biology,http://www.gla.ac.uk/undergraduate/degrees/molecularcellularbiology/,No,No,Yes,25500
10007794,University of Glasgow,CG81-2208,Mathematics/Psychology,http://www.gla.ac.uk/undergraduate/degrees/mathematics/,No,No,Yes,25500
10007794,University of Glasgow,CG84-2208,Computing Science/Psychology,http://www.gla.ac.uk/undergraduate/degrees/computingscience/,No,No,Yes,25500
10007794,University of Glasgow,CL81-2308,Economics/Psychology,http://www.gla.ac.uk/undergraduate/degrees/economics/,No,No,Yes,25500
10007794,University of Glasgow,CL82-2308,Politics/Psychology,http://www.gla.ac.uk/undergraduate/degrees/politics/,No,No,Yes,25500
10007794,University of Glasgow,CQ85-2000,Celtic Studies/Psychology,http://www.gla.ac.uk/undergraduate/degrees/celticstudies/,No,No,Yes,25500
10007794,University of Glasgow,CQ88-2000,Classics/Psychology,http://www.gla.ac.uk/undergraduate/degrees/classics/,No,No,Yes,25500
10007794,University of Glasgow,CQ8J-2000,English Language/Psychology,http://www.gla.ac.uk/undergraduate/degrees/englishlanguage/,No,No,Yes,25500
10007794,University of Glasgow,CQV5-2000,Celtic Civilisation/Psychology,http://www.gla.ac.uk/undergraduate/degrees/celticcivilisation/,No,No,Yes,25500
10007794,University of Glasgow,CV81-2000,History/Psychology,http://www.gla.ac.uk/undergraduate/degrees/history/,No,No,Yes,25500
10007794,University of Glasgow,CV83-2308,Economic & Social History/Psychology,http://www.gla.ac.uk/undergraduate/degrees/economicsocialhistory/,No,No,Yes,25500
10007794,University of Glasgow,CV84-2000,Archaeology/Psychology,http://www.gla.ac.uk/undergraduate/degrees/archaeology/,No,No,Yes,25500
10007794,University of Glasgow,CVV3-2000,History of Art/Psychology,http://www.gla.ac.uk/undergraduate/degrees/historyofart/,No,No,Yes,25500
10007794,University of Glasgow,CVV5-2000,Philosophy/Psychology,http://www.gla.ac.uk/undergraduate/degrees/philosophy/,No,No,Yes,25500
10007794,University of Glasgow,CW83-2000,Music/Psychology,http://www.gla.ac.uk/undergraduate/degrees/musicma/,No,No,Yes,25500
10007794,University of Glasgow,D100-2104,Veterinary Medicine and Surgery,http://www.gla.ac.uk/undergraduate/degrees/veterinarymedicine/,No,No,No,34000
10007794,University of Glasgow,D300-2107,Veterinary Biosciences,http://www.gla.ac.uk/undergraduate/degrees/veterinarybiosciences/,No,No,Yes,34000
10007794,University of Glasgow,F100-2208,Chemistry,http://www.gla.ac.uk/undergraduate/degrees/chemistry/,No,No,Yes,25000
10007794,University of Glasgow,F103-2208,Chemistry with Medicinal Chemistry,http://www.gla.ac.uk/undergraduate/degrees/chemistrymedicinal/,No,No,Yes,25000
10007794,University of Glasgow,F116-2208,Materials Chemistry,https://www.gla.ac.uk/undergraduate/degrees/materialschemistry/,No,No,Yes,25000
10007794,University of Glasgow,F300-2208,Physics,http://www.gla.ac.uk/undergraduate/degrees/physics/,No,No,Yes,30000
10007794,University of Glasgow,F320-2207,Chemical Physics,http://www.gla.ac.uk/undergraduate/degrees/chemicalphysics/,No,No,Yes,30000
10007794,University of Glasgow,F3F5-2208,Physics with Astrophysics,http://www.gla.ac.uk/undergraduate/degrees/physicswithastrophysics/,No,No,Yes,30000
10007794,University of Glasgow,F604A-2207,Geology,https://www.gla.ac.uk/undergraduate/degrees/geology/,No,No,Yes,25000
10007794,University of Glasgow,F752-2334,Environmental Science and Sustainability,http://www.gla.ac.uk/undergraduate/degrees/environmentalsciencesustainability/,No,No,Yes,26000
10007794,University of Glasgow,F800-2208,Geography,http://www.gla.ac.uk/undergraduate/degrees/geography/,No,No,Yes,26000
10007794,University of Glasgow,F900A-2312,Global Sustainable Development,https://www.gla.ac.uk/undergraduate/degrees/global-sustainable-development/,No,No,No,28000
10007794,University of Glasgow,FF67-2207,Environmental Geoscience,https://www.gla.ac.uk/undergraduate/degrees/environmentalgeoscience/,No,No,Yes,26000
10007794,University of Glasgow,FG5D-2207,Astronomy/Mathematics,http://www.gla.ac.uk/undergraduate/degrees/astronomy/,No,No,Yes,30000
10007794,University of Glasgow,G103-2207,"Mathematics (FR),MSci",https://www.gla.ac.uk/undergraduate/degrees/mathematics/,No,No,No,29500
10007794,University of Glasgow,G300-2208,Statistics,http://www.gla.ac.uk/undergraduate/degrees/statistics/,No,No,Yes,32000
10007794,University of Glasgow,G303-2207,"Statistics (FR),MSci",https://www.gla.ac.uk/undergraduate/degrees/statistics/,No,No,No,32000
10007794,University of Glasgow,G430-2208,Software Engineering,http://www.gla.ac.uk/undergraduate/degrees/softwareengineering/,No,No,Yes,40000
10007794,University of Glasgow,G503-2000,Digital Media & Information Studies,http://www.gla.ac.uk/undergraduate/degrees/digitalmedia/,No,No,Yes,40000
10007794,University of Glasgow,GG13A-2208,Mathematics and Statistics,https://www.gla.ac.uk/undergraduate/degrees/,No,No,No,29500
10007794,University of Glasgow,GH66-2208,Electronic & Software Engineering,http://www.gla.ac.uk/undergraduate/degrees/electronicsoftwareengineering/,No,No,Yes,34000
10007794,University of Glasgow,GN33-2208,Finance & Statistics,http://www.gla.ac.uk/undergraduate/degrees/financestatistics/,No,No,Yes,32000
10007794,University of Glasgow,GN34-2208,Accounting & Statistics,http://www.gla.ac.uk/undergraduate/degrees/accountingstatistics/,No,No,Yes,32000
10007794,University of Glasgow,GN42-2308,Computing Science/Business & Management,http://www.gla.ac.uk/undergraduate/degrees/businessmanagement/,No,No,Yes,40000
10007794,University of Glasgow,GQ16-2000,Latin/Mathematics,http://www.gla.ac.uk/undergraduate/degrees/latin/,No,No,Yes,29500
10007794,University of Glasgow,GQ5H-2000,Digital Media & Information Studies/English Literature,http://www.gla.ac.uk/undergraduate/degrees/englishliterature/,No,No,Yes,40000
10007794,University of Glasgow,H111-2304,Technological Education,http://www.gla.ac.uk/undergraduate/degrees/technologicaleducation/,No,No,No,32000
10007794,University of Glasgow,H200-2204,Civil Engineering,http://www.gla.ac.uk/undergraduate/degrees/civilengineering/,No,No,Yes,29000
10007794,University of Glasgow,H2K1-2204,Civil Eng with Architecture,http://www.gla.ac.uk/undergraduate/degrees/civilengineeringwitharchitecture/,No,No,Yes,29000
10007794,University of Glasgow,H300-2200,Mechanical Engineering,http://www.gla.ac.uk/undergraduate/degrees/mechanicalengineering/,No,No,Yes,31000
10007794,University of Glasgow,H315-2200,Mechatronics,http://www.gla.ac.uk/undergraduate/degrees/mechatronics/,No,No,Yes,30500
10007794,University of Glasgow,H3H4-2200,Mechanical Engineering with Aeronautics,http://www.gla.ac.uk/undergraduate/degrees/mechanicalengineeringwithaeronautics/,No,No,Yes,31000
