ukprn,kiscourseid,university_name,title,degree_type,median_salary,a_level_grade_req,a_level_subject_reqs,ib_grade_req,ib_subject_req,url,provaddress,placement_year,year_abroad,foundation_year_available,offer_rate
10003270,28G3,Imperial College London,Design Engineering,MEng,35000,A*AA,"A* in Mathematics; A, A in two further subjects",39,7 in Mathematics at higher level; 6 in another subject at higher level,https://www.imperial.ac.uk/study/courses/undergraduate/design-engineering/,"Faculty Building, Exhibition Road, London, SW7 2AZ",No,No,No,25%
10003270,A100,Imperial College London,Medicine,MBBS BSc,36000,AAA,A in Biology; A in Chemistry,38,"6 in Biology at higher level; 6 in Chemistry at higher level; To include: 6, 7 in Biology/Chemistry at higher level",https://www.imperial.ac.uk/study/courses/undergraduate/medicine/,"Faculty Building, Exhibition Road, London, SW7 2AZ",No,No,No,19%
10003270,B101,Imperial College London,Medical Biosciences,BSc,34000,AAA,"A in Biology or Human Biology; A in Chemistry, Mathematics, Further Mathematics or Physics",38,"6 in Biology at higher level; 6 in Chemistry, Mathematics or Physics at higher level",https://www.imperial.ac.uk/study/courses/undergraduate/medical-biosciences/,"Faculty Building, Exhibition Road, London, SW7 2AZ",No,No,No,28%
10003270,B111,Imperial College London,Medical Biosciences with Management,BSc,34000,AAA,"A in Biology or Human Biology; A in Chemistry, Mathematics, Further Mathematics or Physics",38,"6 in Biology at higher level; 6 in Chemistry, Mathematics or Physics at higher level",https://www.imperial.ac.uk/study/courses/undergraduate/medical-biosciences-management/,"Faculty Building, Exhibition Road, London, SW7 2AZ",No,No,No,38%
10003270,B800,Imperial College London,Biomedical Technology Ventures,BSc,36000,A*AA,"A* in Mathematics; A in Biology, Chemistry, or Physics",39,"6 in Mathematics* at higher level; 6 in Biology, Chemistry or Physics at higher level; 6 in another subject (another science subject, Further Mathematics or Economics are useful, but not required)",https://www.imperial.ac.uk/study/courses/undergraduate/biomedical-technology-ventures/,"Faculty Building, Exhibition Road, London, SW7 2AZ",No,No,No,58%
10003270,BH9C,Imperial College London,Biomedical Engineering,MEng,36000,A*AA,A* in Mathematics; A in Physics,39,6 in Mathematics at higher level; 6 in Physics at higher level; 6 in a third subject at higher level,https://www.imperial.ac.uk/study/courses/undergraduate/biomedical-engineering/,"Faculty Building, Exhibition Road, London, SW7 2AZ",No,No,No,48%
10003270,BJ95,Imperial College London,Biomaterials and Tissue Engineering,MEng,36000,AAA,A in Mathematics; A in Chemistry or Physics,38,6 in Mathematics at higher level; 6 in Physics or Chemistry at higher level,https://www.imperial.ac.uk/study/courses/undergraduate/biomaterials-tissue-engineering-meng/,"Faculty Building, Exhibition Road, London, SW7 2AZ",No,No,No,37%
10003270,C100,Imperial College London,Biological Sciences,BSc,30000,AAA,"A in Biology; A in Chemistry, Mathematics or Physics",38,"6 in Biology at higher level; 6 in Chemistry, Mathematics or Physics at higher level; 6 in Biology at higher level",https://www.imperial.ac.uk/study/courses/undergraduate/biological-sciences/,"Faculty Building, Exhibition Road, London, SW7 2AZ",No,No,No,33%
10003270,C180,Imperial College London,Ecology and Environmental Biology,BSc,32000,AAA,"A in Biology; A in Chemistry, Mathematics or Physics",38,"6 in Biology at higher level; 6 in Chemistry, Mathematics or Physics at higher level",https://www.imperial.ac.uk/study/courses/undergraduate/ecology-environmental-biology/,"Faculty Building, Exhibition Road, London, SW7 2AZ",No,No,No,32%
10003270,C1R1,Imperial College London,Biological Sciences with French for Science,BSc,30000,AAA,"A in Biology; A in Chemistry, Mathematics or Physics",38,"6 in Biology at higher level; 6 in Chemistry, Mathematics or Physics at higher level; 6 in Biology at higher level",https://www.imperial.ac.uk/study/courses/undergraduate/biological-sciences-language/#OptionA,"Faculty Building, Exhibition Road, London, SW7 2AZ",No,Yes,No,30%
10003270,C1R2,Imperial College London,Biological Sciences with German for Science,BSc,30000,AAA,"A in Biology; A in Chemistry, Mathematics or Physics",38,"6 in Biology at higher level; 6 in Chemistry, Mathematics or Physics at higher level; 6 in Biology at higher level",https://www.imperial.ac.uk/study/courses/undergraduate/biological-sciences-language/#OptionB,"Faculty Building, Exhibition Road, London, SW7 2AZ",No,Yes,No,33%
10003270,C1R4,Imperial College London,Biological Sciences with Spanish for Science,BSc,30000,AAA,"A in Biology; A in Chemistry, Mathematics or Physics",38,"6 in Biology at higher level; 6 in Chemistry, Mathematics or Physics at higher level; 6 in Biology at higher level",https://www.imperial.ac.uk/study/courses/undergraduate/biological-sciences-language/#OptionC,"Faculty Building, Exhibition Road, London, SW7 2AZ",No,Yes,No,33%
10003270,C500,Imperial College London,Microbiology,BSc,32000,AAA,"A in Biology; A in Chemistry, Mathematics or Physics",38,"6 in Biology at higher level; 6 in Chemistry, Mathematics or Physics at higher level",https://www.imperial.ac.uk/study/courses/undergraduate/microbiology/,"Faculty Building, Exhibition Road, London, SW7 2AZ",No,No,No,30%
10003270,C700,Imperial College London,Biochemistry,BSc,34000,AAA,"A in Chemistry; A in Biology, Mathematics or Physics",38,"6 in Chemistry at higher level; 6 in Biology, Mathematics or Physics at higher level; 6 in Chemistry at higher level",https://www.imperial.ac.uk/study/courses/undergraduate/biochemistry-bsc/,"Faculty Building, Exhibition Road, London, SW7 2AZ",No,No,No,24%
10003270,C7R1,Imperial College London,Biochemistry with French for Science,BSc,34000,AAA,"A in Chemistry; A in Biology, Mathematics or Physics",38,"6 in Chemistry at higher level; 6 in Biology, Mathematics or Physics at higher level; 6 in Chemistry at higher level",https://www.imperial.ac.uk/study/courses/undergraduate/biochemistry-language/#OptionA,"Faculty Building, Exhibition Road, London, SW7 2AZ",No,Yes,No,33%
10003270,C7R2,Imperial College London,Biochemistry with German for Science,BSc,34000,AAA,"A in Chemistry; A in Biology, Mathematics or Physics",38,"6 in Chemistry at higher level; 6 in Biology, Mathematics or Physics at higher level; 6 in Chemistry at higher level",https://www.imperial.ac.uk/study/courses/undergraduate/biochemistry-language/#OptionB,"Faculty Building, Exhibition Road, London, SW7 2AZ",No,Yes,No,25%
10003270,C7R4,Imperial College London,Biochemistry with Spanish for Science,BSc,34000,AAA,"A in Chemistry; A in Biology, Mathematics or Physics",38,"6 in Chemistry at higher level; 6 in Biology, Mathematics or Physics at higher level; 6 in Chemistry at higher level",https://www.imperial.ac.uk/study/courses/undergraduate/biochemistry-language/#OptionC,"Faculty Building, Exhibition Road, London, SW7 2AZ",No,Yes,No,20%
10003270,F100,Imperial College London,Chemistry,BSc,36000,AAA,A in Chemistry; A in Mathematics,38,"6 in Chemistry at higher level; 6 in Mathematics at higher level; 6 in a third subject at higher level (Biology, Economics or Physics are preferred)",https://www.imperial.ac.uk/study/courses/undergraduate/chemistry-bsc/,"Faculty Building, Exhibition Road, London, SW7 2AZ",No,No,No,24%
10003270,F101,Imperial College London,Chemistry with Research Abroad and a Year in Industry,MSci,36000,AAA,A in Chemistry; A in Mathematics,38,"6 in Chemistry at higher level; 6 in Mathematics at higher level; 6 in a third subject at higher level (Biology, Economics or Physics are preferred)",https://www.imperial.ac.uk/study/courses/undergraduate/chemistry-msci/#OptionC,"Faculty Building, Exhibition Road, London, SW7 2AZ",Yes,Yes,No,46%
10003270,F103,Imperial College London,Chemistry,MSci,36000,AAA,A in Chemistry; A in Mathematics,38,"6 in Chemistry at higher level; 6 in Mathematics at higher level; 6 in a third subject at higher level (Biology, Economics or Physics are preferred)",https://www.imperial.ac.uk/study/courses/undergraduate/chemistry-msci/,"Faculty Building, Exhibition Road, London, SW7 2AZ",No,No,No,51%
10003270,F104,Imperial College London,Chemistry with Research Abroad,MSci,36000,AAA,A in Chemistry; A in Mathematics,38,"6 in Chemistry at higher level; 6 in Mathematics at higher level; 6 in a third subject at higher level (Biology, Economics or Physics are preferred)",https://www.imperial.ac.uk/study/courses/undergraduate/chemistry-msci/#OptionB,"Faculty Building, Exhibition Road, London, SW7 2AZ",No,Yes,No,51%
10003270,F105,Imperial College London,Chemistry with a Year in Industry,MSci,36000,AAA,A in Chemistry; A in Mathematics,38,"6 in Chemistry at higher level; 6 in Mathematics at higher level; 6 in a third subject at higher level (Biology, Economics or Physics are preferred)",https://www.imperial.ac.uk/study/courses/undergraduate/chemistry-msci/#OptionA,"Faculty Building, Exhibition Road, London, SW7 2AZ",Yes,No,No,48%
10003270,F124,Imperial College London,Chemistry with Medicinal Chemistry,MSci,36000,AAA,A in Chemistry; A in Mathematics,38,"6 in Chemistry at higher level; 6 in Mathematics at higher level; 6 in a third subject at higher level (Biology, Economics or Physics are preferred)",https://www.imperial.ac.uk/study/courses/undergraduate/chemistry-medicinal/,"Faculty Building, Exhibition Road, London, SW7 2AZ",No,No,No,27%
10003270,F125,Imperial College London,Chemistry with Medicinal Chemistry and a Year in Industry,MSci,36000,AAA,A in Chemistry; A in Mathematics,38,"6 in Chemistry at higher level; 6 in Mathematics at higher level; 6 in a third subject at higher level (Biology, Economics or Physics are preferred)",https://www.imperial.ac.uk/study/courses/undergraduate/chemistry-medicinal/#OptionA,"Faculty Building, Exhibition Road, London, SW7 2AZ",Yes,No,No,39%
10003270,F1F3,Imperial College London,Chemistry with Molecular Physics,MSci,35000,AAA,A in Chemistry; A in Mathematics,38,6 in Chemistry at higher level; 6 in Mathematics at higher level; 6 in Physics at higher level,https://www.imperial.ac.uk/study/courses/undergraduate/chemistry-molecular-physics/,"Faculty Building, Exhibition Road, London, SW7 2AZ",No,No,No,36%
10003270,F1FH,Imperial College London,Chemistry with Molecular Physics and a Year in Industry,MSci,35000,AAA,A in Chemistry; A in Mathematics,38,6 in Chemistry at higher level; 6 in Mathematics at higher level; 6 in Physics at higher level,https://www.imperial.ac.uk/study/courses/undergraduate/chemistry-molecular-physics/#OptionA,"Faculty Building, Exhibition Road, London, SW7 2AZ",Yes,No,No,18%
10003270,F1NF,Imperial College London,Chemistry with Management,BSc,36000,AAA,A in Chemistry; A in Mathematics,38,"6 in Chemistry at higher level; 6 in Mathematics at higher level; 6 in a third subject at higher level (Biology, Economics or Physics are preferred)",https://www.imperial.ac.uk/study/courses/undergraduate/chemistry-management/,"Faculty Building, Exhibition Road, London, SW7 2AZ",No,No,No,19%
10003270,F300,Imperial College London,Physics,BSc,35000,A*A*A,A* in Mathematics; A* in Physics,40,7 in Mathematics* at higher level; 7 in Physics at higher level; 6 in a third subject at higher level,https://www.imperial.ac.uk/study/courses/undergraduate/physics-bsc/,"Faculty Building, Exhibition Road, London, SW7 2AZ",No,No,No,26%
10003270,F303,Imperial College London,Physics,MSci,35000,A*A*A,A* in Mathematics; A* in Physics,40,7 in Mathematics* at higher level; 7 in Physics at higher level; 6 in a third subject at higher level,https://www.imperial.ac.uk/study/courses/undergraduate/physics-msci/,"Faculty Building, Exhibition Road, London, SW7 2AZ",No,No,No,44%
10003270,F309,Imperial College London,Physics with a Year Abroad,MSci,35000,A*A*A,A* in Mathematics; A* in Physics,40,7 in Mathematics* at higher level; 7 in Physics at higher level; 6 in a third subject at higher level,https://www.imperial.ac.uk/study/courses/undergraduate/physics-msci/#OptionA,"Faculty Building, Exhibition Road, London, SW7 2AZ",No,Yes,No,43%
10003270,F325,Imperial College London,Physics with Theoretical Physics,BSc,35000,A*A*A,A* in Mathematics; A* in Physics,40,7 in Mathematics* at higher level; 7 in Physics at higher level; 6 in a third subject at higher level,https://www.imperial.ac.uk/study/courses/undergraduate/physics-theoretical-bsc/,"Faculty Building, Exhibition Road, London, SW7 2AZ",No,No,No,30%
10003270,F390,Imperial College London,Physics with Theoretical Physics,MSci,35000,A*A*A,A* in Mathematics; A* in Physics,40,7 in Mathematics* at higher level; 7 in Physics at higher level; 6 in a third subject at higher level,https://www.imperial.ac.uk/study/courses/undergraduate/physics-theoretical-msci/,"Faculty Building, Exhibition Road, London, SW7 2AZ",No,No,No,48%
10003270,F520,Imperial College London,Earth and Planetary Science with a Year Abroad,MSci,35000,AAA,"A in Mathematics; A in Biology, Chemistry, Geography, Geology or Physics",39,"6 in Mathematics at higher level; 6 in Biology, Chemistry, Geography, Geology or Physics at higher level; 6 in Mathematics at higher level",https://www.imperial.ac.uk/study/courses/undergraduate/earth-planetary-science-msci/#abroad,"Faculty Building, Exhibition Road, London, SW7 2AZ",No,Yes,No,77%
10003270,F600,Imperial College London,Geology,BSc,32000,AAA,Biology; Chemistry,39,Biology; Chemistry; Geography,https://www.imperial.ac.uk/study/courses/undergraduate/geology-bsc/,"Faculty Building, Exhibition Road, London, SW7 2AZ",No,No,No,62%
10003270,F601,Imperial College London,Geology with a Year Abroad,MSci,32000,AAA,Biology; Chemistry,39,Biology; Chemistry; Geography,https://www.imperial.ac.uk/study/courses/undergraduate/geology-msci/#abroad,"Faculty Building, Exhibition Road, London, SW7 2AZ",No,Yes,No,90%
10003270,F640,Imperial College London,Geology,MSci,32000,AAA,Biology; Chemistry,39,Biology; Chemistry; Geography,https://www.imperial.ac.uk/study/courses/undergraduate/geology-msci/,"Faculty Building, Exhibition Road, London, SW7 2AZ",No,No,No,84%
10003270,F647,Imperial College London,Earth and Planetary Science,MSci,35000,AAA,"A in Mathematics; A in Biology, Chemistry, Geography, Geology or Physics",39,"6 in Mathematics at higher level; 6 in Biology, Chemistry, Geography, Geology or Physics at higher level; 6 in Mathematics at higher level",https://www.imperial.ac.uk/study/courses/undergraduate/earth-planetary-science-msci/,"Faculty Building, Exhibition Road, London, SW7 2AZ",No,No,No,77%
