title,crseurl
Design Engineering,https://www.imperial.ac.uk/study/courses/undergraduate/design-engineering/
Medicine,https://www.imperial.ac.uk/study/courses/undergraduate/medicine/
Medicine (Graduate Entry),https://www.imperial.ac.uk/study/courses/undergraduate/medicine-graduate-entry/
Medical Biosciences,https://www.imperial.ac.uk/study/courses/undergraduate/medical-biosciences/
Medical Biosciences with Management,https://www.imperial.ac.uk/study/courses/undergraduate/medical-biosciences-management/
Biomedical Technology Ventures,https://www.imperial.ac.uk/study/courses/undergraduate/biomedical-technology-ventures/
Biomedical Engineering,https://www.imperial.ac.uk/study/courses/undergraduate/biomedical-engineering/
Biomaterials and Tissue Engineering,https://www.imperial.ac.uk/study/courses/undergraduate/biomaterials-tissue-engineering-meng/
Biological Sciences,https://www.imperial.ac.uk/study/courses/undergraduate/biological-sciences/
Ecology and Environmental Biology,https://www.imperial.ac.uk/study/courses/undergraduate/ecology-environmental-biology/
Biological Sciences with French for Science,https://www.imperial.ac.uk/study/courses/undergraduate/biological-sciences-language/#OptionA
Biological Sciences with German for Science,https://www.imperial.ac.uk/study/courses/undergraduate/biological-sciences-language/#OptionB
Biological Sciences with Spanish for Science,https://www.imperial.ac.uk/study/courses/undergraduate/biological-sciences-language/#OptionC
Microbiology,https://www.imperial.ac.uk/study/courses/undergraduate/microbiology/
Biochemistry,https://www.imperial.ac.uk/study/courses/undergraduate/biochemistry-bsc/
Biochemistry with French for Science,https://www.imperial.ac.uk/study/courses/undergraduate/biochemistry-language/#OptionA
Biochemistry with German for Science,https://www.imperial.ac.uk/study/courses/undergraduate/biochemistry-language/#OptionB
Biochemistry with Spanish for Science,https://www.imperial.ac.uk/study/courses/undergraduate/biochemistry-language/#OptionC
Chemistry,https://www.imperial.ac.uk/study/courses/undergraduate/chemistry-bsc/
Chemistry with Research Abroad and a Year in Industry,https://www.imperial.ac.uk/study/courses/undergraduate/chemistry-msci/#OptionC
Chemistry,https://www.imperial.ac.uk/study/courses/undergraduate/chemistry-msci/
Chemistry with Research Abroad,https://www.imperial.ac.uk/study/courses/undergraduate/chemistry-msci/#OptionB
Chemistry with a Year in Industry,https://www.imperial.ac.uk/study/courses/undergraduate/chemistry-msci/#OptionA
Chemistry with Medicinal Chemistry,https://www.imperial.ac.uk/study/courses/undergraduate/chemistry-medicinal/
Chemistry with Medicinal Chemistry and a Year in Industry,https://www.imperial.ac.uk/study/courses/undergraduate/chemistry-medicinal/#OptionA
Chemistry with Molecular Physics,https://www.imperial.ac.uk/study/courses/undergraduate/chemistry-molecular-physics/
Chemistry with Molecular Physics and a Year in Industry,https://www.imperial.ac.uk/study/courses/undergraduate/chemistry-molecular-physics/#OptionA
Chemistry with Management,https://www.imperial.ac.uk/study/courses/undergraduate/chemistry-management/
Physics,https://www.imperial.ac.uk/study/courses/undergraduate/physics-bsc/
Physics,https://www.imperial.ac.uk/study/courses/undergraduate/physics-msci/
Physics with a Year Abroad,https://www.imperial.ac.uk/study/courses/undergraduate/physics-msci/#OptionA
Physics with Theoretical Physics,https://www.imperial.ac.uk/study/courses/undergraduate/physics-theoretical-bsc/
Physics with Theoretical Physics,https://www.imperial.ac.uk/study/courses/undergraduate/physics-theoretical-msci/
Earth and Planetary Science with a Year Abroad,https://www.imperial.ac.uk/study/courses/undergraduate/earth-planetary-science-msci/#abroad
Geology,https://www.imperial.ac.uk/study/courses/undergraduate/geology-bsc/
Geology with a Year Abroad,https://www.imperial.ac.uk/study/courses/undergraduate/geology-msci/#abroad
Geology,https://www.imperial.ac.uk/study/courses/undergraduate/geology-msci/
Earth and Planetary Science,https://www.imperial.ac.uk/study/courses/undergraduate/earth-planetary-science-msci/
Earth and Planetary Science,https://www.imperial.ac.uk/study/courses/undergraduate/earth-planetary-science-bsc/
Geophysics,https://www.imperial.ac.uk/study/courses/undergraduate/geophysics-msci/
Geophysics,https://www.imperial.ac.uk/study/courses/undergraduate/geophysics-bsc/
Geophysics with a Year Abroad,https://www.imperial.ac.uk/study/courses/undergraduate/geophysics-msci/#abroad
Chemistry with Management and a Year in Industry,https://www.imperial.ac.uk/study/courses/undergraduate/chemistry-management/#OptionA
Mathematics,https://www.imperial.ac.uk/study/courses/undergraduate/mathematics-bsc/
Mathematics with Mathematical Computation,https://www.imperial.ac.uk/study/courses/undergraduate/mathematics-computation/
Mathematics,https://www.imperial.ac.uk/study/courses/undergraduate/mathematics-msci/
Mathematics with a Year Abroad,https://www.imperial.ac.uk/study/courses/undergraduate/mathematics-msci/#OptionA
Mathematics (Pure Mathematics),https://www.imperial.ac.uk/study/courses/undergraduate/pure-mathematics-bsc/
Mathematics with Applied Mathematics/Mathematical Physics,https://www.imperial.ac.uk/study/courses/undergraduate/mathematics-applied-physics/
