url,degree_type,degree_title,grade_req,subject_reqs
https://www.imperial.ac.uk/study/courses/undergraduate/design-engineering/,MEng,Design Engineering,A*AA,"A* in Mathematics ; A, A in two further subjects"
https://www.imperial.ac.uk/study/courses/undergraduate/medicine/,MBBS/BSc,Medicine,AAA,A in Biology ; A in Chemistry
https://www.imperial.ac.uk/study/courses/undergraduate/medicine-graduate-entry/,MBBS,Medicine (Graduate Entry) (MBBS 4YFT),2:1 (or above),Anatomy/Anatomical Science ; Biochemistry
https://www.imperial.ac.uk/study/courses/undergraduate/medical-biosciences/,BSc,Medical Biosciences,AAA,"A in Biology or Human Biology ; A in Chemistry, Mathematics, Further Mathematics or Physics"
https://www.imperial.ac.uk/study/courses/undergraduate/medical-biosciences-management/,BSc,Medical Biosciences with Management,AAA,"A in Biology or Human Biology ; A in Chemistry, Mathematics, Further Mathematics or Physics"
https://www.imperial.ac.uk/study/courses/undergraduate/biomedical-technology-ventures/,BSc,Biomedical Technology Ventures,A*AA,"A* in Mathematics ; A in Biology, Chemistry, or Physics"
https://www.imperial.ac.uk/study/courses/undergraduate/biomedical-engineering/,MEng,Biomedical Engineering,A*AA,A* in Mathematics ; A in Physics
https://www.imperial.ac.uk/study/courses/undergraduate/biomaterials-tissue-engineering-meng/,MEng,"Biomaterials and Tissue Engineering
",AAA,A in Mathematics ; A in Chemistry or Physics
https://www.imperial.ac.uk/study/courses/undergraduate/biological-sciences/,BSc,Biological Sciences,AAA,"A in Biology ; A in Chemistry, Mathematics or Physics"
https://www.imperial.ac.uk/study/courses/undergraduate/ecology-environmental-biology/,BSc,"Ecology and Environmental Biology
",AAA,"A in Biology ; A in Chemistry, Mathematics or Physics"
https://www.imperial.ac.uk/study/courses/undergraduate/biological-sciences-language/#OptionA,BSc,Biological Sciences with Language for Science,AAA,"A in Biology ; A in Chemistry, Mathematics or Physics"
https://www.imperial.ac.uk/study/courses/undergraduate/biological-sciences-language/#OptionB,BSc,Biological Sciences with Language for Science,AAA,"A in Biology ; A in Chemistry, Mathematics or Physics"
https://www.imperial.ac.uk/study/courses/undergraduate/biological-sciences-language/#OptionC,BSc,Biological Sciences with Language for Science,AAA,"A in Biology ; A in Chemistry, Mathematics or Physics"
https://www.imperial.ac.uk/study/courses/undergraduate/microbiology/,BSc,"Microbiology
",AAA,"A in Biology ; A in Chemistry, Mathematics or Physics"
https://www.imperial.ac.uk/study/courses/undergraduate/biochemistry-bsc/,BSc,Biochemistry,AAA,"A in Chemistry ; A in Biology, Mathematics or Physics"
https://www.imperial.ac.uk/study/courses/undergraduate/biochemistry-language/#OptionA,BSc,Biochemistry with Language for Science,AAA,"A in Chemistry ; A in Biology, Mathematics or Physics"
https://www.imperial.ac.uk/study/courses/undergraduate/biochemistry-language/#OptionB,BSc,Biochemistry with Language for Science,AAA,"A in Chemistry ; A in Biology, Mathematics or Physics"
https://www.imperial.ac.uk/study/courses/undergraduate/biochemistry-language/#OptionC,BSc,Biochemistry with Language for Science,AAA,"A in Chemistry ; A in Biology, Mathematics or Physics"
https://www.imperial.ac.uk/study/courses/undergraduate/chemistry-bsc/,BSc,Chemistry,AAA,A in Chemistry ; A in Mathematics
https://www.imperial.ac.uk/study/courses/undergraduate/chemistry-msci/#OptionC,MSci,Chemistry,AAA,A in Chemistry ; A in Mathematics
https://www.imperial.ac.uk/study/courses/undergraduate/chemistry-msci/,MSci,Chemistry,AAA,A in Chemistry ; A in Mathematics
https://www.imperial.ac.uk/study/courses/undergraduate/chemistry-msci/#OptionB,MSci,Chemistry,AAA,A in Chemistry ; A in Mathematics
https://www.imperial.ac.uk/study/courses/undergraduate/chemistry-msci/#OptionA,MSci,Chemistry,AAA,A in Chemistry ; A in Mathematics
https://www.imperial.ac.uk/study/courses/undergraduate/chemistry-medicinal/,MSci,Chemistry with Medicinal Chemistry,AAA,A in Chemistry ; A in Mathematics
https://www.imperial.ac.uk/study/courses/undergraduate/chemistry-medicinal/#OptionA,MSci,Chemistry with Medicinal Chemistry,AAA,A in Chemistry ; A in Mathematics
https://www.imperial.ac.uk/study/courses/undergraduate/chemistry-molecular-physics/,MSci,Chemistry with Molecular Physics,AAA,A in Chemistry ; A in Mathematics
https://www.imperial.ac.uk/study/courses/undergraduate/chemistry-molecular-physics/#OptionA,MSci,Chemistry with Molecular Physics,AAA,A in Chemistry ; A in Mathematics
https://www.imperial.ac.uk/study/courses/undergraduate/chemistry-management/,BSc,Chemistry with Management,AAA,A in Chemistry ; A in Mathematics
https://www.imperial.ac.uk/study/courses/undergraduate/physics-bsc/,"BSc
",Physics,A*A*A,A* in Mathematics ; A* in Physics
https://www.imperial.ac.uk/study/courses/undergraduate/physics-msci/,MSci,Physics,A*A*A,A* in Mathematics ; A* in Physics
https://www.imperial.ac.uk/study/courses/undergraduate/physics-msci/#OptionA,MSci,Physics,A*A*A,A* in Mathematics ; A* in Physics
https://www.imperial.ac.uk/study/courses/undergraduate/physics-theoretical-bsc/,BSc,Physics with Theoretical Physics,A*A*A,A* in Mathematics ; A* in Physics
https://www.imperial.ac.uk/study/courses/undergraduate/physics-theoretical-msci/,MSci,Physics with Theoretical Physics,A*A*A,A* in Mathematics ; A* in Physics
https://www.imperial.ac.uk/study/courses/undergraduate/earth-planetary-science-msci/#abroad,MSci,Earth and Planetary Science,AAA,"A in Mathematics ; A in Biology, Chemistry, Geography, Geology or Physics"
https://www.imperial.ac.uk/study/courses/undergraduate/geology-bsc/,BSc,Geology,AAA,Biology ; Chemistry
https://www.imperial.ac.uk/study/courses/undergraduate/geology-msci/#abroad,MSci,Geology,AAA,Biology ; Chemistry
https://www.imperial.ac.uk/study/courses/undergraduate/geology-msci/,MSci,Geology,AAA,Biology ; Chemistry
https://www.imperial.ac.uk/study/courses/undergraduate/earth-planetary-science-msci/,MSci,Earth and Planetary Science,AAA,"A in Mathematics ; A in Biology, Chemistry, Geography, Geology or Physics"
