ukprn,kiscourseid,title,crseurl
10003645,UBAH3AJHYIR,History & International Relations,https://www.kcl.ac.uk/study/undergraduate/courses/history-and-international-relations
10003645,UBAH3AJHYPE,History and Political Economy,https://www.kcl.ac.uk/study/undergraduate/courses/history-political-economy
10003645,UBAH3AMCLEN,Classical Studies with English,https://www.kcl.ac.uk/study/undergraduate/courses/classical-studies-with-english-ba
10003645,UBAH3AMCTFS,Comparative Literature with Film Studies,https://www.kcl.ac.uk/study/undergraduate/courses/comparative-literature-with-film-studies-ba
10003645,UBAH3AMENFS,English with Film Studies,https://www.kcl.ac.uk/study/undergraduate/courses/english-with-film-studies-ba
10003645,UBAH3ASAH,Ancient History,https://www.kcl.ac.uk/study/undergraduate/courses/ancient-history-ba
10003645,UBAH3ASCM,"""Culture, Media & Creative Industries""",https://www.kcl.ac.uk/study/undergraduate/courses/culture-media-creative-industries-ba
10003645,UBAH3ASCT,Comparative Literature,https://www.kcl.ac.uk/study/undergraduate/courses/comparative-literature-ba
10003645,UBAH3ASCW,Classics and the Ancient World,https://www.kcl.ac.uk/study/undergraduate/courses/classics-and-the-ancient-world-ba
10003645,UBAH3ASDMC,Digital Media and Culture,https://www.kcl.ac.uk/study/undergraduate/courses/digital-media-culture-ba
10003645,UBAH3ASEU,European Politics,https://www.kcl.ac.uk/study/undergraduate/courses/european-politics-ba
10003645,UBAH3ASEZ,English,https://www.kcl.ac.uk/study/undergraduate/courses/english-ba
10003645,UBAH3ASFS,Film Studies,https://www.kcl.ac.uk/study/undergraduate/courses/film-studies-ba
10003645,UBAH3ASHY,History,https://www.kcl.ac.uk/study/undergraduate/courses/history-ba
10003645,UBAH3ASLB,Liberal Arts,https://www.kcl.ac.uk/study/undergraduate/courses/liberal-arts-ba
10003645,UBAH3ASPL,Philosophy,https://www.kcl.ac.uk/study/undergraduate/courses/philosophy-ba
10003645,UBAH3ASRE,"""Religion, Philosophy & Ethics""",https://www.kcl.ac.uk/study/undergraduate/courses/religion-philosophy-and-ethics-ba
10003645,UBAH3ASSR,"Sociology, Politics and Religion",https://www.kcl.ac.uk/study/undergraduate/courses/sociology-politics-and-religion-ba
10003645,UBAH3SGHSS,Global Health and Social Science,https://www.kcl.ac.uk/study/undergraduate/courses/global-health-and-social-science-ba
10003645,UBAH3SJWAHY,War Studies & History,https://www.kcl.ac.uk/study/undergraduate/courses/war-studies-and-history-ba
10003645,UBAH3SSGH,Geography,https://www.kcl.ac.uk/study/undergraduate/courses/geography-ba
10003645,UBAH3SSLI,English Language & Linguistics,https://www.kcl.ac.uk/study/undergraduate/courses/english-language-and-linguistics-ba
10003645,UBAH3SSOE,"""Philosophy, Politics & Economics""",https://www.kcl.ac.uk/study/undergraduate/courses/philosophy-politics-and-economics-ba-bsc
10003645,UBAH3SSPM,Political Economy,https://www.kcl.ac.uk/study/undergraduate/courses/political-economy-ba-bsc
10003645,UBAH3SSPZ,Politics,https://www.kcl.ac.uk/study/undergraduate/courses/politics-ba-bsc
10003645,UBAH3SSRL,International Relations,https://www.kcl.ac.uk/study/undergraduate/courses/international-relations-ba
10003645,UBAH3SSSO,Social Sciences,https://www.kcl.ac.uk/study/undergraduate/courses/social-sciences-ba
10003645,UBAH3SSWA,War Studies,https://www.kcl.ac.uk/study/undergraduate/courses/war-studies-ba
10003645,UBAH3YSDE,International Development,https://www.kcl.ac.uk/study/undergraduate/courses/international-development-ba
10003645,UBAH4AJEHML,English and Modern Languages with a Year Abroad,https://www.kcl.ac.uk/study/undergraduate/courses/english-and-modern-languages-with-a-year-abroad-ba
10003645,UBAH4AJHYML,History and Modern Languages with a Year Abroad,https://www.kcl.ac.uk/study/undergraduate/courses/history-and-modern-languages-with-a-year-abroad-ba
10003645,UBAH4AJMTML,Management and Modern Languages with a Year Abroad,https://www.kcl.ac.uk/study/undergraduate/courses/management-and-modern-languages-with-a-year-abroad-ba
10003645,UBAH4AJPYML,Philosophy and Modern Languages with a Year Abroad,https://www.kcl.ac.uk/study/undergraduate/courses/philosophy-and-modern-languages-with-a-year-abroad-ba
10003645,UBAH4ASMLY,Modern Languages with a Year Abroad,https://www.kcl.ac.uk/study/undergraduate/courses/modern-languages-ba
10003645,UBAH4ASUF,European Studies (French pathway) with a year abroad,https://www.kcl.ac.uk/study/undergraduate/courses/european-studies-french-pathway-with-a-year-abroad-ba
10003645,UBAH4ASUG,European Studies (German pathway) with a year abroad,https://www.kcl.ac.uk/study/undergraduate/courses/european-studies-german-pathway-with-a-year-abroad-ba
10003645,UBAH4ASUS,European Studies (Spanish pathway) with a year abroad,https://www.kcl.ac.uk/study/undergraduate/courses/european-studies-spanish-pathway-with-a-year-abroad-ba
10003645,UBDS5NSDN,Dentistry,https://www.kcl.ac.uk/study/undergraduate/courses/dentistry-bds
10003645,UBDS5NSDT,Enhanced Support Dentistry Programme,https://www.kcl.ac.uk/study/undergraduate/courses/enhanced-support-dentistry-programme-bds
10003645,UBEH3CSBE,Biomedical Engineering,https://www.kcl.ac.uk/study/undergraduate/courses/biomedical-engineering-beng
10003645,UBEH3CSEJ,Electronic Engineering,https://www.kcl.ac.uk/study/undergraduate/courses/electronic-engineering-beng
10003645,UBEH3CSGENG,General Engineering,https://www.kcl.ac.uk/study/undergraduate/courses/general-engineering-beng
10003645,UBLH3FSLW,Law,https://www.kcl.ac.uk/study/undergraduate/courses/law-llb
10003645,UBLH4FJELAU,English Law and Australian Law,https://www.kcl.ac.uk/law/undergraduate
10003645,UBLH4FJEWFW,English Law & French Law,https://www.kcl.ac.uk/study/undergraduate/courses/english-law-and-french-law-llb
10003645,UBLH4FJEWGW,English Law & German Law,https://www.kcl.ac.uk/study/undergraduate/courses/english-law-and-german-law-llb
10003645,UBLH4FJUPFB,English Law & Spanish Law,https://www.kcl.ac.uk/study/undergraduate/courses/english-law-and-spanish-law-llb
10003645,UBLH4FSCUHK,English Law & Hong Kong Law,https://www.kcl.ac.uk/study/undergraduate/courses/english-law-and-hong-kong-law-llb-jd
10003645,UBLH4FSPW,"""Politics, Philosophy & Law""",https://www.kcl.ac.uk/study/undergraduate/courses/politics-philosophy-and-law-llb
10003645,UBSH3AJMMPL,Mathematics & Philosophy,https://www.kcl.ac.uk/study/undergraduate/courses/mathematics-and-philosophy-bsc
10003645,UBSH3BSAD,"Anatomy, Developmental & Human Biology",https://www.kcl.ac.uk/study/undergraduate/courses/anatomy-developmental-and-human-biology-bsc
10003645,UBSH3BSBC,Biochemistry,https://www.kcl.ac.uk/study/undergraduate/courses/biochemistry-bsc
10003645,UBSH3BSBS,Biomedical Science,https://www.kcl.ac.uk/study/undergraduate/courses/biomedical-science-bsc
10003645,UBSH3BSMC,Molecular Genetics,https://www.kcl.ac.uk/study/undergraduate/courses/molecular-genetics-bsc
10003645,UBSH3BSMP,Medical Physiology,https://www.kcl.ac.uk/study/undergraduate/courses/medical-physiology-bsc
