kiscourseid,url,degree_type,degree_title,a_level_grade_req,a_level_subject_reqs,ib_grade_req,ib_subject_req
UBAH3AJHYIR,https://www.kcl.ac.uk/study/undergraduate/courses/history-and-international-relations,,,,,,
UBAH3AJHYPE,https://www.kcl.ac.uk/study/undergraduate/courses/history-political-economy,,,,,,
UBAH3AMCLEN,https://www.kcl.ac.uk/study/undergraduate/courses/classical-studies-with-english-ba,,,,,,
UBAH3AMCTFS,https://www.kcl.ac.uk/study/undergraduate/courses/comparative-literature-with-film-studies-ba,,,,,,
UBAH3AMENFS,https://www.kcl.ac.uk/study/undergraduate/courses/english-with-film-studies-ba,,,,,,
UBAH3ASAH,https://www.kcl.ac.uk/study/undergraduate/courses/ancient-history-ba,,,,,,
UBAH3ASCM,https://www.kcl.ac.uk/study/undergraduate/courses/culture-media-creative-industries-ba,,,,,,
UBAH3ASCT,https://www.kcl.ac.uk/study/undergraduate/courses/comparative-literature-ba,,,,,,
UBAH3ASCW,https://www.kcl.ac.uk/study/undergraduate/courses/classics-and-the-ancient-world-ba,,,,,,
UBAH3ASDMC,https://www.kcl.ac.uk/study/undergraduate/courses/digital-media-culture-ba,,,,,,
UBAH3ASEU,https://www.kcl.ac.uk/study/undergraduate/courses/european-politics-ba,,,,,,
UBAH3ASEZ,https://www.kcl.ac.uk/study/undergraduate/courses/english-ba,,,,,,
UBAH3ASFS,https://www.kcl.ac.uk/study/undergraduate/courses/film-studies-ba,,,,,,
UBAH3ASHY,https://www.kcl.ac.uk/study/undergraduate/courses/history-ba,,,,,,
UBAH3ASLB,https://www.kcl.ac.uk/study/undergraduate/courses/liberal-arts-ba,,,,,,
UBAH3ASPL,https://www.kcl.ac.uk/study/undergraduate/courses/philosophy-ba,,,,,,
UBAH3ASRE,https://www.kcl.ac.uk/study/undergraduate/courses/religion-philosophy-and-ethics-ba,,,,,,
UBAH3ASSR,https://www.kcl.ac.uk/study/undergraduate/courses/sociology-politics-and-religion-ba,,,,,,
UBAH3SGHSS,https://www.kcl.ac.uk/study/undergraduate/courses/global-health-and-social-science-ba,,,,,,
UBAH3SJWAHY,https://www.kcl.ac.uk/study/undergraduate/courses/war-studies-and-history-ba,,,,,,
UBAH3SSGH,https://www.kcl.ac.uk/study/undergraduate/courses/geography-ba,,,,,,
UBAH3SSLI,https://www.kcl.ac.uk/study/undergraduate/courses/english-language-and-linguistics-ba,,,,,,
UBAH3SSOE,https://www.kcl.ac.uk/study/undergraduate/courses/philosophy-politics-and-economics-ba-bsc,,,,,,
UBAH3SSPM,https://www.kcl.ac.uk/study/undergraduate/courses/political-economy-ba-bsc,,,,,,
UBAH3SSPZ,https://www.kcl.ac.uk/study/undergraduate/courses/politics-ba-bsc,,,,,,
UBAH3SSRL,https://www.kcl.ac.uk/study/undergraduate/courses/international-relations-ba,,,,,,
UBAH3SSSO,https://www.kcl.ac.uk/study/undergraduate/courses/social-sciences-ba,,,,,,
UBAH3SSWA,https://www.kcl.ac.uk/study/undergraduate/courses/war-studies-ba,,,,,,
UBAH3YSDE,https://www.kcl.ac.uk/study/undergraduate/courses/international-development-ba,,,,,,
UBAH4AJEHML,https://www.kcl.ac.uk/study/undergraduate/courses/english-and-modern-languages-with-a-year-abroad-ba,,,,,,
UBAH4AJHYML,https://www.kcl.ac.uk/study/undergraduate/courses/history-and-modern-languages-with-a-year-abroad-ba,,,,,,
UBAH4AJMTML,https://www.kcl.ac.uk/study/undergraduate/courses/management-and-modern-languages-with-a-year-abroad-ba,,,,,,
UBAH4AJPYML,https://www.kcl.ac.uk/study/undergraduate/courses/philosophy-and-modern-languages-with-a-year-abroad-ba,,,,,,
UBAH4ASMLY,https://www.kcl.ac.uk/study/undergraduate/courses/modern-languages-ba,,,,,,
UBAH4ASUF,https://www.kcl.ac.uk/study/undergraduate/courses/european-studies-french-pathway-with-a-year-abroad-ba,,,,,,
UBAH4ASUG,https://www.kcl.ac.uk/study/undergraduate/courses/european-studies-german-pathway-with-a-year-abroad-ba,,,,,,
UBAH4ASUS,https://www.kcl.ac.uk/study/undergraduate/courses/european-studies-spanish-pathway-with-a-year-abroad-ba,,,,,,
UBDS5NSDN,https://www.kcl.ac.uk/study/undergraduate/courses/dentistry-bds,,,,,,
UBDS5NSDT,https://www.kcl.ac.uk/study/undergraduate/courses/enhanced-support-dentistry-programme-bds,,,,,,
