ukprn,university,kiscourseid,title,crseurl,foundation_year_available,placement_year,year_abroad,median_salary
10003645,King's College London,UBAH3AJHYIR,History & International Relations,https://www.kcl.ac.uk/study/undergraduate/courses/history-and-international-relations,No,No,No,32000
10003645,King's College London,UBAH3AJHYPE,History and Political Economy,https://www.kcl.ac.uk/study/undergraduate/courses/history-political-economy,No,No,No,35000
10003645,King's College London,UBAH3AMCLEN,Classical Studies with English,https://www.kcl.ac.uk/study/undergraduate/courses/classical-studies-with-english-ba,No,No,No,26500
10003645,King's College London,UBAH3AMCTFS,Comparative Literature with Film Studies,https://www.kcl.ac.uk/study/undergraduate/courses/comparative-literature-with-film-studies-ba,No,No,No,28000
10003645,King's College London,UBAH3AMENFS,English with Film Studies,https://www.kcl.ac.uk/study/undergraduate/courses/english-with-film-studies-ba,No,No,No,26500
10003645,King's College London,UBAH3ASAH,Ancient History,https://www.kcl.ac.uk/study/undergraduate/courses/ancient-history-ba,No,No,No,30000
10003645,King's College London,UBAH3ASCM,"""Culture, Media & Creative Industries""",https://www.kcl.ac.uk/study/undergraduate/courses/culture-media-creative-industries-ba,No,No,No,25000
10003645,King's College London,UBAH3ASCT,Comparative Literature,https://www.kcl.ac.uk/study/undergraduate/courses/comparative-literature-ba,No,No,No,28000
10003645,King's College London,UBAH3ASCW,Classics and the Ancient World,https://www.kcl.ac.uk/study/undergraduate/courses/classics-and-the-ancient-world-ba,No,No,No,28000
10003645,King's College London,UBAH3ASDMC,Digital Media and Culture,https://www.kcl.ac.uk/study/undergraduate/courses/digital-media-culture-ba,No,No,No,25000
10003645,King's College London,UBAH3ASEU,European Politics,https://www.kcl.ac.uk/study/undergraduate/courses/european-politics-ba,No,No,No,32000
10003645,King's College London,UBAH3ASEZ,English,https://www.kcl.ac.uk/study/undergraduate/courses/english-ba,No,No,No,26500
10003645,King's College London,UBAH3ASFS,Film Studies,https://www.kcl.ac.uk/study/undergraduate/courses/film-studies-ba,No,No,No,25000
