ukprn,university,kiscourseid,title,crseurl,foundation_year_available,placement_year,year_abroad,median_salary
10007768,University of Lancaster,000534,Advertising and Marketing,http://www.lancs.ac.uk/study/undergraduate/courses/advertising-and-marketing-ba-hons-n501/,No,No,No,25000
10007768,University of Lancaster,000590,Media and Cultural Studies,http://www.lancs.ac.uk/study/undergraduate/courses/media-and-cultural-studies-ba-hons-lp63/,No,No,No,24000
10007768,University of Lancaster,000590,Media and Cultural Studies,http://www.lancs.ac.uk/study/undergraduate/courses/media-and-cultural-studies-ba-hons-lp63/,No,No,No,22000
10007768,University of Lancaster,000602,Economics,http://www.lancs.ac.uk/study/undergraduate/courses/economics-bsc-hons-l100/,No,No,No,31000
10007768,University of Lancaster,000607,Geography and Economics,http://www.lancs.ac.uk/study/undergraduate/courses/geography-and-economics-ba-hons-ll71/,No,No,No,31000
10007768,University of Lancaster,000607,Geography and Economics,http://www.lancs.ac.uk/study/undergraduate/courses/geography-and-economics-ba-hons-ll71/,No,No,No,27000
10007768,University of Lancaster,000650,English Literature,http://www.lancs.ac.uk/study/undergraduate/courses/english-literature-ba-hons-q300/,No,No,No,24000
10007768,University of Lancaster,000652,French Studies and English Literature,http://www.lancs.ac.uk/study/undergraduate/courses/french-studies-and-english-literature-ba-hons-rq13/,No,Yes,Yes,24000
10007768,University of Lancaster,000652,French Studies and English Literature,http://www.lancs.ac.uk/study/undergraduate/courses/french-studies-and-english-literature-ba-hons-rq13/,No,Yes,Yes,23500
10007768,University of Lancaster,000654,English Literature and History,http://www.lancs.ac.uk/study/undergraduate/courses/english-literature-and-history-ba-hons-qv31/,No,No,No,24000
10007768,University of Lancaster,000654,English Literature and History,http://www.lancs.ac.uk/study/undergraduate/courses/english-literature-and-history-ba-hons-qv31/,No,No,No,24000
10007768,University of Lancaster,000659,English Literature and Philosophy,http://www.lancs.ac.uk/study/undergraduate/courses/english-literature-and-philosophy-ba-hons-qv35/,No,No,No,24000
10007768,University of Lancaster,000659,English Literature and Philosophy,http://www.lancs.ac.uk/study/undergraduate/courses/english-literature-and-philosophy-ba-hons-qv35/,No,No,No,24000
10007768,University of Lancaster,000663,English Language,http://www.lancs.ac.uk/study/undergraduate/courses/english-language-ba-hons-q304/,No,No,No,25000
10007768,University of Lancaster,000665,English Language and Linguistics,http://www.lancs.ac.uk/study/undergraduate/courses/english-language-and-linguistics-ba-hons-qqc3/,No,No,No,25000
10007768,University of Lancaster,000665,English Language and Linguistics,http://www.lancs.ac.uk/study/undergraduate/courses/english-language-and-linguistics-ba-hons-qqc3/,No,No,No,23000
10007768,University of Lancaster,000666,English Language and Literature,http://www.lancs.ac.uk/study/undergraduate/courses/english-language-and-literature-ba-hons-q302/,No,No,No,24000
10007768,University of Lancaster,000666,English Language and Literature,http://www.lancs.ac.uk/study/undergraduate/courses/english-language-and-literature-ba-hons-q302/,No,No,No,25000
10007768,University of Lancaster,000674,French Studies,http://www.lancs.ac.uk/study/undergraduate/courses/french-studies-ba-hons-r120/,No,Yes,Yes,23500
