KISCOURSEID,Type,Title,URL,A_Level_Grade,A_Level_Text,IB_Points,IB_Text,Core_Modules_Y1
009454,BSc,Accounting and Finance,https://www.lancaster.ac.uk/study/undergraduate/courses/accounting-and-finance-bsc-hons-n400/2026/,AAB,AAB,35,35 points overall with 16 points from the best 3 HL subjects,"['Data Analytics for Accounting and Finance', 'Foundations of Accounting', 'Foundations of Economics', 'Foundations of Financial Markets, Securities and Institutions', 'Professional Development for Accounting and Finance', 'Quantitative Methods']"
018308,BSc,Accounting and Finance (Industry),https://www.lancaster.ac.uk/study/undergraduate/courses/accounting-and-finance-industry-bsc-hons-n401/2026/,AAB,AAB,35,35 points overall with 16 points from the best 3 HL subjects,"['Data Analytics for Accounting and Finance', 'Foundations of Accounting', 'Foundations of Economics', 'Foundations of Financial Markets, Securities and Institutions', 'Professional Development for Accounting and Finance', 'Quantitative Methods']"
007386,BSc,Accounting and Management,https://www.lancaster.ac.uk/study/undergraduate/courses/accounting-and-management-bsc-hons-nn24/2026/,AAB,AAB,35,35 points overall with 16 points from the best 3 HL subjects,"['Foundations in Operations Management', 'Foundations of Accounting', 'Foundations of Economics', 'Foundations of Financial Markets, Securities and Institutions', 'Foundations of Management Theory and Practice', 'Professional Development for Accounting and Finance']"
018661,BSc,Accounting and Management (Industry),https://www.lancaster.ac.uk/study/undergraduate/courses/accounting-and-management-industry-bsc-hons-nn25/2026/,AAB,AAB,35,35 points overall with 16 points from the best 3 HL subjects,"['Foundations in Operations Management', 'Foundations of Accounting', 'Foundations of Economics', 'Foundations of Financial Markets, Securities and Institutions', 'Foundations of Management Theory and Practice', 'Professional Development for Accounting and Finance']"
005033,BSc,Economics and Finance,https://www.lancaster.ac.uk/study/undergraduate/courses/economics-and-finance-bsc-hons-nl31/2026/,AAB,AAB. This should include Mathematics.,35,"35 points overall with 16 points from the best 3 HL subjects, including 6 in Mathematics HL (either analysis and approaches or applications and interpretations)","['Foundations of Accounting', 'Foundations of Financial Markets, Securities and Institutions', 'Mathematics and Statistics for Economics', 'Principles of Macroeconomics', 'Principles of Microeconomics', 'Professional Development for Economics']"
018666,BSc,Economics and Finance (Industry),https://www.lancaster.ac.uk/study/undergraduate/courses/economics-and-finance-industry-bsc-hons-nl32/2026/,AAB,AAB. This should include Mathematics.,35,"35 points overall with 16 points from the best 3 HL subjects, including 6 in Mathematics HL (either analysis and approaches or applications and interpretations)","['Foundations of Accounting', 'Foundations of Financial Markets, Securities and Institutions', 'Mathematics and Statistics for Economics', 'Principles of Macroeconomics', 'Principles of Microeconomics', 'Professional Development for Economics']"
024654,BSc,Economics and Finance (Study Abroad),https://www.lancaster.ac.uk/study/undergraduate/courses/economics-and-finance-study-abroad-bsc-hons-nl33/2026/,AAB,AAB. This should include Mathematics.,35,"35 points overall with 16 points from the best 3 HL subjects, including 6 in Mathematics HL (either analysis and approaches or applications and interpretations)","['Foundations of Accounting', 'Foundations of Financial Markets, Securities and Institutions', 'Mathematics and Statistics for Economics', 'Principles of Macroeconomics', 'Principles of Microeconomics', 'Professional Development for Economics']"
005032,BSc,Finance,https://www.lancaster.ac.uk/study/undergraduate/courses/finance-bsc-hons-n300/2026/,AAB,AAB. This should include Mathematics.,35,"35 points overall with 16 points from the best 3 HL subjects, including 6 in Mathematics HL (either analysis and approaches or applications and interpretations)","['Data Visualisation with Python and R', 'Foundations of Accounting', 'Foundations of Economics', 'Foundations of Financial Markets, Securities and Institutions', 'Mathematical Foundations for Finance', 'Professional Development for Accounting and Finance']"
018660,BSc,Finance (Industry),https://www.lancaster.ac.uk/study/undergraduate/courses/finance-industry-bsc-hons-n301/2026/,AAB,AAB. This should include Mathematics.,35,"35 points overall with 16 points from the best 3 HL subjects, including 6 in Mathematics HL (either analysis and approaches or applications and interpretations)","['Data Visualisation with Python and R', 'Foundations of Accounting', 'Foundations of Economics', 'Foundations of Financial Markets, Securities and Institutions', 'Mathematical Foundations for Finance', 'Professional Development for Accounting and Finance']"
021072,BA,Architecture,https://www.lancaster.ac.uk/study/undergraduate/courses/architecture-ba-hons-k100/2026/,AAA,AAA,36,36 points overall with 16 points from the best 3 HL subjects,"['Architectural Design Studio 1A', 'Architectural Design Studio 1B', 'Architectural Humanities 1', 'Architectural Technology']"
