ukprn,university,kiscourseid,title,crseurl,foundation_year_available,placement_year,year_abroad,median_salary
10007795,University of Leeds,1LV0,"Philosophy, Politics and Economics",https://courses.leeds.ac.uk/202526/g460/philosophy-politics-and-economics-ba,No,Yes,Yes,33000
10007795,University of Leeds,1U67,Music (Performance),https://courses.leeds.ac.uk/202526/j772/music-performance-bmus,No,Yes,Yes,25000
10007795,University of Leeds,2P8P,History of Art with Cultural Studies,https://courses.leeds.ac.uk/202526/g645/history-of-art-with-cultural-studies-ba,No,Yes,Yes,26500
10007795,University of Leeds,3E5Z,Fine Art with Contemporary Cultural Theory,https://courses.leeds.ac.uk/202526/g644/fine-art-with-contemporary-cultural-theory-ba,No,Yes,Yes,26500
10007795,University of Leeds,3P84,Music with Enterprise,https://courses.leeds.ac.uk/202526/g549/music-with-enterprise-ba,No,Yes,Yes,25000
10007795,University of Leeds,5Y3M,Fine Art with History of Art,https://courses.leeds.ac.uk/202526/g642/fine-art-with-history-of-art-ba,No,Yes,Yes,23000
10007795,University of Leeds,6H89,Studies in Science with Foundation Year,https://courses.leeds.ac.uk/202526/g521/studies-in-science-with-foundation-year-bsc,Yes,No,No,25000
10007795,University of Leeds,6L97,Advanced Psychology,https://courses.leeds.ac.uk/202526/g492/advanced-psychology-mpsyc-bsc,No,Yes,Yes,25000
10007795,University of Leeds,6T3X,English and Film Studies,https://courses.leeds.ac.uk/202526/g558/english-and-film-studies-ba,No,Yes,Yes,25000
10007795,University of Leeds,8G42,Classical Civilisation,https://courses.leeds.ac.uk/202526/0090/classical-civilisation-ba,No,Yes,Yes,25500
10007795,University of Leeds,8H67,Business Management and the Human Resource,https://courses.leeds.ac.uk/202526/i477/business-management-and-the-human-resource-ba,No,Yes,Yes,30000
10007795,University of Leeds,9K8J,Cultural and Media Studies,https://courses.leeds.ac.uk/202526/g641/cultural-and-media-studies-ba,No,Yes,Yes,25000
10007795,University of Leeds,A100,Medicine,https://courses.leeds.ac.uk/202526/5580/medicine-and-surgery-mbchb,No,No,No,35000
10007795,University of Leeds,A101,Gateway Year to Medicine (Foundation),https://courses.leeds.ac.uk/202526/i900/gateway-year-to-medicine-mbchb,Yes,No,No,35000
10007795,University of Leeds,A900,Dental Hygiene and Therapy,https://courses.leeds.ac.uk/202526/i125/dental-hygiene-and-dental-therapy-bsc,No,No,No,35000
10007795,University of Leeds,B100,Biomedical Sciences,https://courses.leeds.ac.uk/202526/j415/biomedical-sciences-bsc,No,Yes,Yes,35000
10007795,University of Leeds,B109,Biomedical Sciences,https://courses.leeds.ac.uk/202526/j416/biomedical-sciences-mbiol-bsc,No,Yes,Yes,35000
10007795,University of Leeds,B110,"Human Physiology, Physical Activity and Health",https://courses.leeds.ac.uk/202526/j544/human-physiology-physical-activity-health-bsc,No,Yes,Yes,27000
