ukprn,kiscourseid,title,crseurl
10006842,BA_ACCFIN,Accounting and Finance with a Year in Industry,https://www.liverpool.ac.uk/courses/2025/accounting-and-finance-with-a-year-in-industry-ba-hons
10006842,BA_ACDS,Architecture (Design Studies),https://www.liverpool.ac.uk/courses/2025/architecture-design-studies-ba-hons
10006842,BA_ACFN,Accounting and Finance,https://www.liverpool.ac.uk/courses/2025/accounting-and-finance-ba-hons
10006842,BA_ALGY,Archaeology,https://www.liverpool.ac.uk/courses/2025/archaeology-ba-hons
10006842,BA_ANHI,Ancient History,https://www.liverpool.ac.uk/courses/2025/ancient-history-ba-hons
10006842,BA_ARAC,Archaeology of Ancient Civilisations,https://www.liverpool.ac.uk/courses/2025/archaeology-of-ancient-civilisations-ba-hons
10006842,BA_ARCH,Architecture,https://www.liverpool.ac.uk/courses/2025/architecture-ba-hons
10006842,BA_BEC,Business Economics,https://www.liverpool.ac.uk/courses/2025/business-economics-ba-hons
10006842,BA_BS,Business Management,https://www.liverpool.ac.uk/courses/2025/business-management-ba-hons
10006842,BA_BSIN,Business Management with a Year in Industry,https://www.liverpool.ac.uk/courses/2025/business-management-with-a-year-in-industry-ba-hons
10006842,BA_BUSECO,Business Economics with a Year in Industry,https://www.liverpool.ac.uk/courses/2025/business-economics-with-a-year-in-industry-ba-hons
10006842,BA_C,Criminology,https://www.liverpool.ac.uk/courses/2025/criminology-ba-hons
10006842,BA_CL,Classics,https://www.liverpool.ac.uk/courses/2025/classics-ba-hons
10006842,BA_CLS,Classical Studies,https://www.liverpool.ac.uk/courses/2025/classical-studies-ba-hons
10006842,BA_CMGDST,Communication and Media and Game Design Studies,https://www.liverpool.ac.uk/courses/2025/communication-and-media-with-game-design-studies-ba-hons-2
10006842,BA_CMPMU,"Communication, Media and Popular Music",https://www.liverpool.ac.uk/courses/2025/communication-media-and-popular-music-ba-hons-2
10006842,BA_COMM,Communication and Media,https://www.liverpool.ac.uk/courses/2025/communication-and-media-ba-hons
10006842,BA_COMMY,Communication and Media with a Year in Industry,https://www.liverpool.ac.uk/courses/2025/communication-and-media-with-a-year-in-industry-ba-hons
10006842,BA_CSO,Criminology with Sociology,https://www.liverpool.ac.uk/courses/2025/criminology-with-sociology-ba-hons#course-overview
10006842,BA_CSOP,Criminology with Social Policy,https://www.liverpool.ac.uk/courses/2025/criminology-with-social-policy-ba-hons
10006842,BA_EGY,Egyptology,https://www.liverpool.ac.uk/courses/2025/egyptology-ba-hons
10006842,BA_ELDS,English Literature with Drama Studies,https://www.liverpool.ac.uk/courses/2025/english-literature-with-drama-studies-ba-hons#course-overview
10006842,BA_ENG,English,https://www.liverpool.ac.uk/courses/2025/english-ba-hons
10006842,BA_ENGLANG,English Language,https://www.liverpool.ac.uk/courses/2025/english-language-ba-hons
10006842,BA_ENGLIT,English Literature,https://www.liverpool.ac.uk/courses/2025/english-literature-ba-hons
10006842,BA_EVP,Environment and Planning,https://www.liverpool.ac.uk/courses/2025/environment-and-planning-ba-hons
10006842,BA_EngWL,English with World Literature,https://www.liverpool.ac.uk/courses/2025/english-with-world-literature-ba-hons#course-overview
10006842,BA_FR,French,https://www.liverpool.ac.uk/courses/2025/french-ba-hons
10006842,BA_FS,Film Studies,https://www.liverpool.ac.uk/courses/2025/film-studies-ba-hons
10006842,BA_GG,Geography,https://www.liverpool.ac.uk/courses/2025/geography-ba-hons
10006842,BA_GP,Geography and Planning,https://www.liverpool.ac.uk/courses/2025/geography-and-planning-ba-hons
10006842,BA_GR,German,https://www.liverpool.ac.uk/courses/2025/german-ba-hons
10006842,BA_HI,History,https://www.liverpool.ac.uk/courses/2025/history-ba-hons
10006842,BA_HS,Hispanic Studies,https://www.liverpool.ac.uk/courses/2025/hispanic-studies-ba-hons
10006842,BA_IB,International Business,https://www.liverpool.ac.uk/courses/2025/international-business-ba-hons
10006842,BA_INTEBUS,International Business with a Year in Industry,https://www.liverpool.ac.uk/courses/2025/international-business-with-a-year-in-industry-ba-hons
10006842,BA_IPP,International Relations,https://www.liverpool.ac.uk/courses/2025/international-relations-ba-hons
10006842,BA_IS,Irish Studies,https://www.liverpool.ac.uk/courses/2025/irish-studies-ba-hons
10006842,BA_ITAL,Italian,https://www.liverpool.ac.uk/courses/2025/italian-ba-hons
10006842,BA_MAC,Media and Culture,https://www.liverpool.ac.uk/courses/2025/media-and-culture-ba-hons#course-overview
10006842,BA_MARK,Marketing with a Year in Industry,https://www.liverpool.ac.uk/courses/2025/marketing-with-a-year-in-industry-ba-hons
10006842,BA_MDS,"Media, Data and Society",https://www.liverpool.ac.uk/courses/2025/media-data-and-society-ba-hons#course-overview
10006842,BA_MEL,Modern Languages (Triple Subject),https://www.liverpool.ac.uk/courses/2025/modern-languages-triple-subject-ba-hons
10006842,BA_MKT,Marketing,https://www.liverpool.ac.uk/courses/2025/marketing-ba-hons
10006842,BA_MPL,Mathematics and Philosophy,https://www.liverpool.ac.uk/courses/2025/mathematics-and-philosophy-ba-hons
