ukprn,university,kiscourseid,title,crseurl,foundation_year_available,placement_year,year_abroad,median_salary
10004113,Loughborough University,KIS1K38,Commercial Management and Quantity Surveying,http://www.lboro.ac.uk/study/undergraduate/courses/a-z/commercial-management-and-quantity-surveying/,No,No,No,30500
10004113,Loughborough University,KIS1L27,Politics and International Relations,http://www.lboro.ac.uk/study/undergraduate/courses/a-z/politics-and-international-relations/#variant,No,No,No,27500
10004113,Loughborough University,KIS7K28,Construction Engineering Management,http://www.lboro.ac.uk/study/undergraduate/courses/a-z/construction-engineering-management/,No,No,No,30500
10004113,Loughborough University,KIS7L27,Politics and International Relations,http://www.lboro.ac.uk/study/undergraduate/courses/a-z/politics-and-international-relations/#variant,No,Yes,Yes,27500
10004113,Loughborough University,KISB150,Human Biology,http://www.lboro.ac.uk/study/undergraduate/courses/a-z/human-biology/#variant,No,No,No,26000
10004113,Loughborough University,KISB151,Human Biology,http://www.lboro.ac.uk/study/undergraduate/courses/a-z/human-biology/#variant,No,Yes,No,26000
10004113,Loughborough University,KISC100,Biological Sciences,http://www.lboro.ac.uk/study/undergraduate/courses/a-z/biological-sciences-bsc/#variant,No,Yes,Yes,26000
10004113,Loughborough University,KISC102,Biological Sciences,http://www.lboro.ac.uk/study/undergraduate/courses/a-z/biological-sciences-bsc/#variant,No,No,No,26000
10004113,Loughborough University,KISC1FY,Human Biology with a Foundation Year,https://www.lboro.ac.uk/study/undergraduate/foundation/human-biology/,Yes,No,No,26000
10004113,Loughborough University,KISC1YF,Biological Sciences with a Foundation Year,http://www.lboro.ac.uk/study/undergraduate/courses/foundation/biological-sciences/,Yes,No,No,26000
10004113,Loughborough University,KISC600,Sport and Exercise Science,http://www.lboro.ac.uk/study/undergraduate/courses/a-z/sport-and-exercise-science/#variant,No,Yes,Yes,25000
10004113,Loughborough University,KISC603,"Sport Science, Coaching and Physical Education",http://www.lboro.ac.uk/study/undergraduate/courses/a-z/sport-coaching-and-physical-education/,No,No,No,26000
10004113,Loughborough University,KISC604,"Sport Science, Coaching and Physical Education",http://www.lboro.ac.uk/study/undergraduate/courses/a-z/sport-coaching-and-physical-education/,No,Yes,Yes,26000
10004113,Loughborough University,KISC650,Sports Technology,https://www.lboro.ac.uk/study/undergraduate/courses/a-z/sports-technology-meng/,No,No,No,26000
10004113,Loughborough University,KISC651,Sports Technology,https://www.lboro.ac.uk/study/undergraduate/courses/a-z/sports-technology-meng/,No,Yes,No,26000
10004113,Loughborough University,KISC6FY,Sport with a Foundation Year for Elite Athletes,http://www.lboro.ac.uk/study/undergraduate/courses/foundation/sport-foundation-for-elite-athletes/,Yes,No,No,26000
10004113,Loughborough University,KISC800,Psychology,http://www.lboro.ac.uk/study/undergraduate/courses/a-z/psychology/#variant,No,No,No,25000
10004113,Loughborough University,KISC801,Psychology,http://www.lboro.ac.uk/study/undergraduate/courses/a-z/psychology/#variant,No,Yes,No,25000
10004113,Loughborough University,KISC86C,Sport and Exercise Psychology,http://www.lboro.ac.uk/study/undergraduate/courses/a-z/sport-and-exercise-psychology/#default,No,Yes,Yes,25000
10004113,Loughborough University,KISC8C6,Sport and Exercise Psychology,http://www.lboro.ac.uk/study/undergraduate/courses/a-z/sport-and-exercise-psychology/#default,No,No,No,25000
10004113,Loughborough University,KISC8FY,Psychology with a Foundation Year for Elite Athletes,http://www.lboro.ac.uk/study/undergraduate/courses/foundation/psychology-for-elite-athletes/,Yes,No,No,27000
10004113,Loughborough University,KISC8M0,Psychology with Criminology,http://www.lboro.ac.uk/study/undergraduate/courses/a-z/psychology-with-criminology/#variant,No,Yes,Yes,27000
10004113,Loughborough University,KISC8M9,Psychology with Criminology,http://www.lboro.ac.uk/study/undergraduate/courses/a-z/psychology-with-criminology/#variant,No,No,No,27000
