COURSEID,Type,Title,URL,A_Level_Grade,A_Level_Text,IB_Points,IB_Text,Core_Modules_Y1
accounting-and-finance-bsc,BSc,Accounting and Finance,https://www.lboro.ac.uk/study/undergraduate/courses/accounting-and-finance-bsc/,AAB,"AAB 
 No specific subject requirements but we do have a list of preferred subjects (see below). 
 In some circumstances we may ask applicants to achieve specific grades in certain subjects.",35,"35 (6,6,5 HL)","['Financial Accounting Fundamentals', 'Economics for Financial Studies', 'Responsible Management Practice', 'Principles of Finance', 'Introduction to Law', 'Organisational Behaviour', 'Ethics and Professional Skills']"
aeronautical-engineering-beng,BEng,Aeronautical Engineering,https://www.lboro.ac.uk/study/undergraduate/courses/aeronautical-engineering-beng/,AAB,AAB including Maths and Physics,35,35 (6 6 5 HL) including Maths and Physics at HL,"['Mathematics for Aeronautical and Automotive Engineering', 'Materials and Structures', 'Thermofluids', 'Computing', 'Engineering Design and Manufacture', 'Aircraft Systems, Performance and Design', 'Engineering Mechanics and Structures']"
aeronautical-engineering-meng,MEng,Aeronautical Engineering,https://www.lboro.ac.uk/study/undergraduate/courses/aeronautical-engineering-meng/,A*AA,A*AA including Maths and Physics with A* in Maths or Physics,38,"38 (7,6,6 HL) including Maths and Physics at HL, with 7 in HL Maths or Physics","['Mathematics for Aeronautical and Automotive Engineering', 'Materials and Structures', 'Thermofluids', 'Computing', 'Engineering Design and Manufacture', 'Aircraft Systems, Performance and Design', 'Engineering Mechanics and Structures']"
architectural-engineering-beng,BEng,Architectural Engineering,https://www.lboro.ac.uk/study/undergraduate/courses/architectural-engineering-beng/,ABB,ABB including Maths,34,"34 (6,5,5 HL) including Maths at HL","['Design Skills', 'Structural Forms and Stress Analysis', 'Mathematical Modelling of Structures', 'Mechanical and Mathematical Principles of Fluid Mechanics', 'Engineering Materials for Construction', 'Professional Skills', 'Collaborative Practice in the Built Environment', 'Geomatics Engineering Surveying 1']"
architectural-engineering-meng,MEng,Architectural Engineering,https://www.lboro.ac.uk/study/undergraduate/courses/architectural-engineering-meng/,AAB,AAB including Maths,35,"35 (6,6,5 HL) including Maths at HL","['Design Skills', 'Structural Forms and Stress Analysis', 'Mathematical Modelling of Structures', 'Mechanical and Mathematical Principles of Fluid Mechanics', 'Engineering Materials for Construction', 'Professional Skills', 'Collaborative Practice in the Built Environment', 'Geomatics Engineering Surveying 1']"
architecture-barch,BArch,Architecture,https://www.lboro.ac.uk/study/undergraduate/courses/architecture-barch/,AAA,"AAA (No specific subject requirements but a mix of Science, Art and Humanities subjects is preferred)",37,"37 (6,6,6 HL)","['Design Studio A', 'Design Skills', 'Tectonics 1 - An Introduction to Materials, Structure & Construction', 'Building Science', 'Architectural History']"
automotive-engineering-beng,BEng,Automotive Engineering,https://www.lboro.ac.uk/study/undergraduate/courses/automotive-engineering-beng/,AAB,AAB including Maths and Physics,35,"35 (6,6,5 HL) including Maths and Physics at HL","['Mathematics for Aeronautical and Automotive Engineering', 'Materials and Structures', 'Thermofluids', 'Computing', 'Engineering Design and Manufacture', 'Vehicle Systems and Development', 'Engineering Mechanics and Structures']"
automotive-engineering-meng,MEng,Automotive Engineering,https://www.lboro.ac.uk/study/undergraduate/courses/automotive-engineering-meng/,A*AA,A*AA including Maths and Physics with A* in Maths or Physics,38,"38 (7,6,6 HL) including Maths and Physics at HL, with 7 in HL Maths or Physics","['Mathematics for Aeronautical and Automotive Engineering', 'Materials and Structures', 'Thermofluids', 'Computing', 'Engineering Design and Manufacture', 'Vehicle Systems and Development', 'Engineering Mechanics and Structures']"
automotive-materials-beng,BEng,Automotive Materials,https://www.lboro.ac.uk/study/undergraduate/courses/automotive-materials-beng/,ABB,"ABB including two from Mathematics, Further Mathematics, Physics, Chemistry, Biology and Design & Technology",34,"34 (6,5,5 HL) including any two of Mathematics, Further Mathematics, Physics, Chemistry, Biology or Design & Technology at HL","['Engineering Principles and Design', 'Mathematics for Materials', 'Thermofluids', 'Experimentation and Practical Skills', 'Introductory Materials Science', 'Computer Aided Engineering']"
automotive-materials-meng,MEng,Automotive Materials,https://www.lboro.ac.uk/study/undergraduate/courses/automotive-materials-meng/,AAA,"AAA including two from Mathematics, Further Mathematics, Physics, Chemistry, Biology and Design & Technology",37,"37 (6,6,6 HL) including any two of Mathematics, Further Mathematics, Physics, Chemistry, Biology and Design & Technology at HL","['Engineering Principles and Design', 'Mathematics for Materials', 'Thermofluids', 'Experimentation and Practical Skills', 'Introductory Materials Science', 'Computer Aided Engineering']"
