ukprn,university,kiscourseid,title,crseurl,foundation_year_available,placement_year,year_abroad,median_salary
10006842,University of Liverpool,BA_ACCFIN,Accounting and Finance with a Year in Industry,https://www.liverpool.ac.uk/courses/2025/accounting-and-finance-with-a-year-in-industry-ba-hons,No,Yes,No,27000
10006842,University of Liverpool,BA_ACDS,Architecture (Design Studies),https://www.liverpool.ac.uk/courses/2025/architecture-design-studies-ba-hons,No,No,Yes,22000
10006842,University of Liverpool,BA_ACFN,Accounting and Finance,https://www.liverpool.ac.uk/courses/2025/accounting-and-finance-ba-hons,No,No,Yes,27000
10006842,University of Liverpool,BA_ALGY,Archaeology,https://www.liverpool.ac.uk/courses/2025/archaeology-ba-hons,No,No,Yes,21500
10006842,University of Liverpool,BA_ANHI,Ancient History,https://www.liverpool.ac.uk/courses/2025/ancient-history-ba-hons,No,No,Yes,24000
10006842,University of Liverpool,BA_ARAC,Archaeology of Ancient Civilisations,https://www.liverpool.ac.uk/courses/2025/archaeology-of-ancient-civilisations-ba-hons,No,No,Yes,21500
10006842,University of Liverpool,BA_ARCH,Architecture,https://www.liverpool.ac.uk/courses/2025/architecture-ba-hons,No,No,Yes,22000
10006842,University of Liverpool,BA_BEC,Business Economics,https://www.liverpool.ac.uk/courses/2025/business-economics-ba-hons,No,No,Yes,29000
10006842,University of Liverpool,BA_BS,Business Management,https://www.liverpool.ac.uk/courses/2025/business-management-ba-hons,No,No,Yes,29000
10006842,University of Liverpool,BA_BSIN,Business Management with a Year in Industry,https://www.liverpool.ac.uk/courses/2025/business-management-with-a-year-in-industry-ba-hons,No,Yes,No,29000
10006842,University of Liverpool,BA_BUSECO,Business Economics with a Year in Industry,https://www.liverpool.ac.uk/courses/2025/business-economics-with-a-year-in-industry-ba-hons,No,Yes,No,29000
10006842,University of Liverpool,BA_C,Criminology,https://www.liverpool.ac.uk/courses/2025/criminology-ba-hons,No,No,Yes,23500
10006842,University of Liverpool,BA_CL,Classics,https://www.liverpool.ac.uk/courses/2025/classics-ba-hons,No,No,Yes,24000
10006842,University of Liverpool,BA_CLS,Classical Studies,https://www.liverpool.ac.uk/courses/2025/classical-studies-ba-hons,No,No,Yes,24000
