ukprn,university,kiscourseid,title,crseurl,foundation_year_available,placement_year,year_abroad,median_salary
10007798,University of Manchester,10,Neuroscience,https://www.manchester.ac.uk/study/undergraduate/courses/2026/00617/bsc-neuroscience/,Yes,No,No,25000
10007798,University of Manchester,102,Midwifery,https://www.manchester.ac.uk/study/undergraduate/courses/2026/11660/bmidwif-midwifery/,No,No,No,27500
10007798,University of Manchester,103,Nursing: Adult Nursing,https://www.manchester.ac.uk/study/undergraduate/courses/2026/10971/bnurs-adult-nursing/,No,No,No,28000
10007798,University of Manchester,104,Nursing: Child Nursing,https://www.manchester.ac.uk/study/undergraduate/courses/2026/10972/bnurs-childrens-nursing/,No,No,No,28000
10007798,University of Manchester,105,Finance,https://www.manchester.ac.uk/study/undergraduate/courses/2026/05153/baecon-finance/,No,No,No,30000
10007798,University of Manchester,106,Accounting and Finance,https://www.manchester.ac.uk/study/undergraduate/courses/2026/05151/baecon-accounting-and-finance/,No,No,No,30000
10007798,University of Manchester,108,Economics and Politics,https://www.manchester.ac.uk/study/undergraduate/courses/2026/05137/baecon-economics-and-politics/,No,No,No,32000
10007798,University of Manchester,11,Zoology,https://www.manchester.ac.uk/study/undergraduate/courses/2026/00664/bsc-zoology-with-industrial-professional-experience/,Yes,Yes,No,26000
10007798,University of Manchester,112,Japanese Studies,https://www.manchester.ac.uk/study/undergraduate/courses/2026/06751/ba-japanese-studies/,No,Yes,Yes,25000
10007798,University of Manchester,113,English Language and Japanese,https://www.manchester.ac.uk/study/undergraduate/courses/2026/06809/ba-english-language-and-japanese/,No,Yes,Yes,23000
10007798,University of Manchester,114,French and Japanese,https://www.manchester.ac.uk/study/undergraduate/courses/2026/06810/ba-french-and-japanese/,No,Yes,Yes,25000
10007798,University of Manchester,117,Russian and Japanese,https://www.manchester.ac.uk/study/undergraduate/courses/2026/06814/ba-russian-and-japanese/,No,Yes,Yes,25000
10007798,University of Manchester,118,Spanish and Japanese,https://www.manchester.ac.uk/study/undergraduate/courses/2026/06818/ba-spanish-and-japanese/,No,Yes,Yes,25000
10007798,University of Manchester,119,Modern Language and Business and Management (Arabic),https://www.manchester.ac.uk/study/undergraduate/courses/2026/07730/ba-modern-language-and-business-and-management-arabic/,No,Yes,Yes,28000
10007798,University of Manchester,12,Zoology with a Modern Language,https://www.manchester.ac.uk/study/undergraduate/courses/2026/00665/bsc-zoology-with-a-modern-language/,Yes,Yes,Yes,26000
