kiscourseid,url,degree_type,degree_title,a_level_grade_req,a_level_subject_reqs,ib_grade_req,ib_subject_req
10,https://www.manchester.ac.uk/study/undergraduate/courses/2025/00617/bsc-neuroscience/,BSc,Neuroscience,AAA,"We require grades AAA-AAB, including two of Biology, Chemistry, Physics and Mathematics (the Core Sciences ). You must have a minimum of grades AA in at least two Core Sciences. Applicants predicted/who have achieved a B in their third A level will receive an offer of AAB, while those predicted/who have achieved an A or A* will be eligible for an offer of AAA. If you are taking only one of the above Core Science subjects, we can consider you for an AAA offer if you are also sitting an A level in at least one of Geography, Psychology, Environmental Studies or Physical Education in place of the second Core Science. If your predicted grades are one grade below our minimum entry requirements we may still make you an aspirational offer if you meet our contextual criteria . Subjects with overlapping content are not normally considered as separate. A-levels. For example, Further Mathematics is not considered alongside Mathematics and Human Biology is not considered alongside Biology. If you are concerned there is too much overlap in your A level subjects, please contact us for advice before applying. We believe that practical skills in the sciences are integral to a candidate s understanding and appreciation of these subjects. Therefore we encourage all applicants to undertake any practical skills assessment if it is available in their qualification. Where applicants are applying for science and related degrees, this is likely to be made explicit in the offers you will receive.",35,"35-36 points overall with 6, 6, 5 to 6, 6, 6 at Higher Level including two science subjects, normally Biology and Chemistry."
102,https://www.manchester.ac.uk/study/undergraduate/courses/2025/11660/bmidwif-midwifery/,,BMidwif Midwifery,AAB,"AAB- ABB ABB including a science such as Biology, Chemistry or Applied Science. Applicants who are not studying biology or chemistry A-level may apply if they are studying another relevant subject, such as Psychology, Sociology or Health and Social Care. A typical offer for applicants studying a related subject not including biology or chemistry is set at AAB. Please contact the Admissions office to ask about other relevant subjects. If you receive an offer from us but have not previously studied human biology, we may recommend that you do some human biology reading prior to commencing the course.",34,Alternative entry requirements exist for this course. You may view these by selecting from the list below.
103,https://www.manchester.ac.uk/study/undergraduate/courses/2025/10971/bnurs-adult-nursing/,,BNurs Adult Nursing,BBC,"We require grades BBC (including at least one science from the following subjects: Biology, Chemistry, Psychology, Sociology, Health and Social Care, Applied Science).",30,All applicants to the University (from the UK and Overseas) are required to show evidence of English Language proficiency.Â  The minimum English Language requirement for this course is either:
104,https://www.manchester.ac.uk/study/undergraduate/courses/2025/10972/bnurs-childrens-nursing/,,BNurs Children's Nursing,BBB,"We require grades BBB (including at least one science from the following subjects: Biology, Chemistry, Psychology, Sociology, Health and Social Care, Applied Science).",32,"Â Please note that if you hold English as a second language iGCSE qualification, we may also require you to offer one of          our acceptable equivalent English Language qualifications 
 or achieve a higher grade in your iGCSE than the one stated above. Please contact the academic School for clarification."
105,https://www.manchester.ac.uk/study/undergraduate/courses/2025/05153/baecon-finance/,BAEcon,Finance,AAA,"AAA We do not accept two A/S Levels grades in place of one A-level. Applicants must be studying at least one of the following A-level subjects: Accounting, Anthropology, Business Studies, Classics, Economics, English Language/Literature, Further Mathematics, Geography, History, Law, Mathematics, Modern Languages, Philosophy, Politics, Psychology, Religious Studies, Sociology, Use of Mathematics and World Development. We accept native language A Levels providing they are taken in the same sitting as your other subjects. We will not accept the combination of Mathematics, Further Mathematics and a native language. We accept the Level 3 Diploma in Financial Studies (DipFS) as equivalent to an A-level if taken alongside two full. A-levels from the list of acceptable subjects above.",36,"6,6,6 at Higher level, 36 points overall."
106,https://www.manchester.ac.uk/study/undergraduate/courses/2025/05151/baecon-accounting-and-finance/,BAEcon,Accounting and Finance,AAA,"AAA We do not accept two A/S Levels grades in place of one A-level. Applicants must be studying at least one of the following A-level subjects: Accounting, Anthropology, Business Studies, Classics, Economics, English Language/Literature, Further Mathematics, Geography, History, Law, Mathematics, Modern Languages, Philosophy, Politics, Psychology, Religious Studies, Sociology, Use of Mathematics and World Development. We accept native language A Levels providing they are taken in the same sitting as your other subjects. We will not accept the combination of Mathematics, Further Mathematics and a native language. We accept the Level 3 Diploma in Financial Studies (DipFS) as equivalent to an A-level if taken alongside two full. A-levels from the list of acceptable subjects above.",36,"6,6,6 at Higher level, 36 points overall."
108,https://www.manchester.ac.uk/study/undergraduate/courses/2025/05137/baecon-economics-and-politics/,BAEcon,Economics and Politics,AAA,"AAA We do not accept two A/S Levels grades in place of one A-level. Applicants must be studying at least one of the following A-level subjects: Accounting, Anthropology, Business Studies, Classics, Economics, English Language/Literature, Further Mathematics, Geography, History, Law, Mathematics, Modern Languages, Philosophy, Politics, Psychology, Religious Studies, Sociology, Use of Mathematics and World Development. We accept native language A Levels providing they are taken in the same sitting as your other subjects. We will not accept the combination of Mathematics, Further Mathematics and a native language. We accept the Level 3 Diploma in Financial Studies (DipFS) as equivalent to an A-level if taken alongside two full. A-levels from the list of acceptable subjects above.",36,"6,6,6 at Higher level, 36 points overall."
11,https://www.manchester.ac.uk/study/undergraduate/courses/2025/00664/bsc-zoology-with-industrial-professional-experience/,BSc,Zoology with Industrial/Professional Experience,AAA,"We require grades AAA-AAB, including two of Biology, Chemistry, Physics and Mathematics (the Core Sciences ). You must have a minimum of grades AA in at least two Core Sciences. Applicants predicted/who have achieved a B in their third A level will receive an offer of AAB, while those predicted/who have achieved an A or A* will be eligible for an offer of AAA. If you are taking only one of the above Core Science subjects, we can consider you for an AAA offer if you are also sitting an A level in at least one of Geography, Psychology, Environmental Studies or Physical Education in place of the second Core Science. If your predicted grades are one grade below our minimum entry requirements we may still make you an aspirational offer if you meet our contextual criteria . Subjects with overlapping content are not normally considered as separate. A-levels. For example, Further Mathematics is not considered alongside Mathematics and Human Biology is not considered alongside Biology. If you are concerned there is too much overlap in your A level subjects, please contact us for advice before applying. We believe that practical skills in the sciences are integral to a candidate s understanding and appreciation of these subjects. Therefore we encourage all applicants to undertake any practical skills assessment if it is available in their qualification. Where applicants are applying for science and related degrees, this is likely to be made explicit in the offers you will receive.",35,"35-36 points overall with 6, 6, 5 to 6, 6, 6 at Higher Level including two science subjects, normally Biology and Chemistry."
112,https://www.manchester.ac.uk/study/undergraduate/courses/2025/06751/ba-japanese-studies/,BA,Japanese Studies,ABB,"Grades ABB This programme is designed for students whose level of Japanese at entry ranges from complete beginner to approximately A-level standard. It is not suitable for students whose first language is Japanese. Whilst we do not insist on any particular pre-requisite subject at A-level, we are seeking strong performance in learning - and particularly in essay writing subjects. The course is very demanding in terms of academic writing as well as language learning and we therefore prefer that at least 60% of one A-level to be assessed on written work, so that applicants are able to cope with the demands of the programme.",34,"34Â points overall.Â 6,5,5 in Higher Level subjects"
113,https://www.manchester.ac.uk/study/undergraduate/courses/2025/06809/ba-english-language-and-japanese/,BA,English Language and Japanese,ABB,Grades ABB. This programme is designed for students whose level of Japanese at entry ranges from complete beginner to approximately A-level standard. It is not suitable for students whose first language is Japanese.,34,"34Â points overall.Â 6,5,5 in Higher Level subjects"
