Organisation,Website,Main address,Main Phone,Job Title,Title,Member,Post Nominal
Abertay University,www.abertay.ac.uk,"Principl's Office, Kydd Building
Kydd Building
Bell Street
Dundee DD1 1HG",01382 308000,Principal and Vice-Chancellor,Professor,Liz Bacon,
Aberystwyth University,www.aber.ac.uk,"Old College
King Street
Aberystwyth SY23 2AX",01970 623111,Vice-Chancellor,Professor,Jon Timmis,
Anglia Ruskin University,www.anglia.ac.uk,"Vice Chancellor's Office
Tindal Building
Bishops Hall Lane
Chelmsford CM1 1SQ",0845 271 333,Vice-Chancellor,Professor,Roderick Watkins,
Aston University,www.aston.ac.uk,"Aston Triangle
Birmingham B4 7ET",0121 204 3000,Vice-Chancellor and Chief Executive,Professor,Aleks Subic,
Bangor University,www.bangor.ac.uk,"Vice-Chancellor's Office
Bangor LL57 2DG",01248 351151,Vice-Chancellor,Professor,Edmund Burke,
Bath Spa University,www.bathspa.ac.uk,"Newton Park
Newton St Loe
Bath BA2 9BN",01225 875875,Vice-Chancellor,Professor,Sue Rigby,
"Birkbeck, University of London",www.bbk.ac.uk,"Malet Street
Bloomsbury
London WC1E 7HX",020 7631 6000,Vice-Chancellor,Professor,Sally Wheeler,OBE
Birmingham City University,www.bcu.ac.uk,"University House
15 Bartholomew Row
Birmingham B5 5JU",0121 331 5000,Vice-Chancellor,Professor,David Mba,
Bishop Grosseteste University,https://www.bishopg.ac.uk,"Longdales Road
Lincoln, Lincolnshire LN1 3DY",01522 527347,Interim Vice-Chancellor,,Tom Dannatt,
Bournemouth University,www.bournemouth.ac.uk,"Fern Barrow
Poole BH12 5BB",01202 524111,Vice-Chancellor & Chief Executive,Professor,Alison Honour,
Brunel University London,www.brunel.ac.uk,"Kingston Lane
Uxbridge UB8 3PH",01895 274000,Vice-Chancellor and President,Professor,Andrew Jones,
Buckinghamshire New University,www.bucks.ac.uk,"Queen Alexandra Road
High Wycombe, Buckinghamshire HP11 2JZ",0300 123 2023,Vice-Chancellor,Professor,Nick Braisby,
Canterbury Christ Church University,https://www.canterbury.ac.uk,"North Holmes Road
Canterbury, Kent CT1 1QU",02227 767700,Vice-Chancellor and Principal,Professor,Rama Thirunamachandran,OBE
Cardiff Metropolitan University,www.cardiffmet.ac.uk,"PO Box 377
Western Avenue
Cardiff CF5 2SG",029 2041 6070,Vice-Chancellor and President,Professor,Rachael Langford,
Cardiff University,www.cardiff.ac.uk,"Main Building
Park Place
Cardiff CF10 3AT",029 2087 4000,President & Vice-Chancellor,Professor,Wendy Larner,
"City St George's, University of London",www.city.ac.uk,"Northampton Square
London EC1V 0HB",020 7040 5060,President,Professor Sir,Anthony Finkelstein,CBE
Courtauld Institute of Art,https://courtauld.ac.uk/,"Somerset House
Strand
London WC2R 0RN",020 3947 7711,Märit Rausing Director.,Professor,Mark Hallett,
Coventry University,www.coventry.ac.uk,"Priory Street
Coventry CV1 5FB",024 7765 8212,Vice-Chancellor,Professor,John Latham,CBE
Cranfield University,www.cranfield.ac.uk,"College Road
Cranfield, Bedfordshire MK43 0AL",01234 750111,CEO and Vice-Chancellor,Professor Dame,Karen Holford,DBE
De Montfort University,www.dmu.ac.uk,"Trinity House
The Gateway
Leicester LE1 9BH",0116 255 1551,Vice-Chancellor,Professor,Katie Normington,
Durham University,www.dur.ac.uk,"The Palatine Center
Stockton Road
Durham DH1 3LE",0191 334 2000,Vice-Chancellor and Warden,Professor,Karen O’Brien,
Edge Hill University,www.edgehill.ac.uk,"St Helens Road
Ormskirk L39 4QP",01695 575171,Vice-Chancellor,Dr,John Cater,CBE
