ukprn,university,kiscourseid,title,crseurl,foundation_year_available,placement_year,year_abroad,median_salary
10007799,Newcastle University,objid50010829,Medicine and Surgery,http://www.ncl.ac.uk/undergraduate/degrees/a100/,No,No,Yes,35000
10007799,Newcastle University,objid50010831,Physiological Sciences,http://www.ncl.ac.uk/undergraduate/degrees/b100/,No,Yes,Yes,27000
10007799,Newcastle University,objid50010832,Pharmacology,http://www.ncl.ac.uk/undergraduate/degrees/b210/,No,Yes,Yes,25500
10007799,Newcastle University,objid50010833,Human Nutrition with Placement,http://www.ncl.ac.uk/undergraduate/degrees/b4d6/,No,Yes,Yes,25500
10007799,Newcastle University,objid50010834,Biomedical Sciences,http://www.ncl.ac.uk/undergraduate/degrees/b940/,No,Yes,Yes,27000
10007799,Newcastle University,objid50010837,Biomedical Sciences (Deferred choice),http://www.ncl.ac.uk/undergraduate/degrees/b902/,No,Yes,Yes,27000
10007799,Newcastle University,objid50010840,Marine Biology,http://www.ncl.ac.uk/undergraduate/degrees/c161/,No,Yes,Yes,21000
10007799,Newcastle University,objid50010843,Zoology,http://www.ncl.ac.uk/undergraduate/degrees/c300/,No,Yes,Yes,21000
10007799,Newcastle University,objid50010844,Animal Science,http://www.ncl.ac.uk/undergraduate/degrees/c305/,No,Yes,Yes,21000
10007799,Newcastle University,objid50010850,Biochemistry,http://www.ncl.ac.uk/undergraduate/degrees/c700/,No,Yes,Yes,27000
10007799,Newcastle University,objid50010851,Psychology,http://www.ncl.ac.uk/undergraduate/degrees/c800/,No,Yes,No,23000
10007799,Newcastle University,objid50010857,Agriculture,http://www.ncl.ac.uk/undergraduate/degrees/d400/,No,Yes,Yes,26000
10007799,Newcastle University,objid50010858,Agriculture with Farm Business Management,http://www.ncl.ac.uk/undergraduate/degrees/d402/,No,Yes,Yes,26000
10007799,Newcastle University,objid50010865,Sustainable Land and Business Management,http://www.ncl.ac.uk/undergraduate/degrees/d455/,No,Yes,Yes,26000
10007799,Newcastle University,objid50010876,Chemistry,http://www.ncl.ac.uk/undergraduate/degrees/f100/,No,No,No,26000
10007799,Newcastle University,objid50010878,Chemistry with Industrial Placement,http://www.ncl.ac.uk/undergraduate/degrees/f102/,No,Yes,No,26000
10007799,Newcastle University,objid50010879,Chemistry,http://www.ncl.ac.uk/undergraduate/degrees/f103/,No,No,No,26000
10007799,Newcastle University,objid50010884,Chemistry with Medicinal Chemistry and Industrial Placement,http://www.ncl.ac.uk/undergraduate/degrees/f122/,No,Yes,No,26000
10007799,Newcastle University,objid50010885,Chemistry with Medicinal Chemistry,http://www.ncl.ac.uk/undergraduate/degrees/f123/,No,No,No,26000
10007799,Newcastle University,objid50010886,Chemistry with Medicinal Chemistry,http://www.ncl.ac.uk/undergraduate/degrees/f151/,No,No,No,26000
10007799,Newcastle University,objid50010891,Physics,http://www.ncl.ac.uk/undergraduate/degrees/f300/,No,Yes,No,28000
