ukprn,university,kiscourseid,title,crseurl,foundation_year_available,placement_year,year_abroad,median_salary
10007154,University of Nottingham,13V6,"Religion, Culture and Ethics",https://www.nottingham.ac.uk/studywithus/ugstudy/courses/UG/Religion--Culture-and-Ethics-BA-Hons-U6URLGCE.html,No,No,Yes,26000
10007154,University of Nottingham,1L22,Criminology and Sociology,https://www.nottingham.ac.uk/studywithus/ugstudy/courses/UG/Criminology-and-Sociology-BA-Jt-Hons-U6UCRSOC.html,No,Yes,Yes,25500
10007154,University of Nottingham,74Q9,Modern Languages with Translation,https://www.nottingham.ac.uk/studywithus/ugstudy/courses/UG/Modern-Languages-with-Translation-BA-Hons-U6UMODLTY.html,No,No,Yes,26000
10007154,University of Nottingham,86V4,"Religion, Philosophy and Ethics",https://www.nottingham.ac.uk/studywithus/ugstudy/courses/UG/Religion-Philosophy-and-Ethics-BA-Jt-Hons-U6URLGPE.html,Yes,No,Yes,26000
10007154,University of Nottingham,A30A,Health Sciences with Foundation Year,https://www.nottingham.ac.uk/studywithus/ugstudy/courses/UG/Health-Sciences-with-Foundation-Year-BSc-Hons-U6UHESCIF.html,Yes,No,No,30000
10007154,University of Nottingham,B121,Medical Physiology and Therapeutics,https://www.nottingham.ac.uk/studywithus/ugstudy/courses/UG/Medical-Physiology-and-Therapeutics-BSc-Hons-U6UMDPTP.html,No,No,No,25000
10007154,University of Nottingham,B140,Neuroscience,https://www.nottingham.ac.uk/studywithus/ugstudy/courses/UG/Neuroscience-BSc-Hons-U6UNEURS.html,No,No,No,22500
10007154,University of Nottingham,B141,Neuroscience,https://www.nottingham.ac.uk/studywithus/ugstudy/courses/UG/Neuroscience-MSci-Hons-U7UNEURS.html,No,Yes,No,22500
10007154,University of Nottingham,B160,Physiotherapy,https://www.nottingham.ac.uk/studywithus/ugstudy/courses/UG/Physiotherapy-BSc-Hons-U6UPSTPY.html,Yes,No,No,28000
10007154,University of Nottingham,B211,Pharmacology,https://www.nottingham.ac.uk/studywithus/ugstudy/courses/UG/Pharmacology-BSc-Hons-U6UPHCLG.html,No,No,No,37000
10007154,University of Nottingham,B230,Pharmacy,https://www.nottingham.ac.uk/studywithus/ugstudy/courses/UG/Pharmacy-MPharm-U7UPHRCY.html,No,No,Yes,37000
10007154,University of Nottingham,B236,Pharmacy with Integrated Foundation Training,https://www.nottingham.ac.uk/studywithus/ugstudy/courses/UG/Pharmacy-with-Integrated-Foundation-Training-MPharm-U7UPHYIF.html,Yes,No,Yes,37000
10007154,University of Nottingham,B23B,Pharmaceutical Sciences (with a Year in Industry),https://www.nottingham.ac.uk/studywithus/ugstudy/courses/UG/Pharmaceutical-Sciences-with-a-Year-in-Industry-MSci-Hons-U7UPHSCIY.html,No,Yes,No,37000
10007154,University of Nottingham,B313,Pharmaceutical sciences,https://www.nottingham.ac.uk/studywithus/ugstudy/courses/UG/Pharmaceutical-Sciences-BSc-Hons-U6UPHSCIS.html,No,No,No,37000
10007154,University of Nottingham,B400,Nutrition,https://www.nottingham.ac.uk/studywithus/ugstudy/courses/UG/Nutrition-Bsc-Hons-U6UNUTRN.html,Yes,Yes,Yes,28500
10007154,University of Nottingham,B401,Nutrition and Dietetics,https://www.nottingham.ac.uk/studywithus/ugstudy/courses/UG/Nutrition-and-Dietetics-MNutr-U7UNUTDT.html,Yes,No,No,28500
10007154,University of Nottingham,B723,Midwifery,https://www.nottingham.ac.uk/studywithus/ugstudy/courses/UG/Midwifery-BSc-Hons-U6UMIDWFP2.html,Yes,No,No,28000
10007154,University of Nottingham,B730,Nursing (Child),https://www.nottingham.ac.uk/studywithus/ugstudy/courses/UG/Nursing-Child-BSc-Hons-U6UNURSCH.html,No,No,No,28000
10007154,University of Nottingham,B740,Nursing (Adult),https://www.nottingham.ac.uk/studywithus/ugstudy/courses/UG/Nursing-Adult-BSc-Hons-U6UNURSE.html,No,No,No,28000
10007154,University of Nottingham,B767,Nursing (Mental Health),https://www.nottingham.ac.uk/studywithus/ugstudy/courses/UG/Nursing-Mental-Health-BSc-Hons-U6UNURSMH.html,No,No,No,28000
