kiscourseid,url,university,offer_rate_clean
UBAHISSANC18,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/ancient-history-ba,University College London,58
UBALNGSANA18,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/ancient-languages-ba,University College London,78.5
UBSANTSING18,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/anthropology-bsc,University College London,64
UBSMEDSAPP18,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/applied-medical-sciences-bsc,University College London,76
UBAARLAANT18,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/archaeology-and-anthropology-ba,University College London,84
UBAARLSABR18,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/archaeology-ba,University College London,51.33
UBSARLSING18,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/archaeology-bsc,University College London,77
UBSARCSAIA18,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/architectural-and-interdisciplinary-studies-bsc,University College London,9.5
UBSARCSING18,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/architecture-bsc,University College London,11
UMSARCSING19,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/architecture-msci,University College London,15
UBAARTATEC18,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/art-and-technology-ba,University College London,Data Not Available
UBBASCSING18,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/arts-and-sciences-basc,University College London,69
UBBASCSABR18,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/arts-and-sciences-study-abroad-basc,University College London,69
UBSASTSPHY18,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/astrophysics-bsc,University College London,34
UMSASTSPHY18,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/astrophysics-msci,University College London,41
UBSAUDSING18,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/audiology-bsc,University College London,57
UBLLAWSHKD18,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/bachelor-laws-ucl-and-bachelor-laws-hku-llb,University College London,Data Not Available
UBNBENSING22,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/biochemical-engineering-beng,University College London,77
UMNBENSING22,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/biochemical-engineering-meng,University College London,87
UBSBOCSING18,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/biochemistry-bsc,University College London,37
UMSBOCSING18,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/biochemistry-msci,University College London,39
UBSBOLSING18,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/biological-sciences-bsc,University College London,34
UMSBOLSING18,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/biological-sciences-msci,University College London,46
UBNBMDSING22,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/biomedical-engineering-beng,University College London,42
UMNBMDSING22,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/biomedical-engineering-meng,University College London,50
UBSBMDSSCI18,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/biomedical-sciences-bsc,University College London,29
UBSBIPSMBM18,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/bioprocessing-new-medicines-business-and-management-bsc,University College London,Data Not Available
