ukprn,university,kiscourseid,title,crseurl,foundation_year_available,placement_year,year_abroad,median_salary
10007775,Queen Mary University of London,UBAF-QMCLFF1-UJCLFFLY,Comparative Literature and Film,https://www.qmul.ac.uk/undergraduate/coursefinder/courses/2025/comparative-literature-and-film,No,No,Yes,28000
10007775,Queen Mary University of London,UBAF-QMCLFF1-UJCLFLIF,Comparative Literature and Linguistics,https://www.qmul.ac.uk/undergraduate/coursefinder/courses/2025/comparative-literature-and-linguistics,No,No,Yes,29000
10007775,Queen Mary University of London,UBAF-QMCLFF1-UJLIFESF,English Language and Linguistics,https://www.qmul.ac.uk/undergraduate/coursefinder/courses/2025/english-language-and-linguistics,No,No,Yes,28000
10007775,Queen Mary University of London,UBAF-QMCLFF1-USCLF,Comparative Literature,https://www.qmul.ac.uk/undergraduate/coursefinder/courses/2025/comparative-literature,No,No,Yes,28000
10007775,Queen Mary University of London,UBAF-QMCLFF1-USFLY,Film,https://www.qmul.ac.uk/undergraduate/coursefinder/courses/2025/film,No,No,Yes,24000
10007775,Queen Mary University of London,UBAF-QMCLFF1-USLIF,Linguistics,https://www.qmul.ac.uk/undergraduate/coursefinder/courses/2025/linguistics,No,No,Yes,29000
10007775,Queen Mary University of London,UBAF-QMDRAF1-UJDRFHSF,Drama and History,https://www.qmul.ac.uk/undergraduate/coursefinder/courses/2025/drama-and-history/,No,No,Yes,26500
10007775,Queen Mary University of London,UBAF-QMDRAF1-UJFLYDRF,Film and Drama,https://www.qmul.ac.uk/undergraduate/coursefinder/courses/2025/film-and-drama,No,No,Yes,24000
10007775,Queen Mary University of London,UBAF-QMDRAF1-USDCF,Drama with Creative Writing,https://www.qmul.ac.uk/undergraduate/coursefinder/courses/2025/drama-with-creative-writing/,No,No,Yes,28000
10007775,Queen Mary University of London,UBAF-QMDRAF1-USDRF,Drama,https://www.qmul.ac.uk/undergraduate/coursefinder/courses/2025/drama,No,No,Yes,25000
10007775,Queen Mary University of London,UBAF-QMENSF1-UJEHFFLY,English and Film,https://www.qmul.ac.uk/undergraduate/coursefinder/courses/2025/english-and-film,No,No,Yes,26000
10007775,Queen Mary University of London,UBAF-QMENSF1-UJELFLIF,English Literature and Linguistics,https://www.qmul.ac.uk/undergraduate/coursefinder/courses/2025/english-literature-and-linguistics,No,No,Yes,26000
10007775,Queen Mary University of London,UBAF-QMENSF1-UJESFDRF,English and Drama,https://www.qmul.ac.uk/undergraduate/coursefinder/courses/2025/english-and-drama,No,No,Yes,26000
10007775,Queen Mary University of London,UBAF-QMENSF1-UJESFHSF,English and History,https://www.qmul.ac.uk/undergraduate/coursefinder/courses/2025/english-and-history,No,No,Yes,26000
10007775,Queen Mary University of London,UBAF-QMENSF1-USECF,English with Creative Writing,https://www.qmul.ac.uk/undergraduate/coursefinder/courses/2025/english-with-creative-writing,No,No,Yes,26000
10007775,Queen Mary University of London,UBAF-QMENSF1-USESF,English,https://www.qmul.ac.uk/undergraduate/coursefinder/courses/2025/english,No,No,Yes,26000
10007775,Queen Mary University of London,UBAF-QMGEOF1-USGDA,Global Development,https://www.qmul.ac.uk/undergraduate/coursefinder/courses/2025/global-development/,No,No,Yes,32000
10007775,Queen Mary University of London,UBAF-QMGEOF1-USGEOF,Geography,https://www.qmul.ac.uk/undergraduate/coursefinder/courses/2025/geography-ba,No,No,Yes,25500
10007775,Queen Mary University of London,UBAF-QMGEOF1-USHUF,Human Geography,https://www.qmul.ac.uk/undergraduate/coursefinder/courses/2025/human-geography,No,No,Yes,27000
10007775,Queen Mary University of London,UBAF-QMHISD1-UJHSFINA,History and International Relations,https://www.qmul.ac.uk/undergraduate/coursefinder/courses/2025/history-and-international-relations/,No,No,Yes,30500
10007775,Queen Mary University of London,UBAF-QMHISD1-UJHSFPOF,History and Politics,https://www.qmul.ac.uk/undergraduate/coursefinder/courses/2025/history-and-politics,No,No,Yes,30500
10007775,Queen Mary University of London,UBAF-QMHISD1-USHSF,History,https://www.qmul.ac.uk/undergraduate/coursefinder/courses/2025/history,No,No,Yes,26500
