ukprn,kiscourseid,title,crseurl
10005343,ACC-MACC-P,Advanced Accounting with Placement,https://www.qub.ac.uk/courses/undergraduate/2024/advanced-accounting-placement-macc-n400/
10005343,ACC-MM-FRH,Accounting with French,https://www.qub.ac.uk/courses/undergraduate/accounting-major-french-bsc-n4r1/
10005343,ACC-MM-SPA,Accounting with Spanish,https://www.qub.ac.uk/courses/undergraduate/accounting-major-spanish-bsc-n4r4/#overview
10005343,ACT-BSC-S,Actuarial Science and Risk Management,https://www.qub.ac.uk/courses/undergraduate/actuarial-science-risk-management-bsc-n323
10005343,AES-BE-S,Aerospace Engineering (Sandwich),https://www.qub.ac.uk/courses/undergraduate/aerospace-engineering-sandwich-beng-h404/
10005343,AES-BENG,Aerospace Engineering,https://www.qub.ac.uk/courses/undergraduate/aerospace-engineering-beng-h400/
10005343,AES-ME-S,Aerospace Engineering (Undergraduate Masters with Sandwich year),https://www.qub.ac.uk/courses/undergraduate/aerospace-engineering-sandwich-meng-h405/
10005343,AES-MENG,Aerospace Engineering,https://www.qub.ac.uk/courses/undergraduate/aerospace-engineering-meng-h402/
10005343,AGT-BSC-S,Agricultural Technology,https://www.qub.ac.uk/courses/undergraduate/agricultural-technology-bsc-d473
10005343,AGT-S-S,Agricultural Technology with Professional Studies,https://www.qub.ac.uk/courses/undergraduate/agricultural-technology-bsc-d470/
10005343,AMA-JS-PHY,Applied Mathematics and Physics,https://www.qub.ac.uk/courses/undergraduate/applied-mathematics-physics-bsc-gf13
10005343,AMA-UM-PHY,Applied Mathematics and Physics,https://www.qub.ac.uk/courses/undergraduate/applied-mathematics-physics-msci-gfc3
10005343,ANT-BA-S,Anthropology,http://www.qub.ac.uk/courses/undergraduate/anthropology-ba-l600/
10005343,ANT-JS-ARL,Anthropology and Archaeology,https://www.qub.ac.uk/courses/undergraduate/anthropology-archaeology-ba-lv64/
10005343,ANT-JS-ENG,Anthropology and English,http://www.qub.ac.uk/courses/undergraduate/anthropology-english-ba-ql36/
10005343,ANT-JS-FRH,Anthropology and French,http://www.qub.ac.uk/courses/undergraduate/anthropology-french-ba-rl16/
10005343,ANT-JS-HIS,Anthropology and History,http://www.qub.ac.uk/courses/undergraduate/anthropology-history-ba-vl16/
10005343,ANT-JS-INT,Anthropology and International Relations,https://www.qub.ac.uk/courses/undergraduate/anthropology-international-relations-ba-ll6f/#overview
10005343,ANT-JS-IRI,Anthropology and Irish,http://www.qub.ac.uk/courses/undergraduate/anthropology-irish-ba-ql56/
10005343,ANT-JS-PHL,Anthropology and Philosophy,https://www.qub.ac.uk/courses/undergraduate/anthropology-philosophy-ba-lv65/#overview
10005343,ANT-JS-POL,Anthropology and Politics,https://www.qub.ac.uk/courses/undergraduate/anthropology-politics-ba-ll62/#overview
10005343,ANT-JS-SPA,Anthropology and Spanish,http://www.qub.ac.uk/courses/undergraduate/anthropology-spanish-ba-lr64/
10005343,ARC-BSC-S,Architecture,https://www.qub.ac.uk/courses/undergraduate/architecture-bsc-k100/
10005343,ARL-BA-FRH,Archaeology with French,https://www.qub.ac.uk/courses/undergraduate/archaeology-french-ba-v4r1/
10005343,ARL-BA-POR,Archaeology with Portuguese,https://www.qub.ac.uk/courses/undergraduate/archaeology-portuguese-ba-v4r5/
10005343,ARL-BA-S,Archaeology,https://www.qub.ac.uk/courses/undergraduate/archaeology-ba-v402/
10005343,ARL-BA-SPA,Archaeology with Spanish,https://www.qub.ac.uk/courses/undergraduate/archaeology-spanish-ba-v4r4/
10005343,ARL-JS-HIS,Archaeology and History,https://www.qub.ac.uk/courses/undergraduate/archaeology-history-ba-vv41/
10005343,ARL-JS-IRI,Archaeology and Irish,https://www.qub.ac.uk/courses/undergraduate/archaeology-irish-ba-vq45
10005343,ARP-BSC-S,Archaeology & Palaeoecology,http://www.qub.ac.uk/courses/undergraduate/archaeologypalaeoecology-bsc-v400/
10005343,ARP-JS-GEO,Archaeology & Palaeoecology and Geography,https://www.qub.ac.uk/courses/undergraduate/archaeologypalaeoecology-geography-bsc-vf48/
10005343,BCM-BSC-P,Biochemistry with Professional Studies,https://www.qub.ac.uk/courses/undergraduate/biochemistry-bsc-c704/
10005343,BCM-BSC-S,Biochemistry,https://www.qub.ac.uk/courses/undergraduate/biochemistry-bsc-c700/
10005343,BCP-BA-S,Broadcast Production,https://www.qub.ac.uk/courses/undergraduate/broadcast-production-ba-p310/
10005343,BEC-BSC-S,Business Economics,https://www.qub.ac.uk/courses/undergraduate/business-economics-bsc-l110/
10005343,BIO-BSC-S,Human Biology,https://www.qub.ac.uk/courses/undergraduate/human-biology-bsc-b100/
10005343,BIO-MSCI,Biochemistry (Undergraduate Masters),https://www.qub.ac.uk/courses/undergraduate/biochemistry-msci-c702/
10005343,BIO-MSCI-P,Biochemistry (Undergraduate Masters with Professional Studies),https://www.qub.ac.uk/courses/undergraduate/biochemistry-msci-c705/
10005343,BIT-BSC-P,Business Information Technology,https://www.qub.ac.uk/courses/undergraduate/2024/business-information-technology-incl-professional-experience-bsc-gn51/
10005343,BMS-BSC-S,Biomedical Science,https://www.qub.ac.uk/courses/undergraduate/biomedical-science-bsc-b940
10005343,BSC-BSC-P,Biological Sciences with Professional Studies,https://www.qub.ac.uk/courses/undergraduate/biological-sciences-bsc-c104/
10005343,BSC-BSC-S,Biological Sciences,https://www.qub.ac.uk/courses/undergraduate/biological-sciences-bsc-c100/
10005343,BSC-MSCI-P,Biological Sciences (Undergraduate Masters with Professional Studies),https://www.qub.ac.uk/courses/undergraduate/2024/biological-sciences-msci-c105/#overview
10005343,BSC-MSCI-S,Biological Sciences (Undergraduate Masters),https://www.qub.ac.uk/courses/undergraduate/2024/biological-sciences-msci-c102/#overview
10005343,BSM-BSC-P,Business Management with Placement,https://www.qub.ac.uk/courses/undergraduate/business-management-placement-bsc-n202/
10005343,CEN-BE-S,Computer Engineering (with year in industry),https://www.qub.ac.uk/courses/undergraduate/computer-engineering-year-industry-beng-gh67/#overview
10005343,CEN-BENG,Computer Engineering,https://www.qub.ac.uk/courses/undergraduate/computer-engineering-beng-gh6p/
10005343,CEN-ME-S,Computer Engineering (Undergraduate Masters with Year in Industry),https://www.qub.ac.uk/courses/undergraduate/computer-engineering-year-industry-meng-gh68/#overview
10005343,CEN-MENG,Computer Engineering (Undergraduate Masters),https://www.qub.ac.uk/courses/undergraduate/computer-engineering-meng-gh6q/
10005343,CHE-BENG,Chemical Engineering,https://www.qub.ac.uk/courses/undergraduate/chemical-engineering-beng-h800/#overview
10005343,CHE-BENG-Y,Chemical Engineering with a Year in Industry,https://www.qub.ac.uk/courses/undergraduate/chemical-engineering-year-industry-beng-h804/#overview
10005343,CHE-MENG,Chemical Engineering (Undergraduate Masters),https://www.qub.ac.uk/courses/undergraduate/chemical-engineering-meng-h802/
10005343,CHE-MENG-I,Chemical Engineering with a Year in Industry,https://www.qub.ac.uk/courses/undergraduate/2024/chemical-engineering-meng-h805/
10005343,CHM-BSC-I,Chemistry with a Year in Industry,https://www.qub.ac.uk/courses/undergraduate/chemistry-year-industry-bsc-f104/#overview
