ukprn,university,kiscourseid,title,crseurl,foundation_year_available,placement_year,year_abroad,median_salary
10005343,Queen's University Belfast,ACC-MACC-P,Advanced Accounting with Placement,https://www.qub.ac.uk/courses/undergraduate/2024/advanced-accounting-placement-macc-n400/,No,Yes,No,23500
10005343,Queen's University Belfast,ACC-MM-FRH,Accounting with French,https://www.qub.ac.uk/courses/undergraduate/accounting-major-french-bsc-n4r1/,No,No,Yes,23500
10005343,Queen's University Belfast,ACC-MM-SPA,Accounting with Spanish,https://www.qub.ac.uk/courses/undergraduate/accounting-major-spanish-bsc-n4r4/#overview,No,No,Yes,23500
10005343,Queen's University Belfast,ACT-BSC-S,Actuarial Science and Risk Management,https://www.qub.ac.uk/courses/undergraduate/actuarial-science-risk-management-bsc-n323,No,Yes,No,27000
10005343,Queen's University Belfast,AES-BE-S,Aerospace Engineering (Sandwich),https://www.qub.ac.uk/courses/undergraduate/aerospace-engineering-sandwich-beng-h404/,No,Yes,No,30000
10005343,Queen's University Belfast,AES-BENG,Aerospace Engineering,https://www.qub.ac.uk/courses/undergraduate/aerospace-engineering-beng-h400/,No,No,No,30000
10005343,Queen's University Belfast,AES-ME-S,Aerospace Engineering (Undergraduate Masters with Sandwich year),https://www.qub.ac.uk/courses/undergraduate/aerospace-engineering-sandwich-meng-h405/,No,Yes,No,30000
10005343,Queen's University Belfast,AES-MENG,Aerospace Engineering,https://www.qub.ac.uk/courses/undergraduate/aerospace-engineering-meng-h402/,No,No,No,30000
10005343,Queen's University Belfast,AGT-BSC-S,Agricultural Technology,https://www.qub.ac.uk/courses/undergraduate/agricultural-technology-bsc-d473,No,No,No,30000
10005343,Queen's University Belfast,AGT-S-S,Agricultural Technology with Professional Studies,https://www.qub.ac.uk/courses/undergraduate/agricultural-technology-bsc-d470/,No,Yes,No,30000
10005343,Queen's University Belfast,AMA-JS-PHY,Applied Mathematics and Physics,https://www.qub.ac.uk/courses/undergraduate/applied-mathematics-physics-bsc-gf13,No,No,No,28000
10005343,Queen's University Belfast,AMA-UM-PHY,Applied Mathematics and Physics,https://www.qub.ac.uk/courses/undergraduate/applied-mathematics-physics-msci-gfc3,No,No,No,28000
10005343,Queen's University Belfast,ANT-BA-S,Anthropology,http://www.qub.ac.uk/courses/undergraduate/anthropology-ba-l600/,No,No,No,27000
10005343,Queen's University Belfast,ANT-JS-ARL,Anthropology and Archaeology,https://www.qub.ac.uk/courses/undergraduate/anthropology-archaeology-ba-lv64/,No,No,No,27000
10005343,Queen's University Belfast,ANT-JS-ENG,Anthropology and English,http://www.qub.ac.uk/courses/undergraduate/anthropology-english-ba-ql36/,No,No,No,27000
10005343,Queen's University Belfast,ANT-JS-FRH,Anthropology and French,http://www.qub.ac.uk/courses/undergraduate/anthropology-french-ba-rl16/,No,No,Yes,27000
10005343,Queen's University Belfast,ANT-JS-HIS,Anthropology and History,http://www.qub.ac.uk/courses/undergraduate/anthropology-history-ba-vl16/,No,No,No,27000
10005343,Queen's University Belfast,ANT-JS-INT,Anthropology and International Relations,https://www.qub.ac.uk/courses/undergraduate/anthropology-international-relations-ba-ll6f/#overview,No,No,No,27000
10005343,Queen's University Belfast,ANT-JS-IRI,Anthropology and Irish,http://www.qub.ac.uk/courses/undergraduate/anthropology-irish-ba-ql56/,No,No,No,27000
10005343,Queen's University Belfast,ANT-JS-PHL,Anthropology and Philosophy,https://www.qub.ac.uk/courses/undergraduate/anthropology-philosophy-ba-lv65/#overview,No,No,No,27000
10005343,Queen's University Belfast,ANT-JS-POL,Anthropology and Politics,https://www.qub.ac.uk/courses/undergraduate/anthropology-politics-ba-ll62/#overview,No,No,No,27000
10005343,Queen's University Belfast,ANT-JS-SPA,Anthropology and Spanish,http://www.qub.ac.uk/courses/undergraduate/anthropology-spanish-ba-lr64/,No,No,Yes,27000
10005343,Queen's University Belfast,ARC-BSC-S,Architecture,https://www.qub.ac.uk/courses/undergraduate/architecture-bsc-k100/,No,No,No,20000
10005343,Queen's University Belfast,ARL-BA-FRH,Archaeology with French,https://www.qub.ac.uk/courses/undergraduate/archaeology-french-ba-v4r1/,No,No,Yes,23000
10005343,Queen's University Belfast,ARL-BA-POR,Archaeology with Portuguese,https://www.qub.ac.uk/courses/undergraduate/archaeology-portuguese-ba-v4r5/,No,No,Yes,23000
10005343,Queen's University Belfast,ARL-BA-S,Archaeology,https://www.qub.ac.uk/courses/undergraduate/archaeology-ba-v402/,No,No,No,22500
10005343,Queen's University Belfast,ARL-BA-SPA,Archaeology with Spanish,https://www.qub.ac.uk/courses/undergraduate/archaeology-spanish-ba-v4r4/,No,No,Yes,23000
10005343,Queen's University Belfast,ARL-JS-HIS,Archaeology and History,https://www.qub.ac.uk/courses/undergraduate/archaeology-history-ba-vv41/,No,No,No,22500
10005343,Queen's University Belfast,ARL-JS-IRI,Archaeology and Irish,https://www.qub.ac.uk/courses/undergraduate/archaeology-irish-ba-vq45,No,No,No,23000
10005343,Queen's University Belfast,ARP-BSC-S,Archaeology & Palaeoecology,http://www.qub.ac.uk/courses/undergraduate/archaeologypalaeoecology-bsc-v400/,No,No,No,22500
10005343,Queen's University Belfast,ARP-JS-GEO,Archaeology & Palaeoecology and Geography,https://www.qub.ac.uk/courses/undergraduate/archaeologypalaeoecology-geography-bsc-vf48/,No,No,No,22500
10005343,Queen's University Belfast,BCM-BSC-P,Biochemistry with Professional Studies,https://www.qub.ac.uk/courses/undergraduate/biochemistry-bsc-c704/,No,Yes,No,25500
10005343,Queen's University Belfast,BCM-BSC-S,Biochemistry,https://www.qub.ac.uk/courses/undergraduate/biochemistry-bsc-c700/,No,No,No,25500
10005343,Queen's University Belfast,BCP-BA-S,Broadcast Production,https://www.qub.ac.uk/courses/undergraduate/broadcast-production-ba-p310/,No,No,No,21000
10005343,Queen's University Belfast,BEC-BSC-S,Business Economics,https://www.qub.ac.uk/courses/undergraduate/business-economics-bsc-l110/,No,No,No,27000
10005343,Queen's University Belfast,BIO-BSC-S,Human Biology,https://www.qub.ac.uk/courses/undergraduate/human-biology-bsc-b100/,No,No,No,26000
10005343,Queen's University Belfast,BIO-MSCI,Biochemistry (Undergraduate Masters),https://www.qub.ac.uk/courses/undergraduate/biochemistry-msci-c702/,No,No,No,25500
10005343,Queen's University Belfast,BIO-MSCI-P,Biochemistry (Undergraduate Masters with Professional Studies),https://www.qub.ac.uk/courses/undergraduate/biochemistry-msci-c705/,No,Yes,No,25500
10005343,Queen's University Belfast,BIT-BSC-P,Business Information Technology,https://www.qub.ac.uk/courses/undergraduate/2024/business-information-technology-incl-professional-experience-bsc-gn51/,No,Yes,No,30000
10005343,Queen's University Belfast,BMS-BSC-S,Biomedical Science,https://www.qub.ac.uk/courses/undergraduate/biomedical-science-bsc-b940,No,No,No,25500
10005343,Queen's University Belfast,BSC-BSC-P,Biological Sciences with Professional Studies,https://www.qub.ac.uk/courses/undergraduate/biological-sciences-bsc-c104/,No,Yes,No,26000
10005343,Queen's University Belfast,BSC-BSC-S,Biological Sciences,https://www.qub.ac.uk/courses/undergraduate/biological-sciences-bsc-c100/,No,No,No,26000
10005343,Queen's University Belfast,BSC-MSCI-P,Biological Sciences (Undergraduate Masters with Professional Studies),https://www.qub.ac.uk/courses/undergraduate/2024/biological-sciences-msci-c105/#overview,No,Yes,No,26000
10005343,Queen's University Belfast,BSC-MSCI-S,Biological Sciences (Undergraduate Masters),https://www.qub.ac.uk/courses/undergraduate/2024/biological-sciences-msci-c102/#overview,No,No,No,26000
