ukprn,kiscourseid,title,crseurl
10000824,BAAAF_VL46,Archaeology and Anthropology,https://www.bournemouth.ac.uk/study/courses/ba-hons-archaeology-anthropology
10000824,BAAAF_VL46,Archaeology and Anthropology,https://www.bournemouth.ac.uk/study/courses/ba-hons-archaeology-anthropology
10000824,BAACS_N423,Accounting,https://www.bournemouth.ac.uk/study/courses/ba-hons-accounting
10000824,BAACS_N423,Accounting,https://www.bournemouth.ac.uk/study/courses/ba-hons-accounting
10000824,BAAFS_N420,Accounting and Finance,https://www.bournemouth.ac.uk/study/courses/ba-hons-accounting-finance-2
10000824,BAAFS_N420,Accounting and Finance,https://www.bournemouth.ac.uk/study/courses/ba-hons-accounting-finance-2
10000824,BABAMES_N1L1,Business and Management (Economics),https://www.bournemouth.ac.uk/study/courses/ba-hons-business-management-economics-0
10000824,BABAMFS_N1N3,Business and Management (Finance),https://www.bournemouth.ac.uk/study/courses/ba-hons-business-management-finance-0
10000824,BACAVEF_W616,Computer Animation and Visual Effects,https://www.bournemouth.ac.uk/study/courses/ba-hons-computer-animation-visual-effects
10000824,BACF_L611,Criminology,https://www.bournemouth.ac.uk/study/courses/ba-hons-criminology
10000824,BACLF_L375,Criminology with Law,https://www.bournemouth.ac.uk/study/courses/ba-hons-criminology-law
10000824,BACLF_L375,Criminology with Law,https://www.bournemouth.ac.uk/study/courses/ba-hons-criminology-law
10000824,BACOMMF_P900,Communication and Media,https://www.bournemouth.ac.uk/study/courses/ba-hons-communication-media
10000824,BACPF_LC38,Criminology with Psychology,https://www.bournemouth.ac.uk/study/courses/ba-hons-criminology-psychology
10000824,BAEF_Q300,English,https://www.bournemouth.ac.uk/study/courses/ba-hons-english-2
10000824,BAFACS_N424,Accounting (with Foundation Year),https://www.bournemouth.ac.uk/study/courses/ba-hons-accounting
10000824,BAFACS_N424,Accounting (with Foundation Year),https://www.bournemouth.ac.uk/study/courses/ba-hons-accounting
10000824,BAFAFS_N421,Accounting and Finance (with Foundation Year),https://www.bournemouth.ac.uk/study/courses/ba-hons-accounting-finance-2
10000824,BAFAFS_N421,Accounting and Finance (with Foundation Year),https://www.bournemouth.ac.uk/study/courses/ba-hons-accounting-finance-2
10000824,BAFAFS_NN24,Finance (with Foundation Year),https://www.bournemouth.ac.uk/study/courses/ba-hons-finance
10000824,BAFBAMES_N1L2,Business and Management (Economics) (with Foundation Year),https://www.bournemouth.ac.uk/study/courses/ba-hons-business-management-economics-0
10000824,BAFBAMFS_N1N4,Business and Management (Finance) (with Foundation Year),https://www.bournemouth.ac.uk/study/courses/ba-hons-business-management-finance-0
10000824,BAFCAVEF_W617,Computer Animation and Visual Effects (with Foundation Year option),https://www.bournemouth.ac.uk/study/courses/ba-hons-computer-animation-visual-effects
10000824,BAFCLF_L376,Criminology with Law (with Foundation Year),https://www.bournemouth.ac.uk/study/courses/ba-hons-criminology-law
10000824,BAFCLF_L376,Criminology with Law (with Foundation Year),https://www.bournemouth.ac.uk/study/courses/ba-hons-criminology-law
10000824,BAFCOMMF_P901,Communication and Media (with Foundation Year),https://www.bournemouth.ac.uk/study/courses/ba-hons-communication-media
10000824,BAFEMS_N821,Events Management (with Foundation Year),https://www.bournemouth.ac.uk/study/courses/ba-hons-events-management
10000824,BAFEMS_N821,Events Management (with Foundation Year),https://www.bournemouth.ac.uk/study/courses/ba-hons-events-management
10000824,BAFFF_T6H4,Film (with Foundation Year),https://www.bournemouth.ac.uk/study/courses/ba-hons-film-3
10000824,BAFFTVPS_FT01,Film and TV Production (with Foundation year),https://www.bournemouth.ac.uk/study/courses/ba-hons-film-tv-production
10000824,BAFF_T6H3,Film,https://www.bournemouth.ac.uk/study/courses/ba-hons-film-3
10000824,BAFIS_NN23,Finance,https://www.bournemouth.ac.uk/study/courses/ba-hons-finance
10000824,BAFMCAS_N596,Marketing Communications with Advertising (with Foundation Year),https://www.bournemouth.ac.uk/study/courses/ba-hons-marketing-communications-advertising
10000824,BAFMCDSS_N587,Marketing Communications with Digital Strategy (with Foundation year),https://www.bournemouth.ac.uk/study/courses/ba-hons-marketing-communications-digital-strategy
10000824,BAFMCDSS_N587,Marketing Communications with Digital Strategy (with Foundation year),https://www.bournemouth.ac.uk/study/courses/ba-hons-marketing-communications-digital-strategy
10000824,BAFMCPRS_N598,Marketing Communications with Public Relations (with Foundation Year),https://www.bournemouth.ac.uk/study/courses/ba-hons-marketing-communications-public-relations
10000824,BAFMCPRS_N598,Marketing Communications with Public Relations (with Foundation Year),https://www.bournemouth.ac.uk/study/courses/ba-hons-marketing-communications-public-relations
10000824,BAFMCSCS_N585,Marketing Communications with Social Change (with Foundation year),https://www.bournemouth.ac.uk/study/courses/ba-hons-marketing-communications-social-change
10000824,BAFMMJF_P501,Multimedia Journalism (with Foundation Year),https://www.bournemouth.ac.uk/study/courses/ba-hons-multimedia-journalism
10000824,BAFMMSJF_P506,Multimedia Sports Journalism (with Foundation Year),https://www.bournemouth.ac.uk/study/courses/ba-hons-multimedia-sports-journalism
10000824,BAFMPF_PH11,Media Production (with Foundation Year),https://www.bournemouth.ac.uk/study/courses/ba-hons-media-production
10000824,BAFPDS_W239,Product Design (with Foundation Year),https://www.bournemouth.ac.uk/study/courses/ba-hons-product-design
10000824,BAFPDS_W239,Product Design (with Foundation Year),https://www.bournemouth.ac.uk/study/courses/ba-hons-product-design
10000824,BAFTVPS_FT00,Film and TV Production,https://www.bournemouth.ac.uk/study/courses/ba-hons-film-tv-production
10000824,BAHF_H4F5,History,https://www.bournemouth.ac.uk/study/courses/ba-hons-history
10000824,BAMCAS_N592,Marketing Communications with Advertising,https://www.bournemouth.ac.uk/study/courses/ba-hons-marketing-communications-advertising
10000824,BAMCDSS_N583,Marketing Communications with Digital Strategy,https://www.bournemouth.ac.uk/study/courses/ba-hons-marketing-communications-digital-strategy
