ukprn,kiscourseid,title,crseurl
10007143,B991,Health and Human Sciences,https://www.durham.ac.uk/study/courses/b991/
10007143,C103,Biological Sciences,https://www.durham.ac.uk/study/courses/c103/
10007143,C104,Biological Sciences,https://www.durham.ac.uk/study/courses/c104/
10007143,C107,Biosciences,https://www.durham.ac.uk/study/courses/c107/
10007143,C603,"Sport, Exercise and Physical Activity",https://www.durham.ac.uk/study/courses/c603/
10007143,C604,"Sport, Exercise and Physical Activity",https://www.durham.ac.uk/study/courses/c604/
10007143,C606,Sport and Exercise Sciences,https://www.durham.ac.uk/study/courses/c606/
10007143,C702,Biochemistry,https://www.durham.ac.uk/study/courses/c702/
10007143,C800,Psychology,https://www.durham.ac.uk/study/courses/c800/
10007143,C807,Psychological and Behavioural Science,https://www.durham.ac.uk/study/courses/c807/
10007143,C811,Psychological and Behavioural Science,https://www.durham.ac.uk/study/courses/c819/
10007143,CFG0,Natural Sciences,https://www.durham.ac.uk/study/courses/cfg0/
10007143,CL86,Psychology and Anthropology,https://www.durham.ac.uk/study/courses/cl86/
10007143,CV85,Philosophy and Psychology,https://www.durham.ac.uk/study/courses/cv85/
10007143,F100,Chemistry,https://www.durham.ac.uk/study/courses/f100/
10007143,F102,Chemistry (International Route),https://www.durham.ac.uk/study/courses/f102/
10007143,F105,Chemistry,https://www.durham.ac.uk/study/courses/f105/
10007143,F111,Chemistry (Industrial Route),https://www.durham.ac.uk/study/courses/f111/
10007143,F300,Physics,https://www.durham.ac.uk/study/courses/f300/
10007143,F301,Physics,https://www.durham.ac.uk/study/courses/f301/
10007143,F344,Theoretical Physics,https://www.durham.ac.uk/study/courses/f344/
10007143,F400,Archaeology,https://www.durham.ac.uk/study/courses/f400/
10007143,F402,Archaeology,https://www.durham.ac.uk/study/courses/f402/
10007143,F403,Archaeology,https://www.durham.ac.uk/study/courses/f403/
10007143,F600,Geology,https://www.durham.ac.uk/study/courses/f600/
10007143,F630,Environmental Geoscience,https://www.durham.ac.uk/study/courses/f630/
10007143,F643,Geoscience,https://www.durham.ac.uk/study/courses/f643/
10007143,F644,Earth Sciences,https://www.durham.ac.uk/study/courses/f644/
10007143,F645,Climate Science,https://www.durham.ac.uk/study/courses/f645/
10007143,F665,Geophysics,https://www.durham.ac.uk/study/courses/geophysics-f665/
10007143,F800,Geography,https://www.durham.ac.uk/study/courses/f800/
10007143,FF3N,Physics and Astronomy,https://www.durham.ac.uk/study/courses/ff3n/
10007143,FGC0,Natural Sciences,https://www.durham.ac.uk/study/courses/fgc0/
10007143,G100,Mathematics,https://www.durham.ac.uk/study/courses/g100/
10007143,G103,Mathematics,https://www.durham.ac.uk/study/courses/g103/
10007143,G111,Mathematics with Statistics,https://www.durham.ac.uk/study/courses/g111/
10007143,G114,Mathematics with Statistics,https://www.durham.ac.uk/study/courses/g114/
10007143,G400,Computer Science,https://www.durham.ac.uk/study/courses/g400/
10007143,G402,Computer Science,https://www.durham.ac.uk/study/courses/g402/
10007143,G406,Computer Science,https://www.durham.ac.uk/study/courses/g406/
10007143,H100,General Engineering,https://www.durham.ac.uk/study/courses/h100/
10007143,H103,General Engineering,https://www.durham.ac.uk/study/courses/h103/
10007143,H211,Engineering (Civil),https://www.durham.ac.uk/study/courses/h211/
10007143,H214,Engineering (Civil),https://www.durham.ac.uk/study/courses/h214/
10007143,H311,Engineering (Mechanical),https://www.durham.ac.uk/study/courses/h311/
10007143,H314,Engineering (Mechanical),https://www.durham.ac.uk/study/courses/h314/
10007143,H411,Engineering (Aeronautical),https://www.durham.ac.uk/study/courses/h411/
10007143,H511,Engineering (Electrical),https://www.durham.ac.uk/study/courses/h511/
10007143,H514,Engineering (Electrical),https://www.durham.ac.uk/study/courses/h514/
10007143,H711,Engineering (Electronic),https://www.durham.ac.uk/study/courses/h711/
10007143,H714,Engineering (Electronic),https://www.durham.ac.uk/study/courses/h714/
10007143,H811,Engineering (Renewable Energy),https://www.durham.ac.uk/study/courses/h811/
10007143,L100,Economics,https://www.durham.ac.uk/study/courses/business-school-courses/l100/
10007143,L101,Economics,https://www.durham.ac.uk/study/courses/l101/
10007143,L103,Economics with Management,https://www.durham.ac.uk/study/courses/business-school-courses/l103/
10007143,L200,Politics,https://www.durham.ac.uk/study/courses/l200/
10007143,L201,Politics,https://www.durham.ac.uk/study/courses/l201/
10007143,L250,International Relations,https://www.durham.ac.uk/study/courses/l250/
10007143,L253,Politics and International Relations,https://www.durham.ac.uk/study/courses/l253/
10007143,L300,Sociology,https://www.durham.ac.uk/study/courses/l300/
10007143,L301,Sociology,https://www.durham.ac.uk/study/courses/l301/
10007143,L370,Criminology,https://www.durham.ac.uk/study/courses/l370/
10007143,L372,Criminology,https://www.durham.ac.uk/study/courses/l372/
10007143,L601,Anthropology,https://www.durham.ac.uk/study/courses/l601/
10007143,L602,Anthropology,https://www.durham.ac.uk/study/courses/l602/
10007143,L603,Anthropology,https://www.durham.ac.uk/study/courses/l603/
10007143,L608,Anthropology,https://www.durham.ac.uk/study/courses/l608/
10007143,L691,Health & Human Sciences,https://www.durham.ac.uk/study/courses/l691/
10007143,L700,Geography,https://www.durham.ac.uk/study/courses/l700/
10007143,L702,Geography,https://www.durham.ac.uk/study/courses/l702/
10007143,LA00,Liberal Arts,https://www.durham.ac.uk/study/courses/la00/
10007143,LA01,Liberal Arts,https://www.durham.ac.uk/study/courses/la01/
10007143,LF64,Anthropology and Archaeology,https://www.durham.ac.uk/study/courses/lf64/
10007143,LL12,Economics and Politics,https://www.durham.ac.uk/study/courses/business-school-courses/ll12/
10007143,LL36,Anthropology and Sociology,https://www.durham.ac.uk/study/courses/ll36/
10007143,LMV0,Combined Social Sciences,https://www.durham.ac.uk/study/courses/lmv0/
10007143,LV00,Combined Social Sciences,https://www.durham.ac.uk/study/courses/lv00/
10007143,LV25,Philosophy and Politics,https://www.durham.ac.uk/study/courses/lv25/
10007143,M101,Law,https://www.durham.ac.uk/study/courses/m101/
10007143,M102,Law,https://www.durham.ac.uk/study/courses/m102/
10007143,N201,Business and Management,https://www.durham.ac.uk/study/courses/business-school-courses/n201/
10007143,N209,Accounting and Management,https://www.durham.ac.uk/study/courses/n209/
10007143,N305,Finance,https://www.durham.ac.uk/study/courses/business-school-courses/n305/
10007143,N308,Finance,https://www.durham.ac.uk/study/courses/n308/
10007143,N408,Accounting,https://www.durham.ac.uk/study/courses/business-school-courses/n408/
10007143,N509,Marketing and Management,https://www.durham.ac.uk/study/courses/business-school-courses/n509/
10007143,N512,Marketing & Management,https://www.durham.ac.uk/study/courses/n512/
10007143,NN21,Business and Management,https://www.durham.ac.uk/study/courses/nn21/
10007143,NN43,Accounting and Finance,https://www.durham.ac.uk/study/courses/business-school-courses/nn43/
10007143,NN4H,Accounting and Finance,https://www.durham.ac.uk/study/courses/nn4h/
10007143,Q300,English Literature,https://www.durham.ac.uk/study/courses/q300/
10007143,Q301,English,https://www.durham.ac.uk/study/courses/q301/
10007143,Q801,Classics,https://www.durham.ac.uk/study/courses/q801/
10007143,Q805,Classics,https://www.durham.ac.uk/study/courses/q805/
10007143,Q820,Classical Civilisation,https://www.durham.ac.uk/study/courses/q820/
10007143,QV21,English Literature and History,https://www.durham.ac.uk/study/courses/qv21/
10007143,QV35,English Literature and Philosophy,https://www.durham.ac.uk/study/courses/qv35/
10007143,R002,Modern Languages and Culture,https://www.durham.ac.uk/study/courses/r002/
10007143,RV91,Modern European Languages and History,https://www.durham.ac.uk/study/courses/rv92/
10007143,T102,Chinese Studies,https://www.durham.ac.uk/study/courses/t102/
10007143,T103,Chinese Studies,https://www.durham.ac.uk/study/courses/t103/
10007143,T202,Japanese Studies,https://www.durham.ac.uk/study/courses/t202/
10007143,V100,History,https://www.durham.ac.uk/study/courses/v100/
10007143,V101,"Ancient, Medieval and Modern History",https://www.durham.ac.uk/study/courses/v101/
10007143,V102,History,https://www.durham.ac.uk/study/courses/v102/
10007143,V110,Ancient History,https://www.durham.ac.uk/study/courses/v110/
