ukprn,university,kiscourseid,title,crseurl,foundation_year_available,placement_year,year_abroad,median_salary
10007157,University of Sheffield,2A47,Computer Systems Engineering,https://www.sheffield.ac.uk/undergraduate/courses/2025/computer-systems-engineering-industrial-placement-year-beng,No,Yes,No,34000
10007157,University of Sheffield,2G36,Mechatronic and Robotic Engineering,https://www.sheffield.ac.uk/undergraduate/courses/2025/mechatronic-and-robotic-engineering-industrial-placement-year-beng,No,Yes,No,31000
10007157,University of Sheffield,2G91,Architectural Engineering,https://www.sheffield.ac.uk/undergraduate/courses/2025/architectural-engineering-industrial-placement-year-meng,No,Yes,No,31000
10007157,University of Sheffield,2H26,Civil Engineering,https://www.sheffield.ac.uk/undergraduate/courses/2025/civil-engineering-industrial-placement-year-meng,No,Yes,No,31000
10007157,University of Sheffield,2S15,Mechatronic and Robotic Engineering,https://www.sheffield.ac.uk/undergraduate/courses/2025/mechatronic-and-robotic-engineering-industrial-placement-year-meng,No,Yes,No,31000
10007157,University of Sheffield,8L55,Civil and Structural Engineering,https://www.sheffield.ac.uk/undergraduate/courses/2025/civil-and-structural-engineering-industrial-placement-year-meng,No,Yes,No,31000
10007157,University of Sheffield,8T63,Civil Engineering,https://www.sheffield.ac.uk/undergraduate/courses/2025/civil-engineering-industrial-placement-year-beng,No,Yes,No,31000
10007157,University of Sheffield,A100,Medicine,https://www.sheffield.ac.uk/undergraduate/courses/2025/medicine-mbchb,No,Yes,Yes,35000
10007157,University of Sheffield,A200,Dental Surgery,https://www.sheffield.ac.uk/undergraduate/courses/2025/dental-surgery-bds,No,Yes,Yes,36000
10007157,University of Sheffield,B230,Pharmacy,https://www.sheffield.ac.uk/undergraduate/courses/2025/pharmacy-mpharm,No,Yes,Yes,27000
10007157,University of Sheffield,B231,Pharmacy,https://www.sheffield.ac.uk/education/lifelong-learning/courses/foundation/pharmacy-mpharm,Yes,No,Yes,27000
10007157,University of Sheffield,B520,Orthoptics,https://www.sheffield.ac.uk/undergraduate/courses/2025/orthoptics-bmedsci,No,Yes,Yes,27000
10007157,University of Sheffield,B521,Orthoptics,https://www.sheffield.ac.uk/dll/courses/foundation/orthoptics,Yes,No,Yes,27000
10007157,University of Sheffield,B621,Speech and Language Therapy,https://www.sheffield.ac.uk/undergraduate/courses/2025/speech-and-language-therapy-bmedsci,No,Yes,Yes,25000
10007157,University of Sheffield,B631,Speech and Language Therapy,https://www.sheffield.ac.uk/dll/courses/foundation/speech-and-language-therapy,Yes,No,Yes,25000
10007157,University of Sheffield,B740,Nursing (Adult),https://www.sheffield.ac.uk/undergraduate/courses/2025/nursing-adult-bmedsci,No,Yes,Yes,27000
10007157,University of Sheffield,B741,Nursing (Adult),https://www.sheffield.ac.uk/education/lifelong-learning/courses/foundation/nursing-adult-bmedsci,Yes,No,Yes,27000
10007157,University of Sheffield,B900,Biomedical Science,https://www.sheffield.ac.uk/undergraduate/courses/2025/biomedical-science-bsc,No,Yes,Yes,27000
10007157,University of Sheffield,B902,Biomedical Science,https://www.sheffield.ac.uk/undergraduate/courses/2025/biomedical-science-industrial-placement-year-bsc,No,Yes,No,27000
10007157,University of Sheffield,B905,Biomedical Science,https://www.sheffield.ac.uk/dll/courses/foundation/biomedical,Yes,No,Yes,27000
10007157,University of Sheffield,B909,Biomedical Science,https://www.sheffield.ac.uk/undergraduate/courses/2025/biomedical-science-mbiomedsci,No,Yes,Yes,27000
10007157,University of Sheffield,B911,Biomedical Science,https://www.sheffield.ac.uk/undergraduate/courses/2025/biomedical-science-industrial-placement-year-mbiomedsci,No,Yes,No,27000
10007157,University of Sheffield,C100,Biological Sciences,https://www.sheffield.ac.uk/undergraduate/courses/2025/biological-sciences-bsc,No,Yes,Yes,23000
10007157,University of Sheffield,C104,Biological Sciences,https://www.sheffield.ac.uk/undergraduate/courses/2025/biological-sciences-placement-year-mbiolsci,No,Yes,No,23000
10007157,University of Sheffield,C105,Biological Sciences,https://www.sheffield.ac.uk/undergraduate/courses/2025/biological-sciences-placement-year-bsc,No,Yes,No,23000
10007157,University of Sheffield,C109,Biological Sciences,https://www.sheffield.ac.uk/undergraduate/courses/2025/biological-sciences-mbiolsci,No,Yes,Yes,23000
10007157,University of Sheffield,C110,Biological Sciences,https://www.sheffield.ac.uk/dll/courses/foundation/biological-sciences,Yes,No,Yes,23000
10007157,University of Sheffield,C300,Zoology,https://www.sheffield.ac.uk/undergraduate/courses/2025/zoology-bsc,No,Yes,Yes,25000
10007157,University of Sheffield,C304,Zoology,https://www.sheffield.ac.uk/undergraduate/courses/2025/zoology-placement-year-mbiolsci,No,Yes,No,25000
10007157,University of Sheffield,C305,Zoology,https://www.sheffield.ac.uk/undergraduate/courses/2025/zoology-placement-year-bsc,No,Yes,No,25000
10007157,University of Sheffield,C309,Zoology,https://www.sheffield.ac.uk/undergraduate/courses/2025/zoology-mbiolsci,No,Yes,Yes,25000
10007157,University of Sheffield,C700,Biochemistry,https://www.sheffield.ac.uk/undergraduate/courses/2025/biochemistry-bsc,No,Yes,Yes,29000
10007157,University of Sheffield,C706,Biochemistry,https://www.sheffield.ac.uk/undergraduate/courses/2025/biochemistry-industrial-placement-year-bsc,No,Yes,No,29000
10007157,University of Sheffield,C708,Biochemistry,https://www.sheffield.ac.uk/undergraduate/courses/2025/biochemistry-industrial-placement-year-mbiolsci,No,Yes,No,29000
10007157,University of Sheffield,C709,Biochemistry,https://www.sheffield.ac.uk/undergraduate/courses/2025/biochemistry-mbiolsci,No,Yes,Yes,29000
10007157,University of Sheffield,C720,Chemistry with Biological and Medicinal Chemistry,https://www.sheffield.ac.uk/undergraduate/courses/2025/chemistry-biological-and-medicinal-chemistry-mchem,No,Yes,Yes,29000
10007157,University of Sheffield,C800,Psychology,https://www.sheffield.ac.uk/undergraduate/courses/2025/psychology-bsc,Yes,Yes,Yes,23000
10007157,University of Sheffield,C801,Psychology,https://www.sheffield.ac.uk/dll/courses/foundation/psychology,Yes,No,Yes,23000
10007157,University of Sheffield,C803,Psychology,https://www.sheffield.ac.uk/undergraduate/courses/2025/psychology-placement-year-bsc,No,Yes,No,23000
10007157,University of Sheffield,F100,Chemistry,https://www.sheffield.ac.uk/undergraduate/courses/2025/chemistry-bsc,No,Yes,Yes,29000
10007157,University of Sheffield,F105,Chemistry,https://www.sheffield.ac.uk/undergraduate/courses/2025/chemistry-mchem,No,Yes,Yes,29000
10007157,University of Sheffield,F106,Chemistry,https://www.sheffield.ac.uk/undergraduate/courses/2025/chemistry-industrial-placement-year-mchem,No,Yes,No,29000
10007157,University of Sheffield,F112,Chemistry with Biological and Medicinal Chemistry,https://www.sheffield.ac.uk/undergraduate/courses/2025/chemistry-biological-and-medicinal-chemistry-bsc,No,Yes,Yes,29000
10007157,University of Sheffield,F300,Physics,https://www.sheffield.ac.uk/undergraduate/courses/2025/physics-bsc,No,Yes,Yes,29000
10007157,University of Sheffield,F301,Physics,https://www.sheffield.ac.uk/undergraduate/courses/2025/physics-mphys,No,Yes,Yes,29000
10007157,University of Sheffield,F310,Physics,https://www.sheffield.ac.uk/undergraduate/courses/2025/physics-industrial-placement-year-bsc,No,Yes,No,29000
10007157,University of Sheffield,F321,Theoretical Physics,https://www.sheffield.ac.uk/undergraduate/courses/2025/theoretical-physics-mphys,No,Yes,Yes,29000
10007157,University of Sheffield,F344,Theoretical Physics,https://www.sheffield.ac.uk/undergraduate/courses/2025/theoretical-physics-bsc,No,Yes,Yes,29000
10007157,University of Sheffield,F3F5,Physics and Astrophysics,https://www.sheffield.ac.uk/undergraduate/courses/2025/physics-and-astrophysics-mphys,No,Yes,Yes,25500
10007157,University of Sheffield,F800,Geography,https://www.sheffield.ac.uk/undergraduate/courses/2025/geography-bsc,Yes,Yes,Yes,24000
10007157,University of Sheffield,F801,Geography,https://www.sheffield.ac.uk/dll/courses/foundation/geography,Yes,No,Yes,24000
10007157,University of Sheffield,F900,Environmental Science,https://www.sheffield.ac.uk/undergraduate/courses/2025/environmental-science-bsc,No,Yes,Yes,24000
10007157,University of Sheffield,F901,Environmental Science,https://www.sheffield.ac.uk/dll/courses/foundation/bsc-geography,Yes,No,Yes,24000
10007157,University of Sheffield,FF35,Physics and Astrophysics,https://www.sheffield.ac.uk/undergraduate/courses/2025/physics-and-astrophysics-bsc,No,Yes,Yes,25500
10007157,University of Sheffield,G100,Mathematics,https://www.sheffield.ac.uk/undergraduate/courses/2025/mathematics-bsc,No,Yes,Yes,31000
10007157,University of Sheffield,G103,Mathematics,https://www.sheffield.ac.uk/undergraduate/courses/2025/mathematics-mmath,No,Yes,Yes,31000
10007157,University of Sheffield,G110,Mathematics and Statistics,https://www.sheffield.ac.uk/undergraduate/courses/2025/mathematics-and-statistics-mmath,No,Yes,Yes,31000
10007157,University of Sheffield,G112,Mathematics and Statistics,https://www.sheffield.ac.uk/undergraduate/courses/2025/mathematics-and-statistics-bsc,No,Yes,Yes,31000
10007157,University of Sheffield,G400,Computer Science,https://www.sheffield.ac.uk/undergraduate/courses/2025/computer-science-mcomp,Yes,Yes,Yes,34000
10007157,University of Sheffield,G402,Computer Science,https://www.sheffield.ac.uk/undergraduate/courses/2025/computer-science-bsc,Yes,Yes,Yes,34000
10007157,University of Sheffield,G403,Computer Science,https://www.sheffield.ac.uk/undergraduate/courses/2025/computer-science-industrial-placement-year-bsc,No,Yes,No,34000
10007157,University of Sheffield,G404,Computer Science,https://www.sheffield.ac.uk/undergraduate/courses/2025/computer-science-industrial-placement-year-mcomp,No,Yes,No,34000
10007157,University of Sheffield,G600,Computer Science (Software Engineering),https://www.sheffield.ac.uk/undergraduate/courses/2025/computer-science-software-engineering-beng,No,Yes,Yes,35000
10007157,University of Sheffield,G604,Computer Science (Software Engineering),https://www.sheffield.ac.uk/undergraduate/courses/2025/computer-science-software-engineering-industrial-placement-year-beng,No,Yes,No,35000
10007157,University of Sheffield,G650,Computer Science (Software Engineering),https://www.sheffield.ac.uk/undergraduate/courses/2025/computer-science-software-engineering-meng,No,Yes,Yes,35000
