ukprn,university,kiscourseid,title,crseurl,provadd
10007158,University of Southampton,10,Chemistry with industrial experience or research placement abroad,https://www.southampton.ac.uk/courses/chemistry-with-external-placement-degree-mchem,"University Road, Southampton, SO17 1BJ"
10007158,University of Southampton,100,Economics,https://www.southampton.ac.uk/courses/economics-degree-bsc,"University Road, Southampton, SO17 1BJ"
10007158,University of Southampton,1002,Audiology with Foundation Year,https://www.southampton.ac.uk/courses/audiology-degree-msci,"University Road, Southampton, SO17 1BJ"
10007158,University of Southampton,1003,Chemical Engineering with Science Foundation Year,https://www.southampton.ac.uk/courses/chemical-engineering-degree-meng,"University Road, Southampton, SO17 1BJ"
10007158,University of Southampton,1004,Chemical Engineering with Science Foundation Year,https://www.southampton.ac.uk/courses/chemical-engineering-degree-beng,"University Road, Southampton, SO17 1BJ"
10007158,University of Southampton,1005,Chemical Engineering with Science Foundation Year and Industrial Placement Year,https://www.southampton.ac.uk/courses/chemical-engineering-degree-beng,"University Road, Southampton, SO17 1BJ"
10007158,University of Southampton,1006,Chemical Engineering with Science Foundation Year and Industrial Placement Year,https://www.southampton.ac.uk/courses/chemical-engineering-degree-meng,"University Road, Southampton, SO17 1BJ"
10007158,University of Southampton,1008,English Language and Literature,https://www.southampton.ac.uk/courses/english-language-literature-degree-ba,"University Road, Southampton, SO17 1BJ"
10007158,University of Southampton,101,Master of Economics,https://www.southampton.ac.uk/courses/economics-degree-mecon,"University Road, Southampton, SO17 1BJ"
10007158,University of Southampton,1011,Chemistry (Digital Methods and Computational Modelling),https://www.southampton.ac.uk/courses/chemistry-digital-methods-computational-modelling-degree-mchem,"University Road, Southampton, SO17 1BJ"
10007158,University of Southampton,1014,Chemical Engineering,https://www.southampton.ac.uk/courses/chemical-engineering-degree-beng,"University Road, Southampton, SO17 1BJ"
10007158,University of Southampton,1015,Chemical Engineering with Foundation Year,https://www.southampton.ac.uk/courses/chemical-engineering-degree-beng,"University Road, Southampton, SO17 1BJ"
10007158,University of Southampton,1016,Chemical Engineering with Foundation Year and Industrial Placement Year,https://www.southampton.ac.uk/courses/chemical-engineering-degree-beng,"University Road, Southampton, SO17 1BJ"
10007158,University of Southampton,1017,Chemical Engineering with Industrial Placement Year,https://www.southampton.ac.uk/courses/chemical-engineering-degree-beng,"University Road, Southampton, SO17 1BJ"
10007158,University of Southampton,1018,Chemical Engineering,https://www.southampton.ac.uk/courses/chemical-engineering-degree-meng,"University Road, Southampton, SO17 1BJ"
10007158,University of Southampton,1019,Chemical Engineering with Foundation Year,https://www.southampton.ac.uk/courses/chemical-engineering-degree-meng,"University Road, Southampton, SO17 1BJ"
10007158,University of Southampton,102,Economics and Business Management,https://www.southampton.ac.uk/courses/economics-business-management-degree-bsc,"University Road, Southampton, SO17 1BJ"
10007158,University of Southampton,1020,Chemical Engineering with Foundation Year and Industrial Placement Year,https://www.southampton.ac.uk/courses/chemical-engineering-degree-meng,"University Road, Southampton, SO17 1BJ"
10007158,University of Southampton,1021,Chemical Engineering with Industrial Placement Year,https://www.southampton.ac.uk/courses/chemical-engineering-degree-meng,"University Road, Southampton, SO17 1BJ"
10007158,University of Southampton,1022,Neuroscience,https://www.southampton.ac.uk/courses/neuroscience-degree-bsc,"University Road, Southampton, SO17 1BJ"
10007158,University of Southampton,1023,Chemistry (Digital Methods and Computational Modelling),https://www.southampton.ac.uk/courses/chemistry-digital-methods-computational-modelling-degree-bsc,"University Road, Southampton, SO17 1BJ"
10007158,University of Southampton,1025,Chemistry with Medicinal Sciences,https://www.southampton.ac.uk/courses/chemistry-with-medicinal-sciences-degree-bsc,"University Road, Southampton, SO17 1BJ"
10007158,University of Southampton,1026,Finance and Financial Technology,https://www.southampton.ac.uk/courses/finance-financial-technology-degree-bsc,"University Road, Southampton, SO17 1BJ"
10007158,University of Southampton,1027,Finance and Financial Technology with Placement Year,https://www.southampton.ac.uk/courses/finance-financial-technology-with-placement-year-degree-bsc,"University Road, Southampton, SO17 1BJ"
10007158,University of Southampton,1028,Finance and Financial Technology with Study Abroad Year,https://www.southampton.ac.uk/courses/finance-financial-technology-with-study-abroad-year-degree-bsc,"University Road, Southampton, SO17 1BJ"
10007158,University of Southampton,1029,Accounting and Finance with Study Abroad,https://www.southampton.ac.uk/courses/accounting-finance-with-study-abroad-year-degree-bsc,"University Road, Southampton, SO17 1BJ"
10007158,University of Southampton,103,Economics and Actuarial Science,https://www.southampton.ac.uk/courses/economics-actuarial-science-degree-bsc,"University Road, Southampton, SO17 1BJ"
10007158,University of Southampton,1030,Business Analytics with Study Abroad Year,https://www.southampton.ac.uk/courses/business-analytics-with-study-abroad-year-degree-bsc,"University Road, Southampton, SO17 1BJ"
10007158,University of Southampton,1031,Business Entrepreneurship with Study Abroad Year,https://www.southampton.ac.uk/courses/business-entrepreneurship-with-study-abroad-year-degree-bsc,"University Road, Southampton, SO17 1BJ"
10007158,University of Southampton,1032,Business Management with Study Abroad Year,https://www.southampton.ac.uk/courses/business-management-with-study-abroad-year-degree-bsc,"University Road, Southampton, SO17 1BJ"
10007158,University of Southampton,1033,Marketing with Study Abroad Year,https://www.southampton.ac.uk/courses/marketing-with-study-abroad-year-degree-bsc,"University Road, Southampton, SO17 1BJ"
10007158,University of Southampton,104,Economics and Finance,https://www.southampton.ac.uk/courses/economics-finance-degree-bsc,"University Road, Southampton, SO17 1BJ"
10007158,University of Southampton,105,Politics,https://www.southampton.ac.uk/courses/politics-degree-bsc,"University Road, Southampton, SO17 1BJ"
10007158,University of Southampton,106,International Relations,https://www.southampton.ac.uk/courses/international-relations-degree-bsc,"University Road, Southampton, SO17 1BJ"
10007158,University of Southampton,107,Politics and International Relations,https://www.southampton.ac.uk/courses/politics-international-relations-degree-bsc,"University Road, Southampton, SO17 1BJ"
10007158,University of Southampton,108,Sociology,https://www.southampton.ac.uk/courses/sociology-degree-bsc,"University Road, Southampton, SO17 1BJ"
10007158,University of Southampton,1080,Modern Languages (One Language),https://www.southampton.ac.uk/courses/one-modern-language-french-german-spanish-degree-ba,"University Road, Southampton, SO17 1BJ"
10007158,University of Southampton,1081,Modern Languages (Two Languages),https://www.southampton.ac.uk/courses/two-modern-languages-french-german-spanish-portuguese-degree-ba,"University Road, Southampton, SO17 1BJ"
10007158,University of Southampton,1082,Modern Languages (Three Languages),https://www.southampton.ac.uk/courses/three-modern-languages-degree-ba,"University Road, Southampton, SO17 1BJ"
10007158,University of Southampton,1083,Modern Languages (One Language) - Masters in Languages,https://www.southampton.ac.uk/courses/one-modern-language-french-german-spanish-degree-mlang,"University Road, Southampton, SO17 1BJ"
10007158,University of Southampton,1084,Modern Languages (Two Languages) - Masters in Languages,https://www.southampton.ac.uk/courses/two-languages-french-german-spanish-degree-mlang,"University Road, Southampton, SO17 1BJ"
10007158,University of Southampton,1085,"Language, Culture and Communication",https://www.southampton.ac.uk/courses/language-culture-communication-degree-ba,"University Road, Southampton, SO17 1BJ"
10007158,University of Southampton,1087,Pharmacology and Drug Discovery,https://www.southampton.ac.uk/courses/pharmacology-drug-discovery-degree-msci,"University Road, Southampton, SO17 1BJ"
10007158,University of Southampton,1088,Human Geography,https://www.southampton.ac.uk/courses/human-geography-degree-ba,"University Road, Southampton, SO17 1BJ"
10007158,University of Southampton,1089,Physical Geography,https://www.southampton.ac.uk/courses/physical-geography-degree-bsc,"University Road, Southampton, SO17 1BJ"
10007158,University of Southampton,1091,"Film, TV and Digital Media",https://www.southampton.ac.uk/courses/film-tv-digital-media-degree-ba,"University Road, Southampton, SO17 1BJ"
10007158,University of Southampton,1092,"Film, TV and Digital Media with Year Abroad",https://www.southampton.ac.uk/courses/film-tv-digital-media-degree-ba,"University Road, Southampton, SO17 1BJ"
10007158,University of Southampton,1093,Creative Computing,https://www.southampton.ac.uk/courses/creative-computing-degree-bsc,"University Road, Southampton, SO17 1BJ"
10007158,University of Southampton,1094,Graphic Communication,https://www.southampton.ac.uk/courses/graphic-communication-degree-ba,"University Road, Southampton, SO17 1BJ"
10007158,University of Southampton,1095,Biomedical Engineering,https://www.southampton.ac.uk/courses/biomedical-engineering-degree-beng,"University Road, Southampton, SO17 1BJ"
