kiscourseid,url,degree_type,degree_title,a_level_grade_req,a_level_subject_reqs,ib_grade_req,ib_subject_req
UAHFACFTACF,http://www.st-andrews.ac.uk/subjects/arabic/arabic-ma/,MA,Arabic,AAA,AAA,36,"36 (HL 6,6,5)"
UAHFACGTACG,http://www.st-andrews.ac.uk/subjects/arabic/arabic-ma/,MA,Arabic,AAA,AAA,36,"36 (HL 6,6,5)"
UAHFACITACI,http://www.st-andrews.ac.uk/subjects/arabic/arabic-ma/,MA,Arabic,AAA,AAA,36,"36 (HL 6,6,5)"
UAHFACRTACR,http://www.st-andrews.ac.uk/subjects/arabic/arabic-ma/,MA,Arabic,AAA,AAA,36,"36 (HL 6,6,5)"
UAHFACSTACS,http://www.st-andrews.ac.uk/subjects/arabic/arabic-ma/,MA,Arabic,AAA,AAA,36,"36 (HL 6,6,5)"
UAHFAFATAFA,http://www.st-andrews.ac.uk/subjects/arabic/arabic-ma/,MA,Arabic,AAA,AAA,36,"36 (HL 6,6,5)"
UAHFAFCTAFC,http://www.st-andrews.ac.uk/subjects/arabic/arabic-ma/,MA,Arabic,AAA,AAA,36,"36 (HL 6,6,5)"
UAHFAFETAFE,http://www.st-andrews.ac.uk/subjects/arabic/arabic-ma/,MA,Arabic,AAA,AAA,36,"36 (HL 6,6,5)"
UAHFAFITAFI,http://www.st-andrews.ac.uk/subjects/arabic/arabic-ma/,MA,Arabic,AAA,AAA,36,"36 (HL 6,6,5)"
UAHFAFLTAFL,http://www.st-andrews.ac.uk/subjects/arabic/arabic-ma/,MA,Arabic,AAA,AAA,36,"36 (HL 6,6,5)"
UAHFAFMTAFM,http://www.st-andrews.ac.uk/subjects/arabic/arabic-ma/,MA,Arabic,AAA,AAA,36,"36 (HL 6,6,5)"
UAHFAFNTAFN,http://www.st-andrews.ac.uk/subjects/arabic/arabic-ma/,MA,Arabic,AAA,AAA,36,"36 (HL 6,6,5)"
UAHFAFPTAFP,http://www.st-andrews.ac.uk/subjects/arabic/arabic-ma/,MA,Arabic,AAA,AAA,36,"36 (HL 6,6,5)"
UAHFAFRTAFR,http://www.st-andrews.ac.uk/subjects/arabic/arabic-ma/,MA,Arabic,AAA,AAA,36,"36 (HL 6,6,5)"
UAHFAFSTAFS,http://www.st-andrews.ac.uk/subjects/arabic/arabic-ma/,MA,Arabic,AAA,AAA,36,"36 (HL 6,6,5)"
UAHFAGATAGA,http://www.st-andrews.ac.uk/subjects/arabic/arabic-ma/,MA,Arabic,AAA,AAA,36,"36 (HL 6,6,5)"
UAHFAGETAGE,http://www.st-andrews.ac.uk/subjects/arabic/arabic-ma/,MA,Arabic,AAA,AAA,36,"36 (HL 6,6,5)"
UAHFAGITAGI,http://www.st-andrews.ac.uk/subjects/arabic/arabic-ma/,MA,Arabic,AAA,AAA,36,"36 (HL 6,6,5)"
UAHFAGMTAGM,http://www.st-andrews.ac.uk/subjects/arabic/arabic-ma/,MA,Arabic,AAA,AAA,36,"36 (HL 6,6,5)"
UAHFAGNTAGN,http://www.st-andrews.ac.uk/subjects/arabic/arabic-ma/,MA,Arabic,AAA,AAA,36,"36 (HL 6,6,5)"
UAHFAGPTAGP,http://www.st-andrews.ac.uk/subjects/arabic/arabic-ma/,MA,Arabic,AAA,AAA,36,"36 (HL 6,6,5)"
UAHFAGRTAGR,http://www.st-andrews.ac.uk/subjects/arabic/arabic-ma/,MA,Arabic,AAA,AAA,36,"36 (HL 6,6,5)"
UAHFAGSTAGS,http://www.st-andrews.ac.uk/subjects/arabic/arabic-ma/,MA,Arabic,AAA,AAA,36,"36 (HL 6,6,5)"
UAHFAHAJSAN,http://www.st-andrews.ac.uk/subjects/ancient-history/ancient-history-ma/,MA,Ancient History,AAA,AAA,36,"36 (HL 6,6,5)"
UAHFAHASAHA,http://www.st-andrews.ac.uk/subjects/ancient-history/ancient-history-ma/,MA,Ancient History,AAA,AAA,36,"36 (HL 6,6,5)"
UAHFAHIJBLS,http://www.st-andrews.ac.uk/subjects/art-history/art-history-ma/,MA,Art History,AAA,AAA,36,"36 (HL 6,6,5)"
UAHFAHIJCHN,https://www.st-andrews.ac.uk/subjects/chinese-studies/chinese-studies-ma/,MA,Chinese Studies,AAA,AAA,36,"36 (HL 6,6,5)"
UAHFAHIJCLI,http://www.st-andrews.ac.uk/subjects/art-history/art-history-ma/,MA,Art History,AAA,AAA,36,"36 (HL 6,6,5)"
UAHFAHIJCSS,http://www.st-andrews.ac.uk/subjects/art-history/art-history-ma/,MA,Art History,AAA,AAA,36,"36 (HL 6,6,5)"
UAHFAHIJENG,http://www.st-andrews.ac.uk/subjects/art-history/art-history-ma/,MA,Art History,AAA,AAA,36,"36 (HL 6,6,5)"
UAHFAHIJFLS,http://www.st-andrews.ac.uk/subjects/art-history/art-history-ma/,MA,Art History,AAA,AAA,36,"36 (HL 6,6,5)"
UAHFAHIJFRN,http://www.st-andrews.ac.uk/subjects/art-history/art-history-ma/,MA,Art History,AAA,AAA,36,"36 (HL 6,6,5)"
UAHFAHIJGGY,http://www.st-andrews.ac.uk/subjects/art-history/art-history-ma/,MA,Art History,AAA,AAA,36,"36 (HL 6,6,5)"
UAHFAHIJGRK,http://www.st-andrews.ac.uk/subjects/art-history/art-history-ma/,MA,Art History,AAA,AAA,36,"36 (HL 6,6,5)"
UAHFAHIJGRN,http://www.st-andrews.ac.uk/subjects/art-history/art-history-ma/,MA,Art History,AAA,AAA,36,"36 (HL 6,6,5)"
UAHFAHIJHEB,http://www.st-andrews.ac.uk/subjects/art-history/art-history-ma/,MA,Art History,AAA,AAA,36,"36 (HL 6,6,5)"
UAHFAHIJIRL,http://www.st-andrews.ac.uk/subjects/art-history/art-history-ma/,MA,Art History,AAA,AAA,36,"36 (HL 6,6,5)"
UAHFAHIJITN,http://www.st-andrews.ac.uk/subjects/art-history/art-history-ma/,MA,Art History,AAA,AAA,36,"36 (HL 6,6,5)"
UAHFAHIJMEH,http://www.st-andrews.ac.uk/subjects/art-history/art-history-ma/,MA,Art History,AAA,AAA,36,"36 (HL 6,6,5)"
UAHFAHIJMES,http://www.st-andrews.ac.uk/subjects/art-history/art-history-ma/,MA,Art History,AAA,AAA,36,"36 (HL 6,6,5)"
UAHFAHIJMGT,http://www.st-andrews.ac.uk/subjects/art-history/art-history-ma/,MA,Art History,AAA,AAA,36,"36 (HL 6,6,5)"
UAHFAHIJMHI,http://www.st-andrews.ac.uk/subjects/art-history/art-history-ma/,MA,Art History,AAA,AAA,36,"36 (HL 6,6,5)"
UAHFAHIJMTH,http://www.st-andrews.ac.uk/subjects/art-history/art-history-ma/,MA,Art History,AAA,AAA,36,"36 (HL 6,6,5)"
UAHFAHIJPHI,http://www.st-andrews.ac.uk/subjects/art-history/art-history-ma/,MA,Art History,AAA,AAA,36,"36 (HL 6,6,5)"
UAHFAHIJPSY,http://www.st-andrews.ac.uk/subjects/art-history/art-history-ma/,MA,Art History,AAA,AAA,36,"36 (HL 6,6,5)"
UAHFAHIJRSN,http://www.st-andrews.ac.uk/subjects/art-history/art-history-ma/,MA,Art History,AAA,AAA,36,"36 (HL 6,6,5)"
UAHFAHIJSAN,http://www.st-andrews.ac.uk/subjects/art-history/art-history-ma/,MA,Art History,AAA,AAA,36,"36 (HL 6,6,5)"
UAHFAHIJSPN,http://www.st-andrews.ac.uk/subjects/art-history/art-history-ma/,MA,Art History,AAA,AAA,36,"36 (HL 6,6,5)"
UAHFAHIJSUD,http://www.st-andrews.ac.uk/subjects/art-history/art-history-ma/,MA,Art History,AAA,AAA,36,"36 (HL 6,6,5)"
UAHFAHISAHI,http://www.st-andrews.ac.uk/subjects/art-history/art-history-ma/,MA,Art History,AAA,AAA,36,"36 (HL 6,6,5)"
UAHFAHIWBAC,https://www.st-andrews.ac.uk/subjects/divinity/bible-and-culture-ma/,MA,Bible and Culture,AAA,AAA,26,
UAHFAIATAIA,http://www.st-andrews.ac.uk/subjects/arabic/arabic-ma/,MA,Arabic,AAA,AAA,36,"36 (HL 6,6,5)"
UAHFAICTAIC,http://www.st-andrews.ac.uk/subjects/arabic/arabic-ma/,MA,Arabic,AAA,AAA,36,"36 (HL 6,6,5)"
UAHFAIETAIE,http://www.st-andrews.ac.uk/subjects/arabic/arabic-ma/,MA,Arabic,AAA,AAA,36,"36 (HL 6,6,5)"
UAHFAIITAII,http://www.st-andrews.ac.uk/subjects/arabic/arabic-ma/,MA,Arabic,AAA,AAA,36,"36 (HL 6,6,5)"
UAHFAILTAIL,http://www.st-andrews.ac.uk/subjects/arabic/arabic-ma/,MA,Arabic,AAA,AAA,36,"36 (HL 6,6,5)"
UAHFAIMTAIM,http://www.st-andrews.ac.uk/subjects/arabic/arabic-ma/,MA,Arabic,AAA,AAA,36,"36 (HL 6,6,5)"
UAHFAIPTAIP,http://www.st-andrews.ac.uk/subjects/arabic/arabic-ma/,MA,Arabic,AAA,AAA,36,"36 (HL 6,6,5)"
UAHFAIRTAIR,http://www.st-andrews.ac.uk/subjects/arabic/arabic-ma/,MA,Arabic,AAA,AAA,36,"36 (HL 6,6,5)"
UAHFAISTAIS,http://www.st-andrews.ac.uk/subjects/arabic/arabic-ma/,MA,Arabic,AAA,AAA,36,"36 (HL 6,6,5)"
UAHFANHJAHI,http://www.st-andrews.ac.uk/subjects/ancient-history/ancient-history-ma/,MA,Ancient History,AAA,AAA,36,"36 (HL 6,6,5)"
UAHFANHJBLS,http://www.st-andrews.ac.uk/subjects/ancient-history/ancient-history-ma/,MA,Ancient History,AAA,AAA,36,"36 (HL 6,6,5)"
UAHFANHJCLI,http://www.st-andrews.ac.uk/subjects/ancient-history/ancient-history-ma/,MA,Ancient History,AAA,AAA,36,"36 (HL 6,6,5)"
UAHFANHJECN,http://www.st-andrews.ac.uk/subjects/ancient-history/ancient-history-ma/,MA,Ancient History,AAA,AAA,36,"36 (HL 6,6,5)"
UAHFANHJENG,http://www.st-andrews.ac.uk/subjects/ancient-history/ancient-history-ma/,MA,Ancient History,AAA,AAA,36,"36 (HL 6,6,5)"
UAHFANHJFLS,http://www.st-andrews.ac.uk/subjects/ancient-history/ancient-history-ma/,MA,Ancient History,AAA,AAA,36,"36 (HL 6,6,5)"
UAHFANHJFRN,http://www.st-andrews.ac.uk/subjects/ancient-history/ancient-history-ma/,MA,Ancient History,AAA,AAA,36,"36 (HL 6,6,5)"
UAHFANHJGRK,http://www.st-andrews.ac.uk/subjects/ancient-history/ancient-history-ma/,MA,Ancient History,AAA,AAA,36,"36 (HL 6,6,5)"
UAHFANHJGRN,http://www.st-andrews.ac.uk/subjects/ancient-history/ancient-history-ma/,MA,Ancient History,AAA,AAA,36,"36 (HL 6,6,5)"
UAHFANHJIRL,http://www.st-andrews.ac.uk/subjects/ancient-history/ancient-history-ma/,MA,Ancient History,AAA,AAA,36,"36 (HL 6,6,5)"
UAHFANHJITN,http://www.st-andrews.ac.uk/subjects/ancient-history/ancient-history-ma/,MA,Ancient History,AAA,AAA,36,"36 (HL 6,6,5)"
UAHFANHJLTN,http://www.st-andrews.ac.uk/subjects/ancient-history/ancient-history-ma/,MA,Ancient History,AAA,AAA,36,"36 (HL 6,6,5)"
UAHFANHJMEH,http://www.st-andrews.ac.uk/subjects/ancient-history/ancient-history-ma/,MA,Ancient History,AAA,AAA,36,"36 (HL 6,6,5)"
UAHFANHJMTH,http://www.st-andrews.ac.uk/subjects/ancient-history/ancient-history-ma/,MA,Ancient History,AAA,AAA,36,"36 (HL 6,6,5)"
UAHFANHJPHI,http://www.st-andrews.ac.uk/subjects/ancient-history/ancient-history-ma/,MA,Ancient History,AAA,AAA,36,"36 (HL 6,6,5)"
UAHFANHJPRS,http://www.st-andrews.ac.uk/subjects/ancient-history/ancient-history-ma/,MA,Ancient History,AAA,AAA,36,"36 (HL 6,6,5)"
UAHFANHJSAN,http://www.st-andrews.ac.uk/subjects/ancient-history/ancient-history-ma/,MA,Ancient History,AAA,AAA,36,"36 (HL 6,6,5)"
UAHFANHJSPN,http://www.st-andrews.ac.uk/subjects/ancient-history/ancient-history-ma/,MA,Ancient History,AAA,AAA,36,"36 (HL 6,6,5)"
UAHFANHSANH,http://www.st-andrews.ac.uk/subjects/ancient-history/ancient-history-ma/,MA,Ancient History,AAA,AAA,36,"36 (HL 6,6,5)"
UAHFAPATAPA,http://www.st-andrews.ac.uk/subjects/arabic/arabic-ma/,MA,Arabic,AAA,AAA,36,"36 (HL 6,6,5)"
UAHFAPCTAPC,http://www.st-andrews.ac.uk/subjects/arabic/arabic-ma/,MA,Arabic,AAA,AAA,36,"36 (HL 6,6,5)"
UAHFAPETAPE,http://www.st-andrews.ac.uk/subjects/arabic/arabic-ma/,MA,Arabic,AAA,AAA,36,"36 (HL 6,6,5)"
UAHFAPLTAPL,http://www.st-andrews.ac.uk/subjects/arabic/arabic-ma/,MA,Arabic,AAA,AAA,36,"36 (HL 6,6,5)"
UAHFAPMTAPM,http://www.st-andrews.ac.uk/subjects/arabic/arabic-ma/,MA,Arabic,AAA,AAA,36,"36 (HL 6,6,5)"
UAHFAPNTAPN,http://www.st-andrews.ac.uk/subjects/arabic/arabic-ma/,MA,Arabic,AAA,AAA,36,"36 (HL 6,6,5)"
UAHFAPRTAPR,http://www.st-andrews.ac.uk/subjects/arabic/arabic-ma/,MA,Arabic,AAA,AAA,36,"36 (HL 6,6,5)"
UAHFAPSTAPS,http://www.st-andrews.ac.uk/subjects/arabic/arabic-ma/,MA,Arabic,AAA,AAA,36,"36 (HL 6,6,5)"
UAHFAPZTAPZ,http://www.st-andrews.ac.uk/subjects/arabic/arabic-ma/,MA,Arabic,AAA,AAA,36,"36 (HL 6,6,5)"
UAHFARBJAHI,http://www.st-andrews.ac.uk/subjects/arabic/arabic-ma/,MA,Arabic,AAA,AAA,36,"36 (HL 6,6,5)"
UAHFARBJBLS,http://www.st-andrews.ac.uk/subjects/arabic/arabic-ma/,MA,Arabic,AAA,AAA,36,"36 (HL 6,6,5)"
UAHFARBJCHN,https://www.st-andrews.ac.uk/subjects/chinese-studies/chinese-studies-ma/,MA,Chinese Studies,AAA,AAA,36,"36 (HL 6,6,5)"
UAHFARBJCLI,http://www.st-andrews.ac.uk/subjects/arabic/arabic-ma/,MA,Arabic,AAA,AAA,36,"36 (HL 6,6,5)"
UAHFARBJCLS,http://www.st-andrews.ac.uk/subjects/arabic/arabic-ma/,MA,Arabic,AAA,AAA,36,"36 (HL 6,6,5)"
UAHFARBJECN,http://www.st-andrews.ac.uk/subjects/arabic/arabic-ma/,MA,Arabic,AAA,AAA,36,"36 (HL 6,6,5)"
UAHFARBJENG,http://www.st-andrews.ac.uk/subjects/arabic/arabic-ma/,MA,Arabic,AAA,AAA,36,"36 (HL 6,6,5)"
UAHFARBJFLS,http://www.st-andrews.ac.uk/subjects/arabic/arabic-ma/,MA,Arabic,AAA,AAA,36,"36 (HL 6,6,5)"
UAHFARBJFRN,http://www.st-andrews.ac.uk/subjects/arabic/arabic-ma/,MA,Arabic,AAA,AAA,36,"36 (HL 6,6,5)"
UAHFARBJGGY,http://www.st-andrews.ac.uk/subjects/arabic/arabic-ma/,MA,Arabic,AAA,AAA,36,"36 (HL 6,6,5)"
UAHFARBJGRN,http://www.st-andrews.ac.uk/subjects/arabic/arabic-ma/,MA,Arabic,AAA,AAA,36,"36 (HL 6,6,5)"
UAHFARBJHEB,http://www.st-andrews.ac.uk/subjects/arabic/arabic-ma/,MA,Arabic,AAA,AAA,36,"36 (HL 6,6,5)"
UAHFARBJIRL,http://www.st-andrews.ac.uk/subjects/arabic/arabic-ma/,MA,Arabic,AAA,AAA,36,"36 (HL 6,6,5)"
UAHFARBJITN,http://www.st-andrews.ac.uk/subjects/arabic/arabic-ma/,MA,Arabic,AAA,AAA,36,"36 (HL 6,6,5)"
UAHFARBJLTN,http://www.st-andrews.ac.uk/subjects/arabic/arabic-ma/,MA,Arabic,AAA,AAA,36,"36 (HL 6,6,5)"
