Subject Name,tag1,tag2,tag3,tag4,tag5,tag6
Anthropology,Anthropology,Anthropological,History,,,
Applied Medical Sciences,Medicine,Medical Science,Biology,,,
Archaeology,Archeology,History,,,,
Architectural and Interdisciplinary Studies,Archeology,History,,,,
Architecture,Architecture,Sustainable,Sustainability,Planning,,
Astrophysics,Physics,Aeronautical,Math,,,
Audiology,Medicine,,,,,
Biochemistry,Biology,Chemistry,Biomedical,,,
Biological Sciences,Biology,Biomedical,Biochemical,Biochemistry,,
Biomedical Sciences,Biology,Chemistry,Biochemical,Biochemistry,Biomedical,
Bioprocessing of New Medicines (Business and Management),Management,Business,Medicine,Biology,Biomedical,
Business and Health,Business,Medicine,Management,,,
Cancer Biomedicine,Biology,Chemistry,Biochemical,Biochemistry,Biomedical,
Chemistry,Chemistry,Biochemistry,,,,
Chemistry with Management Studies,Chemistry,Biochemistry,Management,,,
Chemistry with Mathematics,Chemistry,Biochemistry,Math,Mathematical,Maths,
Computer Science,Computer Science,Computational,Mathematical,Computing,Robotics,Artificial Intelligence
Crime and Security Science,Computer Science,Computational,Computing,Robotics,Criminology,
Data Science,Data Science,Statistics,,,,
Earth Sciences,Geology,Chemistry,Biology,Geography,,
Environmental Geoscience,Geology,Geophysics,Geoscience,,,
Experimental Linguistics,Linguistics,,,,,
Experimental Linguistics (International Programme),Linguistics,,,,,
Geography and Economics,Geology,Economics,,,,
Geography,Geography,,,,,
Geography (International Programme),Geography,,,,,
Geology,Geoscience,Geology,Geophysics,,,
Geophysics,Geoscience,Geology,,,,
Global Humanitarian Studies,Sociology,Management,,,,
History and Philosophy of Science,History,Philosophy,,,,
Human Neuroscience,Biology,Medicine,Psychology,,,
Human Sciences,Medicine,Biology,,,,
Infection and Immunity,Medicine,,,,,
Information Management for Business,Management,Computing,Data Science,,,
Information in Society,Sociology,,,,,
Management Science,Management,,,,,
Mathematics and Physics,Math,Mathematical,Maths,Physics,,
Mathematics and Statistical Science,Math,Mathematical,Maths,Statistics,,
Mathematics,Math,Mathematical,Maths,,,
Mathematics with Economics,Math,Mathematical,Maths,Economics,Finance,
Mathematics with Management Studies,Math,Mathematical,Maths,Management,Finance,
Mathematics with Mathematical Physics,Math,Mathematical,Maths,Physics,,
Mathematics with Modern Languages,Math,Mathematical,Maths,Linguistics,,
Medical Innovation and Enterprise,Medicine,Management,,,,
Natural Sciences,Physics,Biology,Chemistry,,,
Neuroscience,Biology,Medicine,Psychology,,,
Nutrition and Medical Sciences,Medicine,,,,,
Pharmacology,Medicine,Pharmacology,,,,
"Philosophy, Politics and Economics",Philosophy,Politics,Economics,Finance,,
Physics,Physics,,,,,
Physics with Medical Physics,Physics,Medicine,,,,
Politics and International Relations,Politics,,,,,
Population Health Sciences,Medicine,Sociology,,,,
Psychology and Language Sciences,Psychology,,,,,
Psychology,Psychology,,,,,
Psychology with Education,Psychology,Education,,,,
Science and Engineering for Social Change,Engineering,Sociology,,,,
Social Sciences,Sociology,Economics,Politics,,,
Social Sciences with Data Science,Sociology,Economics,Politics,Data Science,Statistics,
Sociology and Politics of Science,Sociology,,,,,
Sociology,Sociology,,,,,
Sport and Exercise Medical Sciences,Medicine,,,,,
Statistics and Management for Business,Statistics,Management,,,,
Statistics,Statistics,,,,,
"Statistics, Economics and Finance",Statistics,Economics,Finance,,,
"Statistics, Economics and a Language",Statistics,Economics,,,,
"Sustainable Built Environments, Energy and Resources",Sustainability,,,,,
Theoretical Physics,Math,Mathematical,Maths,Physics,,
Urban Planning and Real Estate,Urban,Planning,,,,
"Urban Planning, Design and Management",Urban,Management,Planning,,,
Urban Studies,Urban,Sociology,,,,
Biochemical Engineering,Engineering,Biochemistry,,,,
Biomedical Engineering,Engineering,Biomedical,,,,
Chemical Engineering,Engineering,Chemistry,,,,
Civil Engineering,Engineering,,,,,
Electronic and Electrical Engineering,Engineering,Computing,,,,
Mechanical Engineering,Engineering,,,,,
Robotics and Artificial Intelligence,Computing,Robotics,Artificial Intelligence,,,
Ancient History,Classics,History,,,,
Ancient Languages,Linguistics,Classics,,,,
Archaeology and Anthropology,Archaeology,Anthropology,,,,
Archaeology,Archaeology,,,,,
Art and Technology,Art,,,,,
Classical Archaeology and Classical Civilisation,Classics,Archaeology,,,,
Classics and the Ancient World,Classics,,,,,
Classics and the Ancient World with Study Abroad,Classics,,,,,
Communications,Management,,,,,
Comparative Literature,Linguistics,English,,,,
Creative Arts and Humanities,Art,,,,,
Early Childhood Education,Education,,,,,
Economics and Business with East European Studies,Economics,Management,Sociology,,,
