courseurl,a_level_standard_grades,a_level_standard_subjects,a_level_contextual_grades,a_level_contextual_subjects,ib_standard_grades,ib_standard_subjects,ib_contextual_grades,ib_contextual_subejcts,course_overview,compulsory_modules,compulsory_module_urls,optional_modules,optional_modules_urls,scholarship_url
https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/ancient-history-ba,AAA,"History, Ancient History or Classical Civilisation required.",ABB,"A in History, Ancient History or Classical Civilisation required.",38,"A total of 18 points in three higher level subjects including grade 6 in History, with no higher level score below 5.",34,"A total of 16 points in three higher level subjects including grade 6 in History, with no higher level score below 5.","The Department offers modules that span over 5,000 years of history, with specialisms in the history of the ancient Middle East and the Mediterranean, the Americas, Europe's cultural and intellectual history, and imperial and transnational history. UCL's exceptional strength and formidable range of expertise in ancient history, ranging from ancient warfare to religion, epigraphy and law,  means you have great scope for choice. Our renowned academics bring their research expertise into their teaching, so you benefit from a dynamic curriculum informed by cutting-edge historical research. In the 2021 Research Excellence Framework assessment, our research was ranked first in London and fourth in the UK. You benefit from small class sizes and receive detailed assignment feedback in one-to-one tutorials. This degree provides excellent preparation for many diverse careers. You build a portfolio of desirable, transferable skills and have access to a dedicated careers support programme, industry connections and an alum network. You may also apply to study abroad in your third year, but only if you have taken the 'Approaching History' module in Year 1.",Writing Ancient History | Making History,https://www.ucl.ac.uk/module-catalogue/modules/writing-ancient-history-HIST0785 | https://www.ucl.ac.uk/module-catalogue/modules/making-history-HIST0008,"The Roman Republic, c.350 BC - 44 BC | Bronze Age States in the Ancient Middle East",https://www.ucl.ac.uk/module-catalogue/modules/the-roman-republic-c350-bc--44-bc-HIST0156 | https://www.ucl.ac.uk/module-catalogue/modules/bronze-age-states-in-the-ancient-middle-east-HIST0164,
https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/ancient-languages-ba,ABB,"An ancient or modern language at grade A, unless an ancient and a modern language are offered at GCSE at grade C or above.",BCC,"An ancient or modern language at grade B, unless an ancient and a modern language are offered at GCSE at grade C or above.",34,"A total of 16 points in three higher level subjects, with no higher level score below 5, to include an ancient or modern language at grade 6 unless an ancient and a modern language are offered at GCSE at grade C or above.",30,"A total of 15 points in three higher level subjects, with no higher level score below 5, to include an ancient or modern language at grade 6 unless an ancient and a modern language are offered at GCSE at grade C or above.","The Ancient Languages BA provides students with an unrivalled opportunity to develop advanced knowledge of the ancient languages and cultures of the Near East and Europe. Undertaking this degree will unlock the key to a rich and varied range of past civilisations and to engage with them in their original languages, which include Hebrew, Greek, Latin, Akkadian, Sumerian, Ugaritic, Aramaic, Syriac, and Egyptian. At a global top ten university for the arts and humanities (Times Higher Education World University Rankings 2025 by subject), our programme is unique in the UK. It combines concentrated study of Greco-Roman and Semitic philology, in addition to other ancient Indo-European and Afroasiatic languages, and provides students with an unparalleled insight into the key linguistic and textual traditions of the ancient world. Based within UCL Hebrew & Jewish Studies and UCL Greek & Latin, departments with world-renowned reputations, you will also have access to the teaching facilities and expertise available university-wide, including in archaeology, ancient history and linguistics. You will enjoy access to a remarkable collection of ancient language resources in the UCL and SOAS Libraries, as well as to the special collections in the British Library and British Museum.",Introduction to the Study of Language | Introduction to Biblical Hebrew,https://www.ucl.ac.uk/module-catalogue/modules/introduction-to-the-study-of-language-CLAS0009 | https://www.ucl.ac.uk/module-catalogue/modules/introduction-to-biblical-hebrew-HEBR0002,Greek for Beginners A | Greek for Beginners B | Latin for Beginners B | Latin for Beginners A,https://www.ucl.ac.uk/module-catalogue/modules/greek-for-beginners-a-GREK0002 | https://www.ucl.ac.uk/module-catalogue/modules/greek-for-beginners-b-GREK0039 | https://www.ucl.ac.uk/module-catalogue/modules/latin-for-beginners-b-LATN0003 | https://www.ucl.ac.uk/module-catalogue/modules/latin-for-beginners-a-LATN0034,https://www.ucl.ac.uk/scholarships
https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/ancient-languages-year-abroad-ba,ABB,"An ancient or modern language at grade A, unless an ancient and a modern language are offered at GCSE at grade C or above.",BCC,"An ancient or modern language at grade B, unless an ancient and a modern language are offered at GCSE at grade C or above.",34,"A total of 16 points in three higher level subjects, with no higher level score below 5, to include an ancient or modern language at grade 6 unless an ancient and a modern language are offered at GCSE at grade C or above.",30,"A total of 15 points in three higher level subjects, with no higher level score below 5, to include an ancient or modern language at grade 6 unless an ancient and a modern language are offered at GCSE at grade C or above.","The Ancient Languages with Year Abroad BA provides students with an unrivalled opportunity to develop advanced knowledge of the ancient languages and cultures of the Near East and Europe. Undertaking this degree will unlock the key to a rich and varied range of past civilisations and to engage with them in their original languages, which include Hebrew, Greek, Latin, Akkadian, Sumerian, Ugaritic, Aramaic, Syriac, and Egyptian. At a global top ten university for the arts and humanities (Times Higher Education World University Rankings 2025 by subject), our programme is unique in the UK. It combines concentrated study of Greco-Roman and Semitic philology, in addition to other ancient Indo-European and Afroasiatic languages, and provides students with an unparalleled insight into the key linguistic and textual traditions of the ancient world. Based within UCL Hebrew & Jewish Studies and UCL Greek & Latin, departments with world-renowned reputations, you will also have access to the teaching facilities and expertise available university-wide, including in archaeology, ancient history and linguistics. You will enjoy access to a remarkable collection of ancient language resources in the UCL and SOAS Libraries, as well as to the special collections in the British Library and British Museum. This four-year degree also offers the opportunity to experience studying ancient languages overseas at one of our partner institutions during your third year.",Introduction to Biblical Hebrew | Introduction to the Study of Language,https://www.ucl.ac.uk/module-catalogue/modules/introduction-to-biblical-hebrew-HEBR0002 | https://www.ucl.ac.uk/module-catalogue/modules/introduction-to-the-study-of-language-CLAS0009,"Introduction to Biblical Hebrew A | Modern Hebrew for Beginners | Modern Hebrew for Beginners A | Religion, State and Society in Modern European History | Sources, Methods, Skills | Introduction to Modern Jewish History (1800 - Present) | Modern Hebrew-Lower Intermediate A | Advanced Modern Hebrew | Advanced Modern Hebrew A | Elementary Yiddish | History of the Jews in Poland A | The Arab-Israeli Conflict A | Hasidism and Modernity A | The Arab-Israeli Conflict | MA Jewish Studies Core Course",https://www.ucl.ac.uk/module-catalogue/modules/introduction-to-biblical-hebrew-a-HEBR0003 | https://www.ucl.ac.uk/module-catalogue/modules/modern-hebrew-for-beginners-HEBR0004 | https://www.ucl.ac.uk/module-catalogue/modules/modern-hebrew-for-beginners-a-HEBR0005 | https://www.ucl.ac.uk/module-catalogue/modules/religion-state-and-society-in-modern-european-history-HEBR0006 | https://www.ucl.ac.uk/module-catalogue/modules/sources-methods-skills-HEBR0007 | https://www.ucl.ac.uk/module-catalogue/modules/introduction-to-modern-jewish-history-1800--present-HEBR0013 | https://www.ucl.ac.uk/module-catalogue/modules/modern-hebrew-lower-intermediate-a-HEBR0024 | https://www.ucl.ac.uk/module-catalogue/modules/advanced-modern-hebrew-HEBR0027 | https://www.ucl.ac.uk/module-catalogue/modules/advanced-modern-hebrew-a-HEBR0028 | https://www.ucl.ac.uk/module-catalogue/modules/elementary-yiddish-HEBR0041 | https://www.ucl.ac.uk/module-catalogue/modules/history-of-the-jews-in-poland-a-HEBR0057 | https://www.ucl.ac.uk/module-catalogue/modules/the-arab-israeli-conflict-a-HEBR0058 | https://www.ucl.ac.uk/module-catalogue/modules/hasidism-and-modernity-a-HEBR0071 | https://www.ucl.ac.uk/module-catalogue/modules/the-arab-israeli-conflict-HEBR0073 | https://www.ucl.ac.uk/module-catalogue/modules/ma-jewish-studies-core-course-HEBR0078,https://www.ucl.ac.uk/scholarships
https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/anthropology-bsc,AAB,No specific subjects. At least two A level subjects should be taken from .,BBB,No specific subjects. At least two A level subjects should be taken from .,36,"A total of 17 points in three higher level subjects, with no higher level score below 5.",32,"A total of 15 points in three higher level subjects, with no higher level score below 5.","Anthropology is the study of humans, their societies, cultures, and biological evolution across time and space. It seeks to understand the complexity of human experience by exploring the diverse ways people live, think, and interact with their environments across the globe. Theoretical understanding: Explore various dimensions of humanity, by engaging with key principles and underlying concepts associated with evolutionary and environmental anthropology, social anthropology, material culture and medical anthropology. Diverse learning experiences and versatile skills: Take part in diverse learning activities, including group discussions and individual research projects. This provides an opportunity to develop a range of key transferrable skills such as critical reasoning, research, and analytical capabilities, as well as collaboration and communication skills that will prepare you for a future in the field of anthropology or a variety of diverse career paths . Hands-on experience: Engage in practical learning. As a student, you will be able to participate in a three-day ethnographic field trip, have the opportunity to handle and analyse objects and biological specimens, and can engage in additional fieldwork as part of your final-year research project, should you choose to do so. Develop writing skills: Develop your written communications skills by engaging in academic writing and coursework. You will also have the opportunity to contribute to the Anthropolitan, our in-house magazine, where students can collaborate to explore and present their ideas relating to anthropology in all its diversity. High-ranked education: Study at one of the world’s top-rated institutions, with UCL ranked 4th globally for Anthropology ( QS World University Rankings by Subject 2024 ).",Introduction to Material and Visual Culture | Introduction to Social Anthropology | Researching the Social World | Methods and Techniques in Biological Anthropology | Introduction to Biological Anthropology,https://www.ucl.ac.uk/module-catalogue/modules/introduction-to-material-and-visual-culture-ANTH0001 | https://www.ucl.ac.uk/module-catalogue/modules/introduction-to-social-anthropology-ANTH0003 | https://www.ucl.ac.uk/module-catalogue/modules/researching-the-social-world-ANTH0006 | https://www.ucl.ac.uk/module-catalogue/modules/methods-and-techniques-in-biological-anthropology-ANTH0007 | https://www.ucl.ac.uk/module-catalogue/modules/introduction-to-biological-anthropology-ANTH0008,Palaeoanthropology | Theoretical Perspectives in Social Anthropology and Material Culture | Human Behavioural Ecology | Primate Behaviour and Ecology | Medical Anthropology,https://www.ucl.ac.uk/module-catalogue/modules/palaeoanthropology-ANTH0012 | https://www.ucl.ac.uk/module-catalogue/modules/theoretical-perspectives-in-social-anthropology-and-material-culture-ANTH0013 | https://www.ucl.ac.uk/module-catalogue/modules/human-behavioural-ecology-ANTH0044 | https://www.ucl.ac.uk/module-catalogue/modules/primate-behaviour-and-ecology-ANTH0060 | https://www.ucl.ac.uk/module-catalogue/modules/medical-anthropology-ANTH0182,https://www.ucl.ac.uk/scholarships
https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/anthropology-year-abroad-bsc,AAB,No specific subjects. At least two A level subjects should be taken from .,BBB,No specific subjects. At least two A level subjects should be taken from .,36,"A total of 17 points in three higher level subjects, with no higher level score below 5.",32,"A total of 15 points in three higher level subjects, with no higher level score below 5.","Anthropology is the study of humans, their societies, cultures, and biological evolution across time and space. It seeks to understand the complexity of human experience by exploring the diverse ways people live, think, and interact with their environments across the globe. Theoretical understanding: Explore various dimensions of humanity, by engaging with key principles and underlying concepts associated with evolutionary and environmental anthropology, social anthropology, material culture and medical anthropology. Diverse learning experiences and versatile skills: Take part in diverse learning activities, including group discussions and individual research projects. This provides an opportunity to develop a range of key transferrable skills such as critical reasoning, research, and analytical capabilities, as well as collaboration and communication skills that will prepare you for a future in the field of anthropology or a variety of diverse career paths . Hands-on experience: Engage in practical learning. As a student, you will be able to participate in a three-day ethnographic field trip, have the opportunity to handle and analyse objects and biological specimens, and can engage in additional fieldwork as part of your final-year research project, should you choose to do so. Develop writing skills: Develop your written communications skills by engaging in academic writing and coursework. You will also have the opportunity to contribute to the Anthropolitan , our in-house magazine, where students can collaborate to explore and present their ideas relating to anthropology in all its diversity. Year abroad: Broaden your knowledge of diverse cultures and gain important global perspectives that will help to deepen your understanding of anthropology. High-ranked education: Study at one of the world’s top-rated institutions, with UCL ranked 4th globally for Anthropology (QS World University Rankings by Subject 2024).",Introduction to Material and Visual Culture | Introduction to Social Anthropology | Researching the Social World | Methods and Techniques in Biological Anthropology | Introduction to Biological Anthropology,https://www.ucl.ac.uk/module-catalogue/modules/introduction-to-material-and-visual-culture-ANTH0001 | https://www.ucl.ac.uk/module-catalogue/modules/introduction-to-social-anthropology-ANTH0003 | https://www.ucl.ac.uk/module-catalogue/modules/researching-the-social-world-ANTH0006 | https://www.ucl.ac.uk/module-catalogue/modules/methods-and-techniques-in-biological-anthropology-ANTH0007 | https://www.ucl.ac.uk/module-catalogue/modules/introduction-to-biological-anthropology-ANTH0008,Anthropology of Religion | Digital Practices in Society: Researching the Media II | Environmental Anthropology (UG),https://www.ucl.ac.uk/module-catalogue/modules/anthropology-of-religion-ANTH0059 | https://www.ucl.ac.uk/module-catalogue/modules/digital-practices-in-society-researching-the-media-ii-ANTH0168 | https://www.ucl.ac.uk/module-catalogue/modules/environmental-anthropology-ug-ANTH0188,https://www.ucl.ac.uk/scholarships
https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/applied-medical-sciences-bsc,AAA,"Biology grade A required, plus one from Chemistry, Mathematics or Physics.",ABB,"Biology and either Chemistry, Mathematics or Physics with Biology at grade B required.",38,"A total of 18 points in three higher level subjects including 6 in Biology and either Mathematics, Physics or Chemistry, with no higher level score below 5. For Mathematics, the programme will accept either 'Analysis and Approaches' or 'Applications and Interpretation' at higher level.",34,"A total of 16 points in three higher level subjects including Biology and either Chemistry, Mathematics or Physics, with no higher level score below 5. For Mathematics, the programme will accept either 'Analysis and Approaches' or 'Applications and Interpretation' at higher level.","If you're looking to develop a strong grasp of medicine and the science that underpins it, this innovative and exciting applied medical science degree is for you. This programme offers you the following benefits and opportunities: A solid foundation in medicine and biomedical sciences through exposure to different disciplines together with laboratory skills. You'll apply this knowledge so you can clearly understand what goes wrong in disease, as well as how we diagnose and treat it. The flexibility to transfer to one of the faculty's 'sister courses' in your first year if you feel one of these is a better fit for you (and there is capacity). This way, you can shape your degree to fit your career aspirations. The skills to work in biomedical research or in sectors such as the pharmaceutical industry, biotechnology, clinical trials, hospital management and public health. You can also go onto further study, including master’s degrees, a PhD or Medicine (MBBS). Sessions that are specifically designed to enhance your creativity and inventiveness, build your team-working skills, and enhance your employability. UCL's international reputation for medical research. You'll be taught by world-leading clinicians and scientists practising at the forefront of medicine and research, who are committed to helping you get the most from your experience using the latest technologies. A substantive research project as part of a scientific team, with the chance of appearing as a co-author on their future conference abstracts and/or scientific publications. Experience with world-class researchers helps our students when they apply for research internships and prestigious postgraduate research programmes. Collaborative on-and-offline learning methods and competitive team-based projects. A thriving community of research scientists and clinicians working at the cutting-edge of their fields. Enjoy a diverse programme of talks and workshops by eminent scientists and doctors.","Foundations in Human Physiology and Cellular Biology | Cardiovascular and Respiratory Function in Health and Disease | The Gut, Liver and Drug Metabolism | Kidneys, Hormones and Fluid Balance | Infection, Inflammation and Repair | Data Interpretation and Evaluation of Science | Musculoskeletal Systems in Health and Disease",https://www.ucl.ac.uk/module-catalogue/modules/foundations-in-human-physiology-and-cellular-biology-MEDC0001 | https://www.ucl.ac.uk/module-catalogue/modules/cardiovascular-and-respiratory-function-in-health-and-disease-MEDC0002 | https://www.ucl.ac.uk/module-catalogue/modules/the-gut-liver-and-drug-metabolism-MEDC0003 | https://www.ucl.ac.uk/module-catalogue/modules/kidneys-hormones-and-fluid-balance-MEDC0004 | https://www.ucl.ac.uk/module-catalogue/modules/infection-inflammation-and-repair-MEDC0005 | https://www.ucl.ac.uk/module-catalogue/modules/data-interpretation-and-evaluation-of-science-MEDC0006 | https://www.ucl.ac.uk/module-catalogue/modules/musculoskeletal-systems-in-health-and-disease-MEDC0009,Principles of Pathological Science | Functional Anatomy and Medical Imaging | Human Genetics and Evolution | Nutrition and Metabolism 1 | Fundamentals of Cellular and Molecular Biology from a Virus's Perspective | Cancer Medicine in Society | Medical Innovation and Enterprise I,https://www.ucl.ac.uk/module-catalogue/modules/principles-of-pathological-science-MEDC0007 | https://www.ucl.ac.uk/module-catalogue/modules/functional-anatomy-and-medical-imaging-MEDC0008 | https://www.ucl.ac.uk/module-catalogue/modules/human-genetics-and-evolution-MEDC0141 | https://www.ucl.ac.uk/module-catalogue/modules/nutrition-and-metabolism-1-MEDC0074 | https://www.ucl.ac.uk/module-catalogue/modules/fundamentals-of-cellular-and-molecular-biology-from-a-viruss-perspective-INIM0036 | https://www.ucl.ac.uk/module-catalogue/modules/cancer-medicine-in-society-CINS0008 | https://www.ucl.ac.uk/module-catalogue/modules/medical-innovation-and-enterprise-i-SURG0117,https://www.ucl.ac.uk/scholarships
https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/archaeology-ba,ABB,No specific subjects. At least two A level subjects should be taken from .,BBC,No specific subjects. At least two A level subjects should be taken from .,34,"A total of 16 points in three higher level subjects, with no higher level score below 5.",30,"A total of 15 points in three higher level subjects, with no higher level score below 5.","Archaeology at UCL offers a huge variety of optional modules, covering a diverse range of archaeological topics in both a theoretical and a practical manner. The Institute of Archaeology was founded in 1937 as a centre for archaeological training, and today it is one of the largest and highly regarded centres for archaeology and heritage studies. You will become part of a top-class institution, currently ranked third in the world for archaeology in the QS World Rankings 2024. We offer an inclusive, diverse, and welcoming environment across all levels of study. The Institute has outstanding facilities for an unparalleled range of archaeological research, including laboratories, equipment, archives and collections. These include specialist laboratories for geoarchaeological study, archaeobotany, DNA and bone analysis, and photography and conservation labs. The Wolfson Archaeological Science Laboratories contain excellent facilities for the examination and analysis of a wide variety of archaeological materials, including electron and optical microscopy. Our collections contain over 80,000 artefacts that are used in teaching, research and outreach. As well as the extensive libraries at UCL, you also have access to the Institute of Archaeology Library contains approximately 70,000 books, and nearly 800 current periodicals (journals). Our holdings are strong in all aspects of archaeological theory, prehistoric Britain and Europe, the archaeology of Western Asia (Ancient Near East), Classical Greece and Rome, Egypt, sub-Saharan Africa and Latin America.",World Archaeology: The Deep History of Human Societies | Introduction to Social Anthropology | Introduction to Archaeology | Field Methods | Sites and Artefacts | People and Environments,https://www.ucl.ac.uk/module-catalogue/modules/world-archaeology-the-deep-history-of-human-societies-ARCL0002 | https://www.ucl.ac.uk/module-catalogue/modules/introduction-to-social-anthropology-ARCL0006 | https://www.ucl.ac.uk/module-catalogue/modules/introduction-to-archaeology-ARCL0010 | https://www.ucl.ac.uk/module-catalogue/modules/field-methods-ARCL0011 | https://www.ucl.ac.uk/module-catalogue/modules/sites-and-artefacts-ARCL0012 | https://www.ucl.ac.uk/module-catalogue/modules/people-and-environments-ARCL0013,Introduction to Greek Archaeology | Introduction to Egyptian and Ancient Near Eastern Archaeology,https://www.ucl.ac.uk/module-catalogue/modules/introduction-to-greek-archaeology-ARCL0005 | https://www.ucl.ac.uk/module-catalogue/modules/introduction-to-egyptian-and-ancient-near-eastern-archaeology-ARCL0007,https://www.ucl.ac.uk/scholarships
https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/archaeology-bsc,ABB,No specific subjects. At least two A level subjects should be taken from .,BBC,No specific subjects. At least two A level subjects should be taken from .,34,"A total of 16 points in three higher level subjects, with no higher level score below 5.",30,"A total of 15 points in three higher level subjects, with no higher level score below 5.","The Archaeology BSc focuses on scientific analysis. Students learn to apply analytical techniques used to investigate archaeological questions (such as petrography, elemental analysis, archaeobotany, spatial analysis, and conservation) and discuss the development of analytical projects (research proposal, literature review, methodology, sampling, analytical results, presentation and critique). The Institute of Archaeology was founded in 1937 as a centre for archaeological training, and today it is one of the largest and highly regarded centres for archaeology and heritage studies. You will become part of a top-class institution, currently ranked third in the world for archaeology in the QS World Rankings 2024. We offer an inclusive, diverse, and welcoming environment across all levels of study. The Institute has outstanding facilities for an unparalleled range of archaeological research, including laboratories, equipment, archives and collections. These include specialist laboratories for geoarchaeological study, archaeobotany, DNA and bone analysis, and photography and conservation labs. The Wolfson Archaeological Science Laboratories contain excellent facilities for the examination and analysis of a wide variety of archaeological materials, including electron and optical microscopy. Our collections contain over 80,000 artefacts that are used in teaching, research and outreach. As well as the extensive libraries at UCL, you also have access to the Institute of Archaeology Library contains approximately 70,000 books, and nearly 800 current periodicals (journals). Our holdings are strong in all aspects of archaeological theory, prehistoric Britain and Europe, the archaeology of Western Asia (Ancient Near East), Classical Greece and Rome, Egypt, sub-Saharan Africa and Latin America.",World Archaeology: The Deep History of Human Societies | Introduction to Social Anthropology | Introduction to Archaeology | Field Methods | Sites and Artefacts | People and Environments,https://www.ucl.ac.uk/module-catalogue/modules/world-archaeology-the-deep-history-of-human-societies-ARCL0002 | https://www.ucl.ac.uk/module-catalogue/modules/introduction-to-social-anthropology-ARCL0006 | https://www.ucl.ac.uk/module-catalogue/modules/introduction-to-archaeology-ARCL0010 | https://www.ucl.ac.uk/module-catalogue/modules/field-methods-ARCL0011 | https://www.ucl.ac.uk/module-catalogue/modules/sites-and-artefacts-ARCL0012 | https://www.ucl.ac.uk/module-catalogue/modules/people-and-environments-ARCL0013,Roman Art and Architecture | Archaeological Surveying | Archaeological Photography | Archaeometallurgy | The Archaeology of Human Remains | The Archaeology of Etruscan Italy | The Early Islamic World | Livestock in Archaeology | Archaeological Ceramics | Current Issues in Nile Valley Archaeology,https://www.ucl.ac.uk/module-catalogue/modules/roman-art-and-architecture-ARCL0018 | https://www.ucl.ac.uk/module-catalogue/modules/archaeological-surveying-ARCL0027 | https://www.ucl.ac.uk/module-catalogue/modules/archaeological-photography-ARCL0035 | https://www.ucl.ac.uk/module-catalogue/modules/archaeometallurgy-ARCL0045 | https://www.ucl.ac.uk/module-catalogue/modules/the-archaeology-of-human-remains-ARCL0049 | https://www.ucl.ac.uk/module-catalogue/modules/the-archaeology-of-etruscan-italy-ARCL0070 | https://www.ucl.ac.uk/module-catalogue/modules/the-early-islamic-world-ARCL0083 | https://www.ucl.ac.uk/module-catalogue/modules/livestock-in-archaeology-ARCL0058 | https://www.ucl.ac.uk/module-catalogue/modules/archaeological-ceramics-ARCL0046 | https://www.ucl.ac.uk/module-catalogue/modules/current-issues-in-nile-valley-archaeology-ARCL0220,https://www.ucl.ac.uk/scholarships
https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/archaeology-year-abroad-ba,ABB,No specific subjects. At least two A level subjects should be taken from .,BBC,No specific subjects. At least two A level subjects should be taken from .,34,"A total of 16 points in three higher level subjects, with no higher level score below 5.",30,"A total of 15 points in three higher level subjects, with no higher level score below 5.","Core modules in the first year provide a grounding in the practical and theoretical methods in archaeology and an introduction to major issues in world prehistory. The second and final year provide a more advanced understanding of archaeology and theoretical approaches and allow you to develop your own specialised interests by choosing optional modules in particular subject areas. Your third year is spent studying abroad at one of our partner institutions , where you will study modules in archaeology and related subjects. This is an exciting opportunity to develop your understanding of the theory and practice of archaeology outside the UK. You will benefit from the expertise and advice of UCL’s Study Abroad Office as well as our departmental Study Abroad Tutor. You will need to be in good academic standing and linguistically competent for your exchange destination. In the final year, you are given the chance to reflect critically on your fieldwork experience and the skills you have been developing during the degree through a portfolio, and write a 10,000-word dissertation on a detailed subject that you will choose, research and write up with the support of a supervisor. The Institute of Archaeology was founded in 1937 as a centre for archaeological training, to the Institute today, one of the largest and highly regarded centres for archaeology and heritage studies. You will become part of a top-class institution, currently ranked third in the world for archaeology in the QS World Rankings 2024. We offer an inclusive, diverse, and welcoming learning environment. You will benefit from spending a year studying abroad at a partner institution. The Institute has outstanding facilities for an unparalleled range of archaeological research, including laboratories, equipment, archives and collections. These include specialist laboratories for geoarchaeological study, archaeobotany, DNA and bone analysis, and photography and conservation labs. The Wolfson Archaeological Science Laboratories contain excellent facilities for the examination and analysis of a wide variety of archaeological materials, including electron and optical microscopy. Our collections contain over 80,000 artefacts that are used in teaching, research and outreach. As well as the extensive libraries at UCL, you also have access to the Institute of Archaeology Library contains approximately 70,000 books, and nearly 800 current periodicals (journals). Our holdings are strong in all aspects of archaeological theory, prehistoric Britain and Europe, the archaeology of Western Asia (Ancient Near East), Classical Greece and Rome, Egypt, sub-Saharan Africa and Latin America.",World Archaeology: The Deep History of Human Societies | People and Environments | Introduction to Social Anthropology | Introduction to Archaeology | Field Methods | Sites and Artefacts,https://www.ucl.ac.uk/module-catalogue/modules/world-archaeology-the-deep-history-of-human-societies-ARCL0002 | https://www.ucl.ac.uk/module-catalogue/modules/people-and-environments-ARCL0013 | https://www.ucl.ac.uk/module-catalogue/modules/introduction-to-social-anthropology-ARCL0006 | https://www.ucl.ac.uk/module-catalogue/modules/introduction-to-archaeology-ARCL0010 | https://www.ucl.ac.uk/module-catalogue/modules/field-methods-ARCL0011 | https://www.ucl.ac.uk/module-catalogue/modules/sites-and-artefacts-ARCL0012,Introduction to Roman Archaeology | Introduction to Greek Archaeology | Introduction to Egyptian and Ancient Near Eastern Archaeology | Texts in Archaeology,https://www.ucl.ac.uk/module-catalogue/modules/introduction-to-roman-archaeology-ARCL0001 | https://www.ucl.ac.uk/module-catalogue/modules/introduction-to-greek-archaeology-ARCL0005 | https://www.ucl.ac.uk/module-catalogue/modules/introduction-to-egyptian-and-ancient-near-eastern-archaeology-ARCL0007 | https://www.ucl.ac.uk/module-catalogue/modules/texts-in-archaeology-ARCL0009,https://www.ucl.ac.uk/scholarships
https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/archaeology-and-anthropology-ba,AAB,No specific subjects. At least two A level subjects should be taken from .,BBB,No specific subjects. At least two A level subjects should be taken from .,36,"A score of 17 points in three higher level subjects, with no higher level score below 5.",32,"A total of 15 points in three higher level subjects, with no higher level score below 5.","The Archaeology and Anthropology BA explores the development of human societies and human diversity around the world, analysing patterns of global social, cultural, economic and political change from Prehistory to the Early Modern Period. You will learn how archaeological evidence and ethnographic accounts help us to decipher the history of the places that we have inhabited and transformed over time to gain an understanding of how humans lived in the past and present. The Institute of Archaeology was founded in 1937 as a centre for archaeological training, to the Institute today, one of the largest and highly regarded centres for archaeology and heritage studies. You will become part of a world-class institution, recognised for the excellence of our teaching, research and career prospects in both disciplines. We are currently ranked third in the world for archaeology and fourth for anthropology in the QS World Rankings 2024. You will have access to a huge variety of optional modules, covering a diverse range of topics, regions and time periods, offered by both the Institute of Archaeology and Department of Anthropology. As well as the extensive libraries at UCL, you also have access to the Institute of Archaeology Library contains approximately 70,000 books, and nearly 800 current periodicals (journals). Our holdings are strong in all aspects of archaeological theory, prehistoric Britain and Europe, the archaeology of Western Asia (Ancient Near East), Classical Greece and Rome, Egypt, sub-Saharan Africa and Latin America. The degree includes 50 days of partiall-funded fieldwork, including physical fieldwork, mainly in the UK, but at other destinations across the globe, and digital fieldwork.",Introduction to Material and Visual Culture | Introductory Social Anthropology 1 A | Introduction to Biological Anthropology II B | Introduction to Archaeology | Field Methods | Sites and Artefacts | World Archaeology: An Outline of the Deep History of Human Societies,https://www.ucl.ac.uk/module-catalogue/modules/introduction-to-material-and-visual-culture-ANTH0001 | https://www.ucl.ac.uk/module-catalogue/modules/introductory-social-anthropology-1-a-ANTH0004 | https://www.ucl.ac.uk/module-catalogue/modules/introduction-to-biological-anthropology-ii-b-ANTH0010 | https://www.ucl.ac.uk/module-catalogue/modules/introduction-to-archaeology-ARCL0010 | https://www.ucl.ac.uk/module-catalogue/modules/field-methods-ARCL0011 | https://www.ucl.ac.uk/module-catalogue/modules/sites-and-artefacts-ARCL0012 | https://www.ucl.ac.uk/module-catalogue/modules/world-archaeology-an-outline-of-the-deep-history-of-human-societies-ARCL0014,"Documentary Film-Making | Palaeoanthropology | The Anthropology of Nationalism, Ethnicity and Race | Interpreting Archaeological Evidence | Archaeological Illustration and Imaging",https://www.ucl.ac.uk/module-catalogue/modules/documentary-film-making-ANTH0011 | https://www.ucl.ac.uk/module-catalogue/modules/palaeoanthropology-ANTH0012 | https://www.ucl.ac.uk/module-catalogue/modules/the-anthropology-of-nationalism-ethnicity-and-race-ANTH0029 | https://www.ucl.ac.uk/module-catalogue/modules/interpreting-archaeological-evidence-ARCL0037 | https://www.ucl.ac.uk/module-catalogue/modules/archaeological-illustration-and-imaging-ARCL0036,https://www.ucl.ac.uk/scholarships
