kiscourseid,title,crseurl
UBAARLAANT18,Archaeology and Anthropology,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/archaeology-and-anthropology-ba
UBAARLSABR18,Archaeology,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/archaeology-year-abroad-ba
UBAARLSING18,Archaeology,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/archaeology-ba
UBAARLSPLA18,Archaeology with a Placement Year,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/archaeology-placement-year-ba
UBAARTATEC18,Art and Technology,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/art-and-technology-ba
UBABULACZE18,Bulgarian and Czech,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/bulgarian-and-czech-ba
UBABULADAN18,Bulgarian and Danish,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/bulgarian-and-danish-ba
UBABULADUT18,Bulgarian and Dutch,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/bulgarian-and-dutch-ba
UBABULAEES18,Bulgarian and East European Studies,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/bulgarian-and-east-european-studies-ba
UBABULAFIN18,Bulgarian and Finnish,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/bulgarian-and-finnish-ba
UBABULAFRE18,Bulgarian and French,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/bulgarian-and-french-ba
UBABULAGER18,Bulgarian and German,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/bulgarian-and-german-ba
UBABULAHEB18,Bulgarian and Hebrew,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/bulgarian-and-hebrew-ba
UBABULAHUN18,Bulgarian and Hungarian,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/bulgarian-and-hungarian-ba
UBABULAITA18,Bulgarian and Italian,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/bulgarian-and-italian-ba
UBABULANOR18,Bulgarian and Norwegian,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/bulgarian-and-norwegian-ba
UBABULAPOL18,Bulgarian and Polish,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/bulgarian-and-polish-ba
UBABULAPOR18,Bulgarian and Portuguese,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/bulgarian-and-portuguese-ba
UBABULAROM18,Bulgarian and Romanian,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/bulgarian-and-romanian-ba
UBABULARUS18,Bulgarian and Russian,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/bulgarian-and-russian-ba
UBABULASPA18,Bulgarian and Spanish,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/bulgarian-and-spanish-ba
