kiscourseid,title,degree_type,a_level,a_level_subjects,gcse,ib,ib_subjects,url,foundation,sandwich,yearabroad,lower_quartile_salary,median_salary,upper_quartile_salary
UBAHISSANC18,Ancient History,BA,AAA,"History, Ancient History or Classical Civilisation required.",English Language at grade B or 6 and Mathematics at grade C or 4.,38,"A total of 18 points in three higher level subjects including grade 6 in History, with no higher level score below 5.",https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/ancient-history-ba,No,No,No,26000,30000,36000
UBALNGSANA18,Ancient Languages,BA,ABB,"An ancient or modern language at grade A, unless an ancient and a modern language are offered at GCSE at grade C or above.",English Language and Mathematics at grade C or 4.,34,"A total of 16 points in three higher level subjects, with no higher level score below 5, to include an ancient or modern language at grade 6 unless an ancient and a modern language are offered at GCSE at grade C or above.",https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/ancient-languages-ba,No,No,Yes,25500,28500,35000
UBSANTSING18,Anthropology,BSc,AAB,No specific subjects. At least two A level subjects should be taken from UCL's list of preferred A level subjects.,"English Language and Mathematics at grade C or 4, plus any Science (Single Science, Biology, Chemistry or Physics) required at grade B or 6 (Combined Science at grades 6, 6).",36,"A total of 17 points in three higher level subjects, with no higher level score below 5.",https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/anthropology-bsc,No,No,Yes,26000,28000,34000
UBSMEDSAPP18,Applied Medical Sciences,BSc,AAA,"Biology grade A required, plus one from Chemistry, Mathematics or Physics.",English Language and Mathematics at grade B or 6.,38,"A total of 18 points in three higher level subjects including 6 in Biology and either Mathematics, Physics or Chemistry, with no higher level score below 5. For Mathematics, the programme will accept either 'Analysis and Approaches' or 'Applications and Interpretation' at higher level.",https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/applied-medical-sciences-bsc,No,No,No,30000,34000,37000
UBAARLAANT18,Archaeology and Anthropology,BA,AAB,No specific subjects. At least two A level subjects should be taken from UCL's list of preferred A level subjects.,English Language and Mathematics at grade C or 4.,36,"A score of 17 points in three higher level subjects, with no higher level score below 5.",https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/archaeology-and-anthropology-ba,No,No,No,30000,36500,40000
UBAARLAANT18,Archaeology and Anthropology,BA,AAB,No specific subjects. At least two A level subjects should be taken from UCL's list of preferred A level subjects.,English Language and Mathematics at grade C or 4.,36,"A score of 17 points in three higher level subjects, with no higher level score below 5.",https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/archaeology-and-anthropology-ba,No,No,No,26000,28000,34000
UBAARLSABR18,Archaeology,BA,ABB,No specific subjects. At least two A level subjects should be taken from UCL's list of preferred A level subjects.,English Language and Mathematics at grade C or 4.,34,"A total of 16 points in three higher level subjects, with no higher level score below 5.",https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/archaeology-ba,No,Yes,Yes,30000,36500,40000
UBAARLSABR18,Archaeology,BA,ABB,No specific subjects. At least two A level subjects should be taken from UCL's list of preferred A level subjects.,English Language and Mathematics at grade C or 4.,34,"A total of 16 points in three higher level subjects, with no higher level score below 5.",https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/archaeology-ba,No,Yes,Yes,25500,28000,34000
UBSARLSING18,Archaeology,BSc,ABB,No specific subjects. At least two A level subjects should be taken from UCL's list of preferred A level subjects.,English Language and Mathematics at grade C or 4.,34,"A total of 16 points in three higher level subjects, with no higher level score below 5.",https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/archaeology-bsc,No,No,No,30000,36500,40000
UBSARCSAIA18,Architectural and Interdisciplinary Studies,BSc,AAB,"No specific subjects. Comprehensive portfolio of creative work required upon invitation, at application stage. At least two A level subjects should be taken from UCL's list of preferred A level subjects.",English Language and Mathematics at grade C or 4.,36,"A total of 17 points in three higher level subjects, with no higher level score below 5. No specific subjects are required but a comprehensive portfolio of creative work is required upon invitation, at application stage.",https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/architectural-and-interdisciplinary-studies-bsc,No,No,Yes,25000,27500,32000
UBSARCSING18,Architecture,BSc,AAB,"No specific subjects. Comprehensive portfolio of creative work required upon invitation, at application stage. At least two A level subjects should be taken from UCL's list of preferred A level subjects.",English Language and Mathematics at grade C or 4.,36,"A total of 17 points in three higher level subjects, with no higher level score below 5. No specific subjects are required but a comprehensive portfolio of creative work required upon invitation, at application stage.",https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/architecture-bsc,No,No,No,25000,27500,32000
UMSARCSING19,Architecture,MSCi,AAB,"No specific subjects. Comprehensive portfolio of creative work required upon invitation, at application stage. At least two A level subjects should be taken from UCL's list of preferred A level subjects.",English Language and Mathematics at grade C or 4.,36,"A total of 17 points in three higher level subjects, with no higher level score below 5. No specific subjects are required but a comprehensive portfolio of creative work required upon invitation, at application stage.",https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/architecture-msci,Yes,No,Yes,25000,27500,32000
