kiscourseid,title,degree_type,a_level,a_level_subjects,gcse,ib,ib_subjects,url,foundation,sandwich,yearabroad,lower_quartile_salary,median_salary,upper_quartile_salary,university,offer_rate_clean
UBAHISSANC18,Ancient History,BA,AAA,"History, Ancient History or Classical Civilisation required.",English Language at grade B or 6 and Mathematics at grade C or 4.,38,"A total of 18 points in three higher level subjects including grade 6 in History, with no higher level score below 5.",https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/ancient-history-ba,No,No,No,26000,30000,36000,University College London,58
UBALNGSANA18,Ancient Languages,BA,ABB,"An ancient or modern language at grade A, unless an ancient and a modern language are offered at GCSE at grade C or above.",English Language and Mathematics at grade C or 4.,34,"A total of 16 points in three higher level subjects, with no higher level score below 5, to include an ancient or modern language at grade 6 unless an ancient and a modern language are offered at GCSE at grade C or above.",https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/ancient-languages-ba,No,No,Yes,25500,28500,35000,University College London,78.5
UBSANTSING18,Anthropology,BSc,AAB,No specific subjects. At least two A level subjects should be taken from UCL's list of preferred A level subjects.,"English Language and Mathematics at grade C or 4, plus any Science (Single Science, Biology, Chemistry or Physics) required at grade B or 6 (Combined Science at grades 6, 6).",36,"A total of 17 points in three higher level subjects, with no higher level score below 5.",https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/anthropology-bsc,No,No,Yes,26000,28000,34000,University College London,64
UBSMEDSAPP18,Applied Medical Sciences,BSc,AAA,"Biology grade A required, plus one from Chemistry, Mathematics or Physics.",English Language and Mathematics at grade B or 6.,38,"A total of 18 points in three higher level subjects including 6 in Biology and either Mathematics, Physics or Chemistry, with no higher level score below 5. For Mathematics, the programme will accept either 'Analysis and Approaches' or 'Applications and Interpretation' at higher level.",https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/applied-medical-sciences-bsc,No,No,No,30000,34000,37000,University College London,76
UBAARLAANT18,Archaeology and Anthropology,BA,AAB,No specific subjects. At least two A level subjects should be taken from UCL's list of preferred A level subjects.,English Language and Mathematics at grade C or 4.,36,"A score of 17 points in three higher level subjects, with no higher level score below 5.",https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/archaeology-and-anthropology-ba,No,No,No,30000,36500,40000,University College London,84
UBAARLSABR18,Archaeology,BA,ABB,No specific subjects. At least two A level subjects should be taken from UCL's list of preferred A level subjects.,English Language and Mathematics at grade C or 4.,34,"A total of 16 points in three higher level subjects, with no higher level score below 5.",https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/archaeology-ba,No,Yes,Yes,30000,36500,40000,University College London,51.33
UBSARLSING18,Archaeology,BSc,ABB,No specific subjects. At least two A level subjects should be taken from UCL's list of preferred A level subjects.,English Language and Mathematics at grade C or 4.,34,"A total of 16 points in three higher level subjects, with no higher level score below 5.",https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/archaeology-bsc,No,No,No,30000,36500,40000,University College London,77
UBSARCSAIA18,Architectural and Interdisciplinary Studies,BSc,AAB,"No specific subjects. Comprehensive portfolio of creative work required upon invitation, at application stage. At least two A level subjects should be taken from UCL's list of preferred A level subjects.",English Language and Mathematics at grade C or 4.,36,"A total of 17 points in three higher level subjects, with no higher level score below 5. No specific subjects are required but a comprehensive portfolio of creative work is required upon invitation, at application stage.",https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/architectural-and-interdisciplinary-studies-bsc,No,No,Yes,25000,27500,32000,University College London,9.5
UBSARCSING18,Architecture,BSc,AAB,"No specific subjects. Comprehensive portfolio of creative work required upon invitation, at application stage. At least two A level subjects should be taken from UCL's list of preferred A level subjects.",English Language and Mathematics at grade C or 4.,36,"A total of 17 points in three higher level subjects, with no higher level score below 5. No specific subjects are required but a comprehensive portfolio of creative work required upon invitation, at application stage.",https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/architecture-bsc,No,No,No,25000,27500,32000,University College London,11
UMSARCSING19,Architecture,MSCi,AAB,"No specific subjects. Comprehensive portfolio of creative work required upon invitation, at application stage. At least two A level subjects should be taken from UCL's list of preferred A level subjects.",English Language and Mathematics at grade C or 4.,36,"A total of 17 points in three higher level subjects, with no higher level score below 5. No specific subjects are required but a comprehensive portfolio of creative work required upon invitation, at application stage.",https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/architecture-msci,Yes,No,Yes,25000,27500,32000,University College London,15
UBAARTATEC18,Art and Technology,BA,ABB,"No specific subjects, but a portfolio of work is required. At least two A level subjects should be taken from UCL's list of preferred A level subjects.",English Language and Mathematics at grade C or 4.,34,"A total of 16 points in three higher level subjects, with no higher level score below 5, plus a portfolio.",https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/art-and-technology-ba,No,No,No,36500,52500,78000,University College London,Data Not Available
UBBASCSING18,Arts and Sciences,BASc,A*AA,"Major pathway requirements: Cultures: at least one essay-based arts/humanities subject Societies: at least one social sciences subject; Sciences and Engineering: Mathematics and one other science.
 Health and Environment: Chemistry or Biology, and one other science or social science.",English Language and Mathematics at grade B or 6.,39,"A total of 19 points in three higher level subjects, with no higher level score below 5. Major pathway requirements: Cultures at least one higher level from groups 1, 2 or 6; Societies: at least one higher level from group 3; Sciences and Engineering: to include higher level Mathematics at grade 6 and a further higher level subject from groups 4 or 5. The programme will accept either 'Mathematics: Analysis and Approaches' or 'Mathematics: Applications and Interpretation' at higher level; Health and Environment: to include higher level Chemistry or Biology at grade 6 and a further higher level subject from groups 3, 4 or 5.",https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/arts-and-sciences-basc,No,No,No,30000,32000,36500,University College London,69
UBBASCSABR18,Arts and Sciences with Study Abroad,BASc,A*AA,"Major pathway requirements: Cultures: at least one essay-based arts/humanities subject Societies: at least one social sciences subject; Sciences and Engineering: Mathematics and one other science.
 Health and Environment: Chemistry or Biology, and one other science or social science.",English Language and Mathematics at grade B or 6.,39,"A total of 19 points in three higher level subjects, with no higher level score below 5. Major pathway requirements: Cultures at least one higher level from groups 1, 2 or 6; Societies: at least one higher level from group 3; Sciences and Engineering: to include higher level Mathematics at grade 6 and a further higher level subject from groups 4 or 5. The programme will accept either 'Mathematics: Analysis and Approaches' or 'Mathematics: Applications and Interpretation' at higher level; Health and Environment: to include higher level Chemistry or Biology at grade 6 and a further higher level subject from groups 3, 4 or 5.",https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/arts-and-sciences-study-abroad-basc,No,No,Yes,30000,32000,36500,University College London,69
UBSASTSPHY18,Astrophysics,BSc,A*AA,A*A in Mathematics and Physics required (in any order).,English Language and Mathematics at grade C or 4.,39,"A total of 19 points in three higher level subjects including grade 7 and grade 6 in Mathematics and Physics, in any order, with no higher level score below 5. The programme will accept either 'Mathematics: Analysis and Approaches' or 'Mathematics: Applications and Interpretation' at higher level.",https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/astrophysics-bsc,No,No,Yes,31000,33500,40000,University College London,34
UMSASTSPHY18,Astrophysics,MSCi,A*AA,A*A in Mathematics and Physics required (in any order).,English Language and Mathematics at grade C or 4.,39,"A total of 19 points in three higher level subjects including grade 7 and grade 6 in Mathematics and Physics, in any order, with no higher level score below 5. The programme will accept either 'Mathematics: Analysis and Approaches' or 'Mathematics: Applications and Interpretation' at higher level.",https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/astrophysics-msci,No,No,No,31000,33500,40000,University College London,41
