ukprn,university,kiscourseid,title,crseurl,provadd
10007163,University of Warwick,U-B140,Neuroscience,https://warwick.ac.uk/study/undergraduate/courses/bsc-neuroscience,Coventry CV4 7AL
10007163,University of Warwick,U-B141,Neuroscience with Placement Year,https://warwick.ac.uk/study/undergraduate/courses/bsc-neuroscience-placement-year,Coventry CV4 7AL
10007163,University of Warwick,U-B142,Neuroscience,https://warwick.ac.uk/study/undergraduate/courses/mbio-neuroscience,Coventry CV4 7AL
10007163,University of Warwick,U-B143,Neuroscience with Industrial Placement,https://warwick.ac.uk/study/undergraduate/courses/mbio-neuroscience-industrial-placement,Coventry CV4 7AL
10007163,University of Warwick,U-B990,Health and Medical Sciences,https://warwick.ac.uk/study/undergraduate/courses/bsc-health-medical-sciences,Coventry CV4 7AL
10007163,University of Warwick,U-C100,Biological Sciences,https://warwick.ac.uk/study/undergraduate/courses/bsc-biological-sciences,Coventry CV4 7AL
10007163,University of Warwick,U-C101,Biological Sciences with Placement Year,https://warwick.ac.uk/study/undergraduate/courses/bsc-biological-sciences-placement-year,Coventry CV4 7AL
10007163,University of Warwick,U-C1A1,Biological Sciences,https://warwick.ac.uk/study/undergraduate/courses/mbio-biological-sciences,Coventry CV4 7AL
10007163,University of Warwick,U-C1A2,Biochemistry,https://warwick.ac.uk/study/undergraduate/courses/mbio-biochemistry,Coventry CV4 7AL
10007163,University of Warwick,U-C1A3,Biomedical Science,https://warwick.ac.uk/study/undergraduate/courses/mbio-biomedical-science,Coventry CV4 7AL
10007163,University of Warwick,U-C1A5,Biological Sciences with Industrial Placement,https://warwick.ac.uk/study/undergraduate/courses/mbio-biological-sciences-industrial-placement,Coventry CV4 7AL
10007163,University of Warwick,U-C1A6,Biochemistry with Industrial Placement,https://warwick.ac.uk/study/undergraduate/courses/mbio-biochemistry-industrial-placement,Coventry CV4 7AL
10007163,University of Warwick,U-C1A7,Biomedical Science with Industrial Placement,https://warwick.ac.uk/study/undergraduate/courses/mbio-biomedical-science-industrial-placement,Coventry CV4 7AL
