kiscourseid,url,degree_type,degree_title,a_level_grade_req,a_level_subject_reqs,ib_grade_req,ib_subject_req
U-B140,https://warwick.ac.uk/study/undergraduate/courses/bsc-neuroscience,BSc,Neuroscience,AAB,"AAB including Biology and a second Science (e.g. Chemistry, Physics, Maths, Applied Science, Environmental Science, Statistics, Geology, Geography, or Psychology)",34,"34 including 5 in HL Biology and 5 in HL Chemistry, Physics, Maths, Geography, or Psychology"
U-B141,https://warwick.ac.uk/study/undergraduate/courses/bsc-neuroscience-placement-year,BSc,Neuroscience with Placement Year,AAB,"AAB including Biology and a second Science (e.g. Chemistry, Physics, Maths, Applied Science, Environmental Science, Statistics, Geology, Geography, or Psychology)",34,"34 including 5 in HL Biology and 5 in HL Chemistry, Physics, Maths, Geography, or Psychology"
U-B142,https://warwick.ac.uk/study/undergraduate/courses/mbio-neuroscience,MBio,Neuroscience,AAA,"AAA including Biology and a second Science (e.g. Chemistry, Physics, Maths, Applied Science, Environmental Science, Statistics, Geology, Geography, or Psychology)",36,"36 including 5 in HL Biology and 5 in HL Chemistry, Physics, Maths, Geography, or Psychology"
U-B143,https://warwick.ac.uk/study/undergraduate/courses/mbio-neuroscience-industrial-placement,MBio,Neuroscience with Industrial Placement,AAA,"AAA including Biology and a second Science (e.g. Chemistry, Physics, Maths, Applied Science, Environmental Science, Statistics, Geology, Geography, or Psychology)",36,"36 including 5 in HL Biology and 5 in HL Chemistry, Physics, Maths, Geography, or Psychology"
U-B990,https://warwick.ac.uk/study/undergraduate/courses/bsc-health-medical-sciences,BSc,Health and Medical Sciences,AAB,Either AAB including one subject from the list below (Biology recommended),34,Either 34 overall to include 5 in one Higher Level subject from the list below (Biology recommended)
U-C100,https://warwick.ac.uk/study/undergraduate/courses/bsc-biological-sciences,BSc,Biological Sciences,AAB,"AAB including Biology and a second Science (e.g., Chemistry, Physics, Maths, Applied Science, Environmental Science, Statistics, Geology, Geography, or Psychology)",34,"34 including 5 in HL Biology and 5 in HL Chemistry, Physics, Maths, Geography, or Psychology"
U-C101,https://warwick.ac.uk/study/undergraduate/courses/bsc-biological-sciences-placement-year,BSc,Biological Sciences with Placement Year,AAB,"AAB including Biology and a second Science (e.g., Chemistry, Physics, Maths, Applied Science, Environmental Science, Statistics, Geology, Geography, or Psychology)",34,"34 including 5 in HL Biology and 5 in HL Chemistry, Physics, Maths, Geography, or Psychology"
U-C1A1,https://warwick.ac.uk/study/undergraduate/courses/mbio-biological-sciences,MBio,Biological Sciences,AAA,"AAA including Biology and a second Science (e.g., Chemistry, Physics, Maths, Applied Science, Environmental Science, Statistics, Geology, Geography, or Psychology)",36,"36 including 5 in HL Biology and 5 in HL Chemistry, Physics, Maths, Geography, or Psychology"
U-C1A2,https://warwick.ac.uk/study/undergraduate/courses/mbio-biochemistry,MBio,Biochemistry,AAA,AAA including Biology and Chemistry,36,36 including 5 in HL Biology and 5 in HL Chemistry
U-C1A3,https://warwick.ac.uk/study/undergraduate/courses/mbio-biomedical-science,MBio,Biomedical Science,AAA,"AAA including Biology and a second Science (e.g. Chemistry, Physics, Maths, Applied Science, Environmental Science, Statistics, Geology, Geography, or Psychology)",36,"36 including 5 in HL Biology and 5 in HL Chemistry, Physics, Maths, Geography, or Psychology"
U-C1A5,https://warwick.ac.uk/study/undergraduate/courses/mbio-biological-sciences-industrial-placement,MBio,Biological Sciences with Industrial Placement,AAA,"AAA including Biology and a second Science (e.g., Chemistry, Physics, Maths, Applied Science, Environmental Science, Statistics, Geology, Geography, or Psychology)",36,"36 including 5 in HL Biology and 5 in HL Chemistry, Physics, Maths, Geography, or Psychology"
U-C1A6,https://warwick.ac.uk/study/undergraduate/courses/mbio-biochemistry-industrial-placement,MBio,Biochemistry with Industrial Placement,AAA,AAA including Biology and Chemistry,36,36 including 5 in HL Biology and 5 in HL Chemistry
U-C1A7,https://warwick.ac.uk/study/undergraduate/courses/mbio-biomedical-science-industrial-placement,MBio,Biomedical Science with Industrial Placement,AAA,"AAA including Biology and a second Science (e.g. Chemistry, Physics, Maths, Applied Science, Environmental Science, Statistics, Geology, Geography, or Psychology)",36,"36 including 5 in HL Biology and 5 in HL Chemistry, Physics, Maths, Geography, or Psychology"
U-C1B9,https://warwick.ac.uk/study/undergraduate/courses/bsc-biomedical-science,BSc,Biomedical Science,AAB,"AAB including Biology and a second Science (e.g. Chemistry, Physics, Maths, Applied Science, Environmental Science, Statistics, Geology, Geography, or Psychology)",34,"34 including 5 in HL Biology and 5 in HL Chemistry, Physics, Maths, Geography, or Psychology"
U-C1L8,https://warwick.ac.uk/study/undergraduate/courses/basc-life-sciences-global-sustainable-development,BASc,Life Sciences and Global Sustainable Development,AAB,"AAB, to include A level in Biology.",34,"34, to include Biology at Higher Level 5."
U-C700,https://warwick.ac.uk/study/undergraduate/courses/bsc-biochemistry,BSc,Biochemistry,AAB,AAB including Biology and Chemistry,34,34 including 5 in HL Biology and 5 in HL Chemistry
U-C701,https://warwick.ac.uk/study/undergraduate/courses/bsc-biochemistry-placement-year,BSc,Biochemistry with Placement Year,AAB,AAB including Biology and Chemistry,34,34 including 5 in HL Biology and 5 in HL Chemistry
U-C800,https://warwick.ac.uk/study/undergraduate/courses/bsc-psychology,BSc,Psychology,AAA,AAA or A*AB,36,"36 plus 4 in Higher Level Mathematics or 5 in Standard Level Mathematics, and 4 in Higher Level Science (Biology, Chemistry or Physics) or 5 in Standard Level Science (Biology, Chemistry or Physics) - if Mathematics or Science requirements are not met through GCSEs."
U-C802,https://warwick.ac.uk/study/undergraduate/courses/bsc-psychology-linguistics,BSc,Psychology with Linguistics,AAA,AAA or A*AB,36,"36 plus 4 in Higher Level Mathematics or 5 in Standard Level Mathematics, and 4 in Higher Level Science (Biology, Chemistry or Physics) or 5 in Standard Level Science (Biology, Chemistry or Physics) - if Mathematics or Science requirements are not met through GCSEs."
U-C804,https://warwick.ac.uk/study/undergraduate/courses/bsc-psychology-education-studies,BSc,Psychology with Education,AAB,AAB,34,"34 plus 4 in Higher Level Mathematics or 5 in Standard Level Mathematics, and 4 in Higher Level Science (Biology, Chemistry or Physics) or 5 in Standard Level Science (Biology, Chemistry or Physics) - if Mathematics or Science requirements are not met through GCSEs."
U-C8L8,https://warwick.ac.uk/study/undergraduate/courses/psychologygsd,BASc,Psychology and Global Sustainable Development,AAB,AAB.,34,34
U-CB19,https://warwick.ac.uk/study/undergraduate/courses/ba-psychology-global-sustainable-development,BASc,Psychology and Global Sustainable Development,AAB,AAB.,34,34
U-CF10,https://warwick.ac.uk/study/undergraduate/courses/msci-integrated-natural-sciences,MSci,Integrated Natural Sciences,AAA,AAA to include Mathematics and either Biology or Chemistry.,36,36 to include 6 in Higher Level Mathematics and 6 in either Higher Level Biology or Higher Level Chemistry.
U-F100,https://warwick.ac.uk/study/undergraduate/courses/bsc-chemistry,BSc,Chemistry,AAB,"AAB to include Chemistry and one of the following: Mathematics, Further Mathematics, Physics, Biology, Geology, Statistics or Computer Science.",34,"34 to include 6 in Higher Level Chemistry and 5 in a second science subject at Higher Level (either Biology, Physics, Mathematics 'Analysis and Approaches', Mathematics 'Applications and Interpretation', or Computer Science)."
U-F105,https://warwick.ac.uk/study/undergraduate/courses/mchem-chemistry,MChem,Chemistry,AAA,"AAA to include Chemistry and one of the following: Mathematics, Further Mathematics, Physics, Biology, Geology, Statistics or Computer Science.",36,"36 to include 6 in Higher Level Chemistry and 5 in a second science subject at Higher Level (either Biology, Physics, Mathematics 'Analysis and Approaches', Mathematics 'Applications and Interpretation', or Computer Science)."
U-F109,https://warwick.ac.uk/study/undergraduate/courses/mchem-chemistry-international-placement,MChem,Chemistry with International Placement,AAA,"AAA to include Chemistry and one of the following: Mathematics, Further Mathematics, Physics, Biology, Geology, Statistics or Computer Science.",36,"36 to include 6 in Higher Level Chemistry and 5 in a second science subject at Higher Level (either Biology, Physics, Mathematics 'Analysis and Approaches', Mathematics 'Applications and Interpretation', or Computer Science)."
U-F110,https://warwick.ac.uk/study/undergraduate/courses/mchem-chemistry-industrial-placement,MChem,Chemistry with Industrial Placement,AAA,"AAA to include Chemistry and one of the following: Mathematics, Further Mathematics, Physics, Biology, Geology, Statistics or Computer Science.",36,"36 to include 6 in Higher Level Chemistry and 5 in a second science subject at Higher Level (either Biology, Physics, Mathematics ‘Analysis and Approaches’, Mathematics ‘Applications and Interpretation’, or Computer Science)."
U-F121,https://warwick.ac.uk/study/undergraduate/courses/bsc-chemistry-medicinal,BSc,Chemistry with Medicinal Chemistry,AAB,"AAB to include Chemistry and one of the following: Mathematics, Further Mathematics, Physics, Biology, Geology, Statistics or Computer Science.",34,"34 to include 6 in Higher Level Chemistry and 5 in a second science subject at Higher Level (either Biology, Physics, Mathematics 'Analysis and Approaches', Mathematics 'Applications and Interpretation', or Computer Science)."
U-F125,https://warwick.ac.uk/study/undergraduate/courses/mchem-chemistry-medicinal,MChem,Chemistry with Medicinal Chemistry,AAA,"AAA to include Chemistry and one of the following: Mathematics, Further Mathematics, Physics, Biology, Geology, Statistics or Computer Science.",36,"36 to include 6 in Higher Level Chemistry and 5 in a second science subject at Higher Level (either Biology, Physics, Mathematics 'Analysis and Approaches', Mathematics 'Applications and Interpretation', or Computer Science)."
U-F300,https://warwick.ac.uk/study/undergraduate/courses/bsc-physics,BSc,Physics,A*AA,A*AA to include A in Mathematics (or Further Mathematics) and Physics,38,38 to include 6 in Higher Level Mathematics ('Analysis and Approaches' only) and 6 in Higher Level Physics
U-F303,https://warwick.ac.uk/study/undergraduate/courses/mphys-physics,MPhys,Physics,A*AA,A*AA to include A in Mathematics (or Further Mathematics) and Physics,38,38 to include 6 in Higher Level Mathematics (Analysis and Approaches only) and 6 in Higher Level Physics
U-F3F5,https://warwick.ac.uk/study/undergraduate/courses/bsc-physics-astrophysics,BSc,Physics with Astrophysics,A*AA,A*AA to include A in Mathematics (or Further Mathematics) and Physics,38,38 to include 6 in Higher Level Mathematics ('Analysis and Approaches' only) and 6 in Higher Level Physics
U-F3FA,https://warwick.ac.uk/study/undergraduate/courses/mphys-physics-astrophysics,MPhys,Physics with Astrophysics,A*AA,A*AA to include A in Mathematics (or Further Mathematics) and Physics,38,38 to include 6 in Higher Level Mathematics (Analysis and Approaches only) and 6 in Higher Level Physics
U-FG31,https://warwick.ac.uk/study/undergraduate/courses/mmathphys-mathematics-physics,MMathPhys,Mathematics and Physics,A*AA,"A*AA to include A* in Mathematics, A in Further Mathematics and A in Physics.",38,38 to include 7 in Higher Level Mathematics ('Analysis and Approaches' only) and 6 in Higher Level Physics
U-G100,https://warwick.ac.uk/study/undergraduate/courses/bsc-mathematics,BSc,Mathematics,,,39,39 with 6 in three Higher Level subjects to include Mathematics ('Analysis and Approaches' only)
U-G103,https://warwick.ac.uk/study/undergraduate/courses/mmath-mathematics,MMath,Mathematics,,,39,39 with 6 in three Higher Level subjects to include Mathematics ('Analysis and Approaches' only)
U-G1G3,https://warwick.ac.uk/study/undergraduate/courses/mmathstat-mathematics-statistics,MMathStat,Mathematics and Statistics,A*A*A,A*A*A to include A* A* in Mathematics and Further Mathematics,39,39 overall to include 7 in Higher Level Mathematics 'Analysis and Approaches'
U-G300,https://warwick.ac.uk/study/undergraduate/courses/mmorse-morse,MMORSE,,A*A*A,A*A*A to include A* A* in Mathematics and Further Mathematics,39,39 overall to include 7 in Higher Level Mathematics 'Analysis and Approaches'
U-G302,https://warwick.ac.uk/study/undergraduate/courses/bsc-data-science,BSc,Data Science,A*A*A,A*A*A to include A* A* in Mathematics and Further Mathematics,39,39 overall to include 7 in Higher Level Mathematics 'Analysis and Approaches'
U-G304,https://warwick.ac.uk/study/undergraduate/courses/msci-data-science,MSci,Data Science,A*A*A,A*A*A to include A* A* in Mathematics and Further Mathematics,39,39 overall to include 7 in Higher Level Mathematics 'Analysis and Approaches'
U-G406,https://warwick.ac.uk/study/undergraduate/courses/beng-computer-systems-engineering,BEng,Computer Systems Engineering,AAA,AAA to include A in Mathematics.,36,36 including 6 in Higher Level Mathematics ‘Analysis and Approaches’.
U-G408,https://warwick.ac.uk/study/undergraduate/courses/meng-computer-systems-engineering,MEng,Computer Systems Engineering,A*AA,A*AA to include A in Mathematics.,38,"38 to include 6,6,6 in three Higher Level subjects including 6 in Higher Level Mathematics ('Analysis and Approaches' only)."
U-G4G1,https://warwick.ac.uk/study/undergraduate/courses/bsc-discrete-mathematics,BSc,Discrete Mathematics,A*A*A,A*A*A to include A* in Mathematics.,39,"39 with 7, 6, 6 in three Higher Level subjects to include 7 in Higher Level Mathematics ('Analysis and Approaches' only)"
U-G4G3,https://warwick.ac.uk/study/undergraduate/courses/meng-discrete-mathematics,MEng,Discrete Mathematics,A*A*A,A*A*A to include A* in Mathematics.,39,"39 with 7, 6, 6 in three Higher Level subjects to include 7 in Higher Level Mathematics ('Analysis and Approaches' only)."
U-G500,https://warwick.ac.uk/study/undergraduate/courses/bsc-computer-science,BSc,Computer Science,A*A*A,A*A*A to include A* in Mathematics.,39,"39 with 7, 6, 6 in three Higher Level subjects to include 7 in Higher Level Mathematics ('Analysis and Approaches' only)."
U-G503,https://warwick.ac.uk/study/undergraduate/courses/meng-computer-science,MEng,Computer Science,A*A*A,A*A*A to include A* in Mathematics.,39,"39 with 7, 6, 6 in three Higher Level subjects to include 7 in Higher Level Mathematics ('Analysis and Approaches' only)."
U-GF13,https://warwick.ac.uk/study/undergraduate/courses/bsc-mathematics-physics,BSc,Mathematics and Physics,A*AA,"A*AA to include A* in Mathematics, A in Further Mathematics and A in Physics.",38,38 to include 7 in Higher Level Mathematics ('Analysis and Approaches' only) and 6 in Higher Level Physics
U-GG14,https://warwick.ac.uk/study/undergraduate/courses/bsc-mathematics-statistics,BSc,Mathematics and Statistics,A*A*A,A*A*A to include A* A* in Mathematics and Further Mathematics,39,39 overall to include 7 in Higher Level Mathematics 'Analysis and Approaches'
U-GV17,https://warwick.ac.uk/study/undergraduate/courses/ba-bsc-mathematics-philosophy,BA/BSc,Mathematics and Philosophy,,,39,"39 to include 6, 6, 6 in three Higher Level subjects including Mathematics (Analysis and Approaches)."
U-H100,https://warwick.ac.uk/study/undergraduate/courses/beng-engineering,BEng,Engineering,AAA,AAA to include Mathematics and Physics.,36,"36 to include 6, 6 in Mathematics and Physics - at least one of these subjects should be at Higher Level."
U-H102,https://warwick.ac.uk/study/undergraduate/courses/meng-engineering,MEng,Engineering,A*AA,A*AA to include Mathematics and Physics.,38,"38 to include 6,6,6 at Higher Level and 6,6 in Mathematics and Physics, at least one of which is at Higher Level."
U-H161,https://warwick.ac.uk/study/undergraduate/courses/beng-biomedical-systems-engineering,BEng,Biomedical Systems Engineering,,,36,"36 to include 6, 6 in Mathematics and Physics - at least one of these subjects should be at Higher Level."
U-H163,https://warwick.ac.uk/study/undergraduate/courses/meng-biomedical-systems-engineering,MEng,Biomedical Systems Engineering,A*AA,A*AA to include Mathematics and Physics.,38,"38 to include 6,6,6 at Higher Level and 6,6 in Mathematics and Physics, at least one of which is at Higher Level."
U-H1L8,https://warwick.ac.uk/study/undergraduate/courses/basc-design-global-sustainable-development,BASc,Design and Global Sustainable Development,AAA,AAA.,36,36
U-H200,https://warwick.ac.uk/study/undergraduate/courses/beng-civil-engineering,BEng,Civil Engineering,AAA,AAA to include Mathematics and Physics.,36,"36 to include 6, 6 in Mathematics and Physics - at least one of these subjects should be at Higher Level."
U-H202,https://warwick.ac.uk/study/undergraduate/courses/meng-civil-engineering,MEng,Civil Engineering,A*AA,A*AA to include Mathematics and Physics.,38,"38 to include 6,6,6 at Higher Level and 6,6 in Mathematics and Physics, at least one of which is at Higher Level."
U-H300,https://warwick.ac.uk/study/undergraduate/courses/beng-mechanical-engineering,BEng,Mechanical Engineering,AAA,AAA to include Mathematics and Physics.,36,"36 to include 6, 6 in Mathematics and Physics - at least one of these subjects should be at Higher Level."
U-H302,https://warwick.ac.uk/study/undergraduate/courses/meng-mechanical-engineering,MEng,Mechanical Engineering,A*AA,A*AA to include Mathematics and Physics.,38,"38 to include 6,6,6 at Higher Level and 6,6 in Mathematics and Physics, at least one of which is at Higher Level."
U-H330,https://warwick.ac.uk/study/undergraduate/courses/beng-automotive-engineering,BEng,Automotive Engineering,AAA,AAA to include Mathematics and Physics.,36,"36 to include 6, 6 in Mathematics and Physics - at least one of these subjects should be at Higher Level."
U-H335,https://warwick.ac.uk/study/undergraduate/courses/meng-automotive-engineering,MEng,Automotive Engineering,A*AA,A*AA (MEng) to include Mathematics and Physics.,38,"38 to include 6,6,6 at Higher Level and 6,6 in Mathematics and Physics, at least one of which is at Higher Level."
U-H600,https://warwick.ac.uk/study/undergraduate/courses/beng-electronic-engineering,BEng,Electronic Engineering,AAA,AAA to include Mathematics and Physics.,36,"36 to include 6, 6 in Mathematics and Physics - at least one of these subjects should be at Higher Level."
U-H602,https://warwick.ac.uk/study/undergraduate/courses/meng-electronic-engineering,MEng,Electronic Engineering,,,38,"38 to include 6, 6, 6 at Higher Level. Mathematics and Physics are required - at least one of these subjects should be at Higher Level."
U-H605,https://warwick.ac.uk/study/undergraduate/courses/beng-electrical-electronic-engineering,BEng,Electrical and Electronic Engineering,AAA,AAA to include Mathematics and Physics.,36,"36 to include 6, 6 in Mathematics and Physics - at least one of these subjects should be at Higher Level."
U-H606,https://warwick.ac.uk/study/undergraduate/courses/meng-electrical-electronic-engineering,MEng,Electrical and Electronic Engineering,A*AA,A*AA to include Mathematics and Physics.,38,"38 to include 6,6,6 at Higher Level and 6,6 in Mathematics and Physics, at least one of which is at Higher Level."
U-H651,https://warwick.ac.uk/study/undergraduate/courses/bsc-cyber-security,BSc,Cyber Security,AAA,"AAA (applicants from all academic profiles welcome, but STEM subjects are recommended for ease of study onto the programme).",36,"36 ( applicants from all academic profiles welcome, but STEM subjects are recommended for ease of study onto the programme )."
U-HH31,https://warwick.ac.uk/study/undergraduate/courses/meng-systems-engineering,MEng,Systems Engineering,A*AA,A*AA to include Mathematics and Physics.,38,"38 to include 6,6,6 at Higher Level and 6,6 in Mathematics and Physics, at least one of which is at Higher Level."
U-HH35,https://warwick.ac.uk/study/undergraduate/courses/beng-systems-engineering,BEng,Systems Engineering,AAA,AAA to include Mathematics and Physics.,36,"36 to include 6, 6 in Mathematics and Physics - at least one of these subjects should be at Higher Level."
U-HH37,https://warwick.ac.uk/study/undergraduate/courses/meng-manufacturing-mechanical-engineering,MEng,Manufacturing and Mechanical Engineering,A*AA,A*AA to include Mathematics and Physics.,38,"38 to include 6,6,6 at Higher Level and 6,6 in Mathematics and Physics, at least one of which is at Higher Level."
U-HH73,https://warwick.ac.uk/study/undergraduate/courses/beng-manufacturing-mechanical-engineering,BEng,Manufacturing and Mechanical Engineering,AAA,AAA to include Mathematics and Physics.,36,"36 to include 6, 6 in Mathematics and Physics - at least one of these subjects should be at Higher Level."
U-HN12,https://warwick.ac.uk/study/undergraduate/courses/beng-engineering-business-management,BEng,Engineering Business Management,AAA,AAA to include Mathematics and Physics.,36,"36 to include 6, 6 in Mathematics and Physics - at least one of these subjects should be at Higher Level."
U-I1N1,https://warwick.ac.uk/study/undergraduate/courses/bsc-computer-science-business,BSc,Computer Science with Business Studies,A*A*A,A*A*A to include A* in Mathematics.,39,"39 with 7, 6, 6 in three Higher Level subjects to include 7 in Higher Level Mathematics ('Analysis and Approaches' only)."
U-L100,https://warwick.ac.uk/study/undergraduate/courses/bsc-economics,BSc,Economics,A*AA,A*AA including A in Mathematics,38,38 including 6 in Higher Level Mathematics (either ‘Analysis and Approaches’ or ‘Applications and Interpretation’).
U-L1CA,https://warwick.ac.uk/study/undergraduate/courses/ba-bsc-economics-psychology-philosophy,BA,"Economics, Psychology and Philosophy  or BSc",A*AA,A*AA,38,38 overall to include 4 in Higher Level Mathematics or 5 in Standard Level Mathematics.
U-L1L8,https://warwick.ac.uk/study/undergraduate/courses/basc-economic-studies-global-sustainable-development,BASc,Economic Studies and Global Sustainable Development,A*A*A,A*A*A including A in Mathematics.,39,"39 to include 6, 6, 6 in three Higher Level subjects including Higher Level Mathematics (either ‘Analysis and Approaches’ or ‘Applications and Interpretation’)."
U-L2L8,https://warwick.ac.uk/study/undergraduate/courses/basc-politics-international-studies-global-sustainable-development,BASc,"Politics, International Studies and Global Sustainable Development",AAA,AAA.,36,36
U-L300,https://warwick.ac.uk/study/undergraduate/courses/ba-sociology,BA,Sociology,ABB,ABB.,32,32.
U-L314,https://warwick.ac.uk/study/undergraduate/courses/ba-sociology-criminology,BA,Sociology and Criminology,ABB,ABB.,32,32.
U-L3L8,https://warwick.ac.uk/study/undergraduate/courses/ba-sociology-global-sustainable-development,BASc,Sociology and Global Sustainable Development,AAB,AAB.,34,34
U-L8A1,https://warwick.ac.uk/study/undergraduate/courses/basc-global-sustainable-development,BASc,Global Sustainable Development,AAA,AAA.,36,36
U-L8N1,https://warwick.ac.uk/study/undergraduate/courses/basc-global-sustainable-development-business-studies,BASc,Global Sustainable Development and Business Studies,A*AA,A*AA,38,38
U-LA99,https://warwick.ac.uk/study/undergraduate/courses/ba-liberal-arts,BA,Liberal Arts,AAA,AAA.,36,36
U-LM1D,https://warwick.ac.uk/study/undergraduate/courses/ba-bsc-economics-politics-international-studies,BSc,"Economics, Politics and International Studies  or BA",A*AA,A*AA.,38,38.
U-LN12,https://warwick.ac.uk/study/undergraduate/courses/bsc-economics-management,BSc,Economics and Management,A*AA,A*AA including A in Mathematics,38,38 to include 6 in Higher Level Mathematics.
U-LV00,https://warwick.ac.uk/study/undergraduate/courses/ba-bsc-philosophy-politics-economics,BA/BSc,"Philosophy, Politics and Economics",A*AA,A*AA plus at least grade 7 or grade A in GCSE Mathematics.,38,38 overall including 4 in Higher level Mathematics/Mathematical Studies or 5 in Standard level Mathematics/ Mathematical Studies.
U-M100,https://warwick.ac.uk/study/undergraduate/courses/ba-politics,BA,Politics,AAA,AAA,36,36.
