ukprn,university,kiscourseid,title,crseurl,foundation_year_available,placement_year,year_abroad,median_salary
10007167,University of York,UUBACTSIND4~UBACTSIND4,Actuarial Science (with a year in industry),https://www.york.ac.uk/study/undergraduate/courses/bsc-actuarial-science-industry/,No,Yes,No,28500
10007167,University of York,UUBARCSARH3~UBARCSARH3,Archaeology and Heritage,https://www.york.ac.uk/study/undergraduate/courses/ba-archaeology-heritage/,No,Yes,Yes,25000
10007167,University of York,UUBARCSART3~UBARCSART3,Archaeology,https://www.york.ac.uk/study/undergraduate/courses/ba-archaeology/,No,Yes,Yes,21000
10007167,University of York,UUBARCSBIO3~UBARCSBIO3,Bioarchaeology,https://www.york.ac.uk/study/undergraduate/courses/bsc-bioarchaeology/,No,Yes,Yes,28500
10007167,University of York,UUBARCSHIS3~UBARCSHIS3,Historical Archaeology,https://www.york.ac.uk/study/undergraduate/courses/ba-historical-archaeology/,No,Yes,Yes,21000
10007167,University of York,UUBARCSSCI3~UBARCSSCI3,Archaeology,https://www.york.ac.uk/study/undergraduate/courses/bsc-archaeology/,No,Yes,Yes,28500
10007167,University of York,UUBARISARI3~UBARISARI3,Computer Science with Artificial Intelligence,https://www.york.ac.uk/study/undergraduate/courses/bsc-computer-science-artificial-intelligence/,No,Yes,Yes,34000
10007167,University of York,UUBARISIND4~UBARISIND4,Computer Science with Artificial Intelligence (with a year in industry),https://www.york.ac.uk/study/undergraduate/courses/bsc-computer-science-ai-industry/,No,Yes,No,34000
10007167,University of York,UUBASTSABD4~UBASTSABD4,Physics with Astrophysics (with a year abroad),https://www.york.ac.uk/study/undergraduate/courses/bsc-physics-astrophysics-year-abroad/,No,Yes,Yes,29000
10007167,University of York,UUBASTSAST3~UBASTSAST3,Physics with Astrophysics,https://www.york.ac.uk/study/undergraduate/courses/bsc-physics-astrophysics/,No,Yes,Yes,29000
10007167,University of York,UUBASTSIND4~UBASTSIND4,Physics with Astrophysics (with a year in industry),https://www.york.ac.uk/study/undergraduate/courses/bsc-physics-astrophysics-industry/,No,Yes,Yes,29000
10007167,University of York,UUBBASSBAS3~UBBASSBAS3,Business and Society,https://www.york.ac.uk/study/undergraduate/courses/ba-business-society/,No,Yes,Yes,25000
10007167,University of York,UUBBASSIND4~UBBASSIND4,Business and Society (with a year in industry),https://www.york.ac.uk/study/undergraduate/courses/ba-business-society-industry/,No,Yes,No,25000
10007167,University of York,UUBBCHXBCH3~UBBCHXBCH3,Biochemistry,https://www.york.ac.uk/study/undergraduate/courses/bsc-biochemistry/,No,Yes,Yes,26000
10007167,University of York,UUBBIOSBIO3~UBBIOSBIO3,Biology,https://www.york.ac.uk/study/undergraduate/courses/bsc-biology/,No,Yes,Yes,24000
10007167,University of York,UUBBSCSBSC3~UBBSCSBSC3,Biomedical Sciences,https://www.york.ac.uk/study/undergraduate/courses/bsc-biomedical-sciences/,No,Yes,Yes,26000
10007167,University of York,UUBBTESBTE3~UBBTESBTE3,Biotechnology,https://www.york.ac.uk/study/undergraduate/courses/bsc-biotechnology/,No,Yes,Yes,26000
10007167,University of York,UUBCAESCAE3~UBCAESCAE3,"Chemistry, the Atmosphere and the Environment",https://www.york.ac.uk/study/undergraduate/courses/bsc-chemistry-atmosphere-environment/,No,Yes,No,28500
10007167,University of York,UUBCDSSIND4~UBCDSSIND4,Data Science (with a year in industry),https://www.york.ac.uk/study/undergraduate/courses/bsc-data-science-industry/,No,Yes,No,34000
10007167,University of York,UUBCGSSCGS3~UBCGSSCGS3,"Chemistry, Green Principles and Sustainable Processes",https://www.york.ac.uk/study/undergraduate/courses/bsc-chemistry-green-principles/,No,Yes,No,28500
10007167,University of York,UUBCHASABD4~UBCHASABD4,Curating and Art History (with a year abroad),https://www.york.ac.uk/study/undergraduate/courses/ba-curating-art-history-abroad/,No,Yes,Yes,24000
10007167,University of York,UUBCHBSMCH3~UBCHBSMCH3,"Chemistry, Biological and Medicinal Chemistry",https://www.york.ac.uk/study/undergraduate/courses/bsc-chemistry-biological-medicinal/,No,Yes,No,28500
10007167,University of York,UUBCHESCHE3~UBCHESCHE3,Chemistry,https://www.york.ac.uk/study/undergraduate/courses/bsc-chemistry/,No,Yes,No,28500
10007167,University of York,UUBCOMAMAT3~UBCOMAMAT3,Computer Science and Mathematics,https://www.york.ac.uk/study/undergraduate/courses/bsc-computer-science-mathematics/,No,Yes,Yes,28500
10007167,University of York,UUBCOMAMAT4~UBCOMAMAT4,Computer Science and Mathematics (with a year in industry),https://www.york.ac.uk/study/undergraduate/courses/bsc-computer-science-mathematics-industry/,No,Yes,No,28500
10007167,University of York,UUBCOMSCOM3~UBCOMSCOM3,Computer Science,https://www.york.ac.uk/study/undergraduate/courses/bsc-computer-science/,No,Yes,Yes,34000
10007167,University of York,UUBCOMSDSC3~UBCOMSDSC3,Data Science,https://www.york.ac.uk/study/undergraduate/courses/bsc-data-science/,No,Yes,Yes,34000
10007167,University of York,UUBCOMSIND4~UBCOMSIND4,Computer Science (with a year in industry),https://www.york.ac.uk/study/undergraduate/courses/bsc-computer-science-industry/,No,Yes,No,34000
10007167,University of York,UUBCRISCRI3~UBCRISCRI3,Criminology,https://www.york.ac.uk/study/undergraduate/courses/ba-criminology/,No,Yes,Yes,26500
10007167,University of York,UUBCYSSARI3~UBCYSSARI3,Computer Science with Cyber Security,https://www.york.ac.uk/study/undergraduate/courses/bsc-computer-science-cyber-security/,No,Yes,Yes,34000
